test,rad,sortdeg1.lsR
out.as-caida20071105,1,24
out.bibsonomy-2ut,1,75
out.bookcrossing_rating_rating,1,19
out.ca-AstroPh,1,57
out.cfinder-google,1,103
out.chess,1,31
out.cit-HepPh,1,36
out.cit-HepTh,1,43
out.dblp-cite,1,15
out.dbpedia-genre,1,12
out.dbpedia-location,1,7
out.dbpedia-occupation,1,8
out.dbpedia-producer,1,9
out.dbpedia-recordlabel,1,8
out.dbpedia-starring,1,10
out.dbpedia-writer,1,7
out.discogs_lgenre_lgenre,1,16
out.douban,1,25
out.eat,1,39
out.edit-enwikibooks,1,25
out.edit-enwikinews,1,32
out.edit-enwikiquote,1,31
out.edit-frwikibooks,1,14
out.edit-frwikinews,1,13
out.elec,1,60
out.email-EuAll,1,45
out.enron,1,56
out.facebook-wosn-wall,1,19
out.foldoc,1,14
out.github,1,52
out.linux,1,25
out.lkml-reply,1,94
out.loc-brightkite_edges,1,57
out.matrix,1,59
out.movielens-10m_ti,1,19
out.movielens-10m_ui,1,30
out.munmun_digg_reply,1,11
out.opsahl-collaboration,1,9
out.p2p-Gnutella31,1,9
out.pics_ut,1,103
out.reactome,1,177
out.slashdot-threads,1,16
out.soc-Epinions1,1,75
out.subelj_cora_cora,1,15
out.subelj_jdk_jdk,1,67
out.subelj_jung-j_jung-j,1,67
out.topology,1,65
out.youtube-groupmemberships,1,25
out.as-caida20071105,2,74
out.bibsonomy-2ut,2,550
out.bookcrossing_rating_rating,2,297
out.ca-AstroPh,2,397
out.cfinder-google,2,245
out.chess,2,276
out.cit-HepPh,2,423
out.cit-HepTh,2,469
out.dblp-cite,2,96
out.dbpedia-genre,2,78
out.dbpedia-location,2,23
out.dbpedia-occupation,2,41
out.dbpedia-producer,2,47
out.dbpedia-recordlabel,2,49
out.dbpedia-starring,2,70
out.dbpedia-writer,2,19
out.discogs_lgenre_lgenre,2,16
out.douban,2,375
out.eat,2,825
out.edit-enwikibooks,2,199
out.edit-enwikinews,2,195
out.edit-enwikiquote,2,189
out.edit-frwikibooks,2,80
out.edit-frwikinews,2,63
out.elec,2,494
out.email-EuAll,2,460
out.enron,2,520
out.facebook-wosn-wall,2,200
out.foldoc,2,67
out.github,2,714
out.linux,2,173
out.lkml-reply,2,413
out.loc-brightkite_edges,2,245
out.matrix,2,961
out.movielens-10m_ti,2,213
out.movielens-10m_ui,2,215
out.munmun_digg_reply,2,120
out.opsahl-collaboration,2,22
out.p2p-Gnutella31,2,48
out.pics_ut,2,931
out.reactome,2,264
out.slashdot-threads,2,211
out.soc-Epinions1,2,977
out.subelj_cora_cora,2,73
out.subelj_jdk_jdk,2,103
out.subelj_jung-j_jung-j,2,110
out.topology,2,189
out.youtube-groupmemberships,2,261
out.as-caida20071105,3,113
out.bibsonomy-2ut,3,1109
out.bookcrossing_rating_rating,3,1449
out.ca-AstroPh,3,1443
out.cfinder-google,3,428
out.chess,3,715
out.cit-HepPh,3,2006
out.cit-HepTh,3,2023
out.dblp-cite,3,399
out.dbpedia-genre,3,185
out.dbpedia-location,3,81
out.dbpedia-occupation,3,94
out.dbpedia-producer,3,170
out.dbpedia-recordlabel,3,139
out.dbpedia-starring,3,520
out.dbpedia-writer,3,50
out.discogs_lgenre_lgenre,3,16
out.douban,3,2574
out.eat,3,3343
out.edit-enwikibooks,3,761
out.edit-enwikinews,3,382
out.edit-enwikiquote,3,471
out.edit-frwikibooks,3,176
out.edit-frwikinews,3,115
out.elec,3,1019
out.email-EuAll,3,747
out.enron,3,1265
out.facebook-wosn-wall,3,1006
out.foldoc,3,330
out.github,3,2061
out.linux,3,360
out.lkml-reply,3,727
out.loc-brightkite_edges,3,940
out.matrix,3,2886
out.movielens-10m_ti,3,751
out.movielens-10m_ui,3,503
out.munmun_digg_reply,3,590
out.opsahl-collaboration,3,67
out.p2p-Gnutella31,3,290
out.pics_ut,3,2009
out.reactome,3,658
out.slashdot-threads,3,746
out.soc-Epinions1,3,2299
out.subelj_cora_cora,3,262
out.subelj_jdk_jdk,3,167
out.subelj_jung-j_jung-j,3,154
out.topology,3,262
out.youtube-groupmemberships,3,991
out.as-caida20071105,4,133
out.bibsonomy-2ut,4,1569
out.bookcrossing_rating_rating,4,3135
out.ca-AstroPh,4,2598
out.cfinder-google,4,510
out.chess,4,1148
out.cit-HepPh,4,4925
out.cit-HepTh,4,4254
out.dblp-cite,4,856
out.dbpedia-genre,4,358
out.dbpedia-location,4,232
out.dbpedia-occupation,4,164
out.dbpedia-producer,4,417
out.dbpedia-recordlabel,4,296
out.dbpedia-starring,4,2098
out.dbpedia-writer,4,162
out.discogs_lgenre_lgenre,4,16
out.douban,4,4808
out.eat,4,5474
out.edit-enwikibooks,4,1564
out.edit-enwikinews,4,541
out.edit-enwikiquote,4,825
out.edit-frwikibooks,4,290
out.edit-frwikinews,4,156
out.elec,4,1354
out.email-EuAll,4,908
out.enron,4,1961
out.facebook-wosn-wall,4,2620
out.foldoc,4,1008
out.github,4,3580
out.linux,4,609
out.lkml-reply,4,973
out.loc-brightkite_edges,4,2030
out.matrix,4,4720
out.movielens-10m_ti,4,1234
out.movielens-10m_ui,4,745
out.munmun_digg_reply,4,1256
out.opsahl-collaboration,4,232
out.p2p-Gnutella31,4,1571
out.pics_ut,4,2912
out.reactome,4,1108
out.slashdot-threads,4,1288
out.soc-Epinions1,4,3451
out.subelj_cora_cora,4,583
out.subelj_jdk_jdk,4,233
out.subelj_jung-j_jung-j,4,224
out.topology,4,363
out.youtube-groupmemberships,4,2284
out.as-caida20071105,5,188
out.bibsonomy-2ut,5,1950
out.bookcrossing_rating_rating,5,4866
out.ca-AstroPh,5,3484
out.cfinder-google,5,684
out.chess,5,1427
out.cit-HepPh,5,8047
out.cit-HepTh,5,6637
out.dblp-cite,5,1229
out.dbpedia-genre,5,493
out.dbpedia-location,5,393
out.dbpedia-occupation,5,234
out.dbpedia-producer,5,875
out.dbpedia-recordlabel,5,489
out.dbpedia-starring,5,4623
out.dbpedia-writer,5,491
out.discogs_lgenre_lgenre,5,16
out.douban,5,5837
out.eat,5,6432
out.edit-enwikibooks,5,2454
out.edit-enwikinews,5,721
out.edit-enwikiquote,5,1180
out.edit-frwikibooks,5,376
out.edit-frwikinews,5,201
out.elec,5,1562
out.email-EuAll,5,1019
out.enron,5,2424
out.facebook-wosn-wall,5,4459
out.foldoc,5,2087
out.github,5,4957
out.linux,5,858
out.lkml-reply,5,1136
out.loc-brightkite_edges,5,3168
out.matrix,5,5998
out.movielens-10m_ti,5,1595
out.movielens-10m_ui,5,913
out.munmun_digg_reply,5,1877
out.opsahl-collaboration,5,619
out.p2p-Gnutella31,5,4647
out.pics_ut,5,3548
out.reactome,5,1356
out.slashdot-threads,5,1734
out.soc-Epinions1,5,4285
out.subelj_cora_cora,5,1064
out.subelj_jdk_jdk,5,289
out.subelj_jung-j_jung-j,5,280
out.topology,5,457
out.youtube-groupmemberships,5,3469
