test,rad,sortdeg1.lsR
out.arenas-email,1,12
out.arenas-jazz,1,30
out.arenas-meta,1,11
out.contact,1,40
out.dnc-temporalGraph,1,19
out.ego-facebook,1,4
out.foodweb-baydry,1,25
out.foodweb-baywet,1,24
out.maayan-faa,1,6
out.maayan-figeys,1,11
out.maayan-foodweb,1,25
out.maayan-Stelzl,1,9
out.maayan-vidal,1,7
out.mit,1,42
out.moreno_crime_crime,1,4
out.moreno_mac_mac,1,30
out.moreno_names_names,1,16
out.moreno_oz_oz,1,13
out.moreno_propro_propro,1,6
out.opsahl-powergrid,1,6
out.opsahl-ucforum,1,16
out.radoslaw_email_email,1,38
out.sociopatterns-hypertext,1,29
out.sociopatterns-infectious,1,18
out.subelj_euroroad_euroroad,1,3
out.tntp-ChicagoRegional,1,2
out.unicodelang,1,7
out.arenas-email,2,55
out.arenas-jazz,2,68
out.arenas-meta,2,24
out.contact,2,42
out.dnc-temporalGraph,2,45
out.ego-facebook,2,6
out.foodweb-baydry,2,71
out.foodweb-baywet,2,69
out.maayan-faa,2,17
out.maayan-figeys,2,45
out.maayan-foodweb,2,50
out.maayan-Stelzl,2,29
out.maayan-vidal,2,29
out.mit,2,74
out.moreno_crime_crime,2,10
out.moreno_mac_mac,2,55
out.moreno_names_names,2,67
out.moreno_oz_oz,2,53
out.moreno_propro_propro,2,10
out.opsahl-powergrid,2,10
out.opsahl-ucforum,2,111
out.radoslaw_email_email,2,77
out.sociopatterns-hypertext,2,72
out.sociopatterns-infectious,2,41
out.subelj_euroroad_euroroad,2,6
out.tntp-ChicagoRegional,2,4
out.unicodelang,2,21
out.arenas-email,3,143
out.arenas-jazz,3,97
out.arenas-meta,3,33
out.contact,3,45
out.dnc-temporalGraph,3,64
out.ego-facebook,3,7
out.foodweb-baydry,3,99
out.foodweb-baywet,3,100
out.maayan-faa,3,33
out.maayan-figeys,3,83
out.maayan-foodweb,3,59
out.maayan-Stelzl,3,52
out.maayan-vidal,3,76
out.mit,3,81
out.moreno_crime_crime,3,22
out.moreno_mac_mac,3,56
out.moreno_names_names,3,130
out.moreno_oz_oz,3,100
out.moreno_propro_propro,3,18
out.opsahl-powergrid,3,14
out.opsahl-ucforum,3,222
out.radoslaw_email_email,3,87
out.sociopatterns-hypertext,3,83
out.sociopatterns-infectious,3,87
out.subelj_euroroad_euroroad,3,10
out.tntp-ChicagoRegional,3,7
out.unicodelang,3,38
out.arenas-email,4,209
out.arenas-jazz,4,109
out.arenas-meta,4,40
out.contact,4,45
out.dnc-temporalGraph,4,76
out.ego-facebook,4,8
out.foodweb-baydry,4,103
out.foodweb-baywet,4,104
out.maayan-faa,4,57
out.maayan-figeys,4,113
out.maayan-foodweb,4,68
out.maayan-Stelzl,4,71
out.maayan-vidal,4,127
out.mit,4,82
out.moreno_crime_crime,4,44
out.moreno_mac_mac,4,57
out.moreno_names_names,4,178
out.moreno_oz_oz,4,125
out.moreno_propro_propro,4,29
out.opsahl-powergrid,4,17
out.opsahl-ucforum,4,273
out.radoslaw_email_email,4,93
out.sociopatterns-hypertext,4,86
out.sociopatterns-infectious,4,109
out.subelj_euroroad_euroroad,4,13
out.tntp-ChicagoRegional,4,10
out.unicodelang,4,50
out.arenas-email,5,258
out.arenas-jazz,5,120
out.arenas-meta,5,46
out.contact,5,45
out.dnc-temporalGraph,5,79
out.ego-facebook,5,8
out.foodweb-baydry,5,108
out.foodweb-baywet,5,105
out.maayan-faa,5,86
out.maayan-figeys,5,146
out.maayan-foodweb,5,75
out.maayan-Stelzl,5,87
out.maayan-vidal,5,166
out.mit,5,82
out.moreno_crime_crime,5,68
out.moreno_mac_mac,5,57
out.moreno_names_names,5,218
out.moreno_oz_oz,5,142
out.moreno_propro_propro,5,39
out.opsahl-powergrid,5,23
out.opsahl-ucforum,5,307
out.radoslaw_email_email,5,95
out.sociopatterns-hypertext,5,89
out.sociopatterns-infectious,5,142
out.subelj_euroroad_euroroad,5,16
out.tntp-ChicagoRegional,5,10
out.unicodelang,5,58
