test,rad,sortdeg1.lsR
DSJC1000.1.col,1,82
DSJC1000.5.col,1,460
DSJC1000.9.col,1,871
DSJC250.5.col,1,110
DSJC250.9.col,1,212
DSJC500.1.col,1,39
DSJC500.5.col,1,226
DSJC500.9.col,1,432
DSJR500.1c.col,1,474
DSJR500.5.col,1,148
flat1000_50_0.col,1,465
flat1000_60_0.col,1,462
flat1000_76_0.col,1,460
flat300_20_0.col,1,129
flat300_26_0.col,1,130
flat300_28_0.col,1,131
fpsol2.i.1.col,1,65
inithx.i.1.col,1,56
inithx.i.2.col,1,32
inithx.i.3.col,1,32
latin_square_10.col,1,684
le450_15c.col,1,50
le450_15d.col,1,52
le450_25c.col,1,53
le450_25d.col,1,52
school1.col,1,74
school1_nsh.col,1,62
DSJC1000.1.col,2,801
DSJC1000.5.col,2,981
DSJC1000.9.col,2,996
DSJC250.5.col,2,236
DSJC250.9.col,2,247
DSJC500.1.col,2,337
DSJC500.5.col,2,484
DSJC500.9.col,2,497
DSJR500.1c.col,2,488
DSJR500.5.col,2,336
flat1000_50_0.col,2,982
flat1000_60_0.col,2,981
flat1000_76_0.col,2,981
flat300_20_0.col,2,284
flat300_26_0.col,2,285
flat300_28_0.col,2,286
fpsol2.i.1.col,2,79
inithx.i.1.col,2,78
inithx.i.2.col,2,43
inithx.i.3.col,2,43
latin_square_10.col,2,891
le450_15c.col,2,320
le450_15d.col,2,326
le450_25c.col,2,300
le450_25d.col,2,312
school1.col,2,248
school1_nsh.col,2,225
DSJC1000.1.col,3,889
DSJC1000.5.col,3,985
DSJC1000.9.col,3,996
DSJC250.5.col,3,237
DSJC250.9.col,3,247
DSJC500.1.col,3,404
DSJC500.5.col,3,487
DSJC500.9.col,3,497
DSJR500.1c.col,3,488
DSJR500.5.col,3,398
flat1000_50_0.col,3,984
flat1000_60_0.col,3,984
flat1000_76_0.col,3,985
flat300_20_0.col,3,288
flat300_26_0.col,3,288
flat300_28_0.col,3,287
fpsol2.i.1.col,3,88
inithx.i.1.col,3,79
inithx.i.2.col,3,51
inithx.i.3.col,3,50
latin_square_10.col,3,891
le450_15c.col,3,374
le450_15d.col,3,375
le450_25c.col,3,356
le450_25d.col,3,360
school1.col,3,279
school1_nsh.col,3,255
DSJC1000.1.col,4,904
DSJC1000.5.col,4,985
DSJC1000.9.col,4,996
DSJC250.5.col,4,237
DSJC250.9.col,4,247
DSJC500.1.col,4,416
DSJC500.5.col,4,486
DSJC500.9.col,4,497
DSJR500.1c.col,4,488
DSJR500.5.col,4,396
flat1000_50_0.col,4,985
flat1000_60_0.col,4,985
flat1000_76_0.col,4,985
flat300_20_0.col,4,287
flat300_26_0.col,4,288
flat300_28_0.col,4,288
fpsol2.i.1.col,4,88
inithx.i.1.col,4,79
inithx.i.2.col,4,53
inithx.i.3.col,4,53
latin_square_10.col,4,891
le450_15c.col,4,386
le450_15d.col,4,386
le450_25c.col,4,368
le450_25d.col,4,372
school1.col,4,279
school1_nsh.col,4,267
DSJC1000.1.col,5,911
DSJC1000.5.col,5,986
DSJC1000.9.col,5,996
DSJC250.5.col,5,237
DSJC250.9.col,5,247
DSJC500.1.col,5,421
DSJC500.5.col,5,487
DSJC500.9.col,5,497
DSJR500.1c.col,5,488
DSJR500.5.col,5,396
flat1000_50_0.col,5,985
flat1000_60_0.col,5,985
flat1000_76_0.col,5,985
flat300_20_0.col,5,287
flat300_26_0.col,5,288
flat300_28_0.col,5,288
fpsol2.i.1.col,5,88
inithx.i.1.col,5,79
inithx.i.2.col,5,53
inithx.i.3.col,5,53
latin_square_10.col,5,891
le450_15c.col,5,385
le450_15d.col,5,387
le450_25c.col,5,375
le450_25d.col,5,376
school1.col,5,276
school1_nsh.col,5,251
