test,rad,sortdeg1.lsR
out.advogato,1,26
out.arenas-pgp,1,32
out.as20000102,1,13
out.dnc-corecipient,1,75
out.ego-gplus,1,13
out.ego-twitter,1,11
out.escorts,1,12
out.moreno_blogs_blogs,1,37
out.moreno_health_health,1,8
out.movielens-10m_ut,1,19
out.openflights,1,32
out.opsahl-openflights,1,29
out.opsahl-ucsocial,1,21
out.opsahl-usairport,1,65
out.petster-friendships-hamster-uniq,1,21
out.petster-hamster,1,25
out.advogato,2,218
out.arenas-pgp,2,50
out.as20000102,2,28
out.dnc-corecipient,2,119
out.ego-gplus,2,46
out.ego-twitter,2,31
out.escorts,2,118
out.moreno_blogs_blogs,2,178
out.moreno_health_health,2,31
out.movielens-10m_ut,2,154
out.openflights,2,107
out.opsahl-openflights,2,99
out.opsahl-ucsocial,2,159
out.opsahl-usairport,2,140
out.petster-friendships-hamster-uniq,2,114
out.petster-hamster,2,111
out.advogato,3,474
out.arenas-pgp,3,77
out.as20000102,3,44
out.dnc-corecipient,3,145
out.ego-gplus,3,71
out.ego-twitter,3,77
out.escorts,3,343
out.moreno_blogs_blogs,3,243
out.moreno_health_health,3,111
out.movielens-10m_ut,3,309
out.openflights,3,172
out.opsahl-openflights,3,166
out.opsahl-ucsocial,3,260
out.opsahl-usairport,3,175
out.petster-friendships-hamster-uniq,3,194
out.petster-hamster,3,206
out.advogato,4,641
out.arenas-pgp,4,127
out.as20000102,4,57
out.dnc-corecipient,4,154
out.ego-gplus,4,73
out.ego-twitter,4,128
out.escorts,4,690
out.moreno_blogs_blogs,4,282
out.moreno_health_health,4,292
out.movielens-10m_ut,4,447
out.openflights,4,211
out.opsahl-openflights,4,201
out.opsahl-ucsocial,4,323
out.opsahl-usairport,4,224
out.petster-friendships-hamster-uniq,4,254
out.petster-hamster,4,269
out.advogato,5,757
out.arenas-pgp,5,162
out.as20000102,5,70
out.dnc-corecipient,5,154
out.ego-gplus,5,78
out.ego-twitter,5,179
out.escorts,5,898
out.moreno_blogs_blogs,5,309
out.moreno_health_health,5,515
out.movielens-10m_ut,5,544
out.openflights,5,239
out.opsahl-openflights,5,210
out.opsahl-ucsocial,5,357
out.opsahl-usairport,5,249
out.petster-friendships-hamster-uniq,5,286
out.petster-hamster,5,305
