test,rad,sortdeg1_wcol,sortdeg1_LS,td_wcol,td_LS,fill-in_wcol,fill-in_LS,berlin.sna_wcol,berlin.sna_LS,WReachR_wcol,WReachR_LS,SReachR_wcol,SReachR_LS,felixR_wcol,felixR_LS
as20000102,2,42,40,232,43,84,45,43,37,33,33,32,29,40,37
cl-12-0,2,56,39,162,39,153,40,89,39,39,38,54,39,47,39
cl-12-1,2,57,40,160,40,185,39,86,40,39,39,56,39,48,40
clh-12-0,2,45,31,165,32,155,32,63,32,32,31,45,31,36,31
clh-12-1,2,49,32,185,32,152,38,63,33,32,32,47,32,37,32
cond-mat,2,54,38,,,157,38,66,44,36,36,47,39,48,37
fvs001,2,48,36,87,36,84,36,49,36,36,36,36,36,36,36
fvs022,2,65,46,309,80,107,91,76,61,41,41,47,43,63,59
fvs040,2,50,42,317,66,102,75,67,46,47,45,43,37,56,52
fvs045,2,10,7,,,9,7,10,8,6,6,6,6,8,6
fvs074,2,55,45,346,70,104,73,81,70,43,43,46,41,67,55
fvs080,2,38,32,164,50,76,51,41,38,28,28,30,28,39,35
hep-th,2,45,27,,,91,27,49,26,26,26,35,27,31,25
p2p-Gnutella04,2,83,51,,,309,66,117,70,48,48,76,55,70,52
planar10000,2,12,11,38,23,10,10,11,11,13,13,10,10,14,13
planar12000,2,11,10,42,15,10,10,11,10,12,12,10,9,12,12
planar15000,2,11,9,,,9,9,10,10,11,11,9,9,11,11
planar7002,2,14,13,22,17,10,10,14,13,12,12,10,10,15,14
planar8500,2,12,12,30,23,10,10,13,12,16,14,10,10,13,13
polblogs,2,200,162,415,200,304,208,277,201,166,166,209,181,267,204
sb-12-0,2,30,20,56,21,46,22,44,20,21,20,31,20,25,21
sb-12-1,2,31,20,61,21,57,21,41,20,20,20,30,20,24,21
as20000102,3,62,53,256,98,96,92,65,57,47,47,46,43,84,76
cl-12-0,3,241,186,563,206,616,218,422,216,182,182,253,182,276,196
cl-12-1,3,240,190,571,213,626,212,430,219,184,184,246,190,266,199
clh-12-0,3,172,127,558,148,525,144,263,143,125,124,156,123,163,133
clh-12-1,3,166,132,519,147,483,145,283,141,127,126,163,127,155,134
cond-mat,3,168,102,,,439,116,197,113,88,88,119,89,137,98
fvs001,3,85,75,103,75,97,97,108,74,61,59,73,67,89,63
fvs022,3,93,73,383,144,125,124,118,87,68,68,70,58,108,95
fvs040,3,79,62,381,155,122,113,103,82,62,61,64,59,104,90
fvs045,3,19,12,,,13,11,19,13,13,12,13,11,15,11
fvs074,3,85,76,394,120,120,117,111,94,64,64,66,58,108,99
fvs080,3,55,47,194,91,85,83,64,55,44,44,46,42,65,63
hep-th,3,127,70,,,223,73,137,72,65,65,90,63,89,70
p2p-Gnutella04,3,424,339,,,1612,685,783,527,301,301,493,358,510,394
planar10000,3,17,16,73,38,17,16,17,16,22,22,16,16,25,24
planar12000,3,17,15,71,27,15,15,16,15,24,24,15,15,24,22
planar15000,3,15,14,,,14,14,15,14,16,16,13,13,20,19
planar7002,3,19,18,38,28,19,19,20,18,18,18,18,18,31,28
planar8500,3,18,17,44,38,18,18,17,17,23,23,17,17,25,23
polblogs,3,312,279,449,419,345,342,419,363,277,277,268,243,453,384
sb-12-0,3,116,75,246,88,235,84,200,84,76,76,108,74,108,79
sb-12-1,3,109,77,269,88,248,85,192,85,76,75,114,78,105,78
as20000102,4,87,67,268,264,99,98,92,77,76,75,61,59,126,114
cl-12-0,4,510,432,943,521,820,573,930,606,406,406,461,400,672,458
cl-12-1,4,510,448,941,516,837,597,929,616,409,409,480,402,773,465
clh-12-0,4,350,286,813,490,637,374,549,361,272,272,309,268,427,317
clh-12-1,4,322,280,792,453,623,376,529,349,266,266,307,265,486,326
cond-mat,4,387,254,,,699,319,457,279,193,192,230,194,383,250
fvs001,4,144,112,164,104,112,103,190,152,93,87,78,72,331,309
fvs022,4,117,93,398,351,131,131,144,118,90,89,86,80,172,160
fvs040,4,105,88,387,253,126,124,137,113,82,81,89,81,186,175
fvs045,4,30,17,,,21,16,33,21,14,14,22,16,28,20
fvs074,4,114,94,404,336,126,125,147,119,83,83,85,77,185,170
fvs080,4,72,61,206,178,90,90,85,69,60,59,56,56,102,96
hep-th,4,211,130,,,320,152,235,145,117,117,127,106,204,145
p2p-Gnutella04,4,1516,1236,,,2702,2398,2427,2060,1021,1021,1292,1138,,
planar10000,4,21,21,94,69,23,22,22,21,27,27,21,20,32,31
planar12000,4,21,19,101,67,21,20,19,19,31,31,19,18,31,29
planar15000,4,18,18,,,20,20,19,18,24,24,17,17,29,26
planar7002,4,23,23,46,37,26,26,22,21,22,22,22,22,51,42
planar8500,4,21,21,58,51,25,25,21,20,22,22,22,21,46,43
polblogs,4,386,350,451,450,348,348,483,435,340,339,301,283,540,487
sb-12-0,4,381,285,846,419,717,353,699,372,269,268,347,279,437,302
sb-12-1,4,377,281,957,405,756,351,669,366,268,268,359,278,453,307
as20000102,5,111,84,273,272,101,101,120,105,82,82,74,71,193,174
cl-12-0,5,691,620,1132,769,865,795,1219,975,574,573,595,557,860,686
cl-12-1,5,735,624,1159,799,878,810,1246,944,581,581,600,555,845,719
