avg_improvement,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,18.5%,nan%,24.3%,24.4%,1.6%,11.5%,nan%
2,22.9%,nan%,41.3%,28.0%,1.2%,15.0%,12.2%
3,19.8%,nan%,29.1%,28.4%,0.7%,14.8%,16.5%
4,17.2%,nan%,18.5%,22.6%,0.6%,10.3%,nan%
5,13.9%,nan%,8.3%,18.5%,3.9%,6.0%,nan%

avg_logs,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,4.262,nan,4.441,4.406,4.256,4.166,nan
2,3.282,nan,3.402,3.366,3.276,3.220,3.349
3,4.109,nan,4.325,4.222,4.112,4.038,4.281
4,4.664,nan,4.878,4.843,4.639,4.553,nan
5,4.992,nan,5.160,5.191,4.995,4.853,nan

progs_apx_ratio,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,1.124,nan,1.376,1.316,1.123,1.018,nan
2,1.091,nan,1.268,1.196,1.087,1.023,1.172
3,1.097,nan,1.415,1.239,1.105,1.019,1.321
4,1.145,nan,1.434,1.390,1.123,1.020,nan
5,1.164,nan,1.387,1.438,1.177,1.010,nan

progs_win_score,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,4.843,0.343,3.643,4.060,21.843,51.010,2.260
2,2.426,0.343,2.310,0.643,6.260,8.093,1.926
3,1.083,0.000,0.833,1.083,6.750,11.917,0.333
4,0.000,0.000,0.000,2.000,5.500,14.500,0.000
5,1.333,0.000,0.500,0.333,3.333,16.500,0.000
