test,rad,random,deg,deg1,deg2,deg3,deg4,deg5,sortdeg1,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi
as20000102,1,977,13,13,1458,1458,1458,1458,17,13,17,40,54,72,15,15,13,15,15,13,21,21,23,21,21,23
cl-12-0,1,39,,7,10,9,13,14,10,,,,,,14,15,12,14,15,13,26,24,29,26,24,29
cl-12-1,1,37,,7,10,9,13,13,11,,,,,,16,15,13,16,15,13,23,25,34,23,25,34
clh-12-0,1,32,,6,26,12,41,41,10,,,,,,12,12,11,12,12,10,19,19,20,19,19,20
clh-12-1,1,38,,6,9,12,41,46,9,,,,,,12,12,10,12,12,10,20,20,20,20,20,20
cond-mat,1,90,18,18,60,60,60,60,18,18,24,19,34,45,25,20,18,25,20,18,24,25,22,24,25,22
fvs001,1,163,4,4,173,119,167,167,13,,,,,,13,13,9,13,13,9,25,25,29,25,25,29
fvs022,1,1848,18,18,2353,2353,2353,2353,23,,,,,,32,32,23,32,32,23,40,40,34,40,40,34
fvs040,1,2145,16,16,1711,1711,1711,1711,21,,,,,,28,28,19,28,28,19,34,34,29,34,34,29
fvs045,1,7,3,3,52,52,52,52,4,,,,,,4,4,4,4,4,4,4,4,4,4,4,4
fvs074,1,1173,18,18,2292,2292,2292,2292,28,,,,,,31,31,22,31,31,21,37,37,32,37,37,32
fvs080,1,594,14,14,167,394,394,394,17,,,,,,17,17,14,17,17,14,21,21,23,21,21,23
hep-th,1,37,24,24,24,32,32,34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
p2p-Gnutella04,1,100,8,8,62,16,65,79,15,8,13,16,,,26,23,20,26,23,18,33,32,35,33,32,35
planar10000,1,108,,4,104,148,148,148,6,,,,,,6,6,5,6,6,5,6,6,5,6,6,5
planar12000,1,266,,4,210,210,210,210,7,,,,,,6,6,6,6,6,6,6,6,6,6,6,6
planar15000,1,180,,4,103,103,103,103,6,,,,,,5,5,5,5,5,5,5,5,5,5,5,5
planar7002,1,144,,4,225,225,225,225,8,,,,,,6,6,4,6,6,4,5,5,4,5,5,4
planar8500,1,252,,4,194,194,194,194,7,,,,,,6,6,5,6,6,5,6,5,5,6,5,5
polblogs,1,263,37,37,274,286,294,294,60,39,93,132,169,184,73,73,61,73,73,61,79,79,72,79,79,72
sb-12-0,1,14,,5,7,7,7,9,8,,,,,,10,10,9,10,10,8,14,14,14,14,14,14
sb-12-1,1,16,,5,7,9,7,10,8,,,,,,10,10,9,10,10,9,15,14,16,15,14,16
as20000102,2,2544,52,49,1459,2213,3383,3383,42,49,40,60,92,146,45,45,45,44,44,45,58,58,64,57,57,64
cl-12-0,2,230,,62,58,59,71,81,56,,,,,,92,90,105,92,88,105,120,123,126,120,124,127
cl-12-1,2,266,,60,58,57,71,79,57,,,,,,91,97,119,91,96,116,123,129,128,122,129,131
clh-12-0,2,208,,47,44,47,166,214,45,,,,,,66,65,81,67,65,82,88,90,106,88,90,105
clh-12-1,2,283,,47,46,47,188,233,49,,,,,,64,71,74,64,70,74,88,84,90,88,84,90
cond-mat,2,416,81,81,76,137,175,274,54,76,48,60,113,155,73,74,74,73,72,72,73,85,88,73,87,91
fvs001,2,375,69,69,217,151,340,290,48,,,,,,52,56,47,52,56,47,68,71,70,68,71,70
fvs022,2,4987,61,61,2355,4099,5463,5494,65,,,,,,82,82,74,79,79,74,97,97,97,101,101,96
fvs040,2,5196,58,58,1729,3200,4348,4403,50,,,,,,77,77,69,70,70,70,82,82,84,90,90,84
fvs045,2,16,8,8,53,56,150,150,10,,,,,,10,10,9,10,10,9,10,9,9,10,9,9
fvs074,2,4374,59,59,2293,4083,5564,5630,55,,,,,,88,88,75,83,83,76,92,92,102,97,97,101
fvs080,2,2047,38,38,566,1355,1636,1755,38,,,,,,43,43,42,43,43,42,58,58,60,58,58,59
hep-th,2,203,48,48,38,74,133,161,45,44,31,43,64,67,54,57,53,54,58,51,60,68,66,60,67,67
p2p-Gnutella04,2,663,88,88,95,77,289,610,83,90,70,99,,,128,129,126,126,128,126,149,143,152,147,142,152
planar10000,2,567,,16,117,332,1128,1128,12,,,,,,12,12,11,12,12,11,13,14,12,13,14,12
planar12000,2,1092,,15,216,337,1150,1150,11,,,,,,12,13,11,12,13,11,12,12,12,12,12,12
planar15000,2,670,,13,109,160,590,590,11,,,,,,10,11,10,10,11,10,11,12,11,11,12,11
