test,rad,sortdeg1.lsR
as20000102,1,13
cl-12-0,1,7
cl-12-1,1,7
clh-12-0,1,6
clh-12-1,1,6
cond-mat,1,18
fvs001,1,4
fvs022,1,18
fvs040,1,16
fvs045,1,3
fvs074,1,18
fvs080,1,14
hep-th,1,24
p2p-Gnutella04,1,8
planar10000,1,4
planar12000,1,4
planar15000,1,4
planar7002,1,4
planar8500,1,4
polblogs,1,37
sb-12-0,1,5
sb-12-1,1,5
as20000102,2,29
cl-12-0,2,39
cl-12-1,2,39
clh-12-0,2,31
clh-12-1,2,32
cond-mat,2,39
fvs001,2,36
fvs022,2,43
fvs040,2,37
fvs045,2,6
fvs074,2,41
fvs080,2,28
hep-th,2,27
p2p-Gnutella04,2,53
planar10000,2,10
planar12000,2,9
planar15000,2,9
planar7002,2,10
planar8500,2,10
polblogs,2,181
sb-12-0,2,20
sb-12-1,2,20
as20000102,3,43
cl-12-0,3,182
cl-12-1,3,190
clh-12-0,3,123
clh-12-1,3,127
cond-mat,3,89
fvs001,3,67
fvs022,3,58
fvs040,3,59
fvs045,3,11
fvs074,3,58
fvs080,3,42
hep-th,3,63
p2p-Gnutella04,3,348
planar10000,3,16
planar12000,3,15
planar15000,3,13
planar7002,3,18
planar8500,3,17
polblogs,3,243
sb-12-0,3,73
sb-12-1,3,75
as20000102,4,59
cl-12-0,4,397
cl-12-1,4,401
clh-12-0,4,268
clh-12-1,4,265
cond-mat,4,188
fvs001,4,72
fvs022,4,80
fvs040,4,81
fvs045,4,16
fvs074,4,77
fvs080,4,56
hep-th,4,106
p2p-Gnutella04,4,1126
planar10000,4,20
planar12000,4,18
planar15000,4,17
planar7002,4,22
planar8500,4,21
polblogs,4,283
sb-12-0,4,271
sb-12-1,4,269
as20000102,5,71
cl-12-0,5,556
cl-12-1,5,555
clh-12-0,5,390
clh-12-1,5,374
cond-mat,5,316
fvs001,5,116
fvs022,5,98
fvs040,5,94
fvs045,5,23
fvs074,5,90
fvs080,5,63
hep-th,5,160
p2p-Gnutella04,5,1770
planar10000,5,22
planar12000,5,20
planar15000,5,19
planar7002,5,24
planar8500,5,24
polblogs,5,309
sb-12-0,5,615
sb-12-1,5,611
