test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
as20000102,2,42,0:00.08 ,-1,TIMEOUT,84,0:00.54 ,43,0:00.45 ,33,0:00.14 ,32,0:00.26 ,40,0:02.76 
cl-12-0,2,56,0:00.12 ,-1,TIMEOUT,153,0:47.48 ,89,0:00.16 ,39,0:00.13 ,54,0:00.16 ,47,0:12.31 
cl-12-1,2,57,0:00.06 ,-1,TIMEOUT,185,0:51.00 ,86,0:00.10 ,39,0:00.09 ,56,0:00.18 ,48,0:12.48 
clh-12-0,2,45,0:00.11 ,-1,TIMEOUT,155,0:21.70 ,63,0:00.12 ,32,0:00.08 ,45,0:00.19 ,36,0:05.50 
clh-12-1,2,49,0:00.04 ,-1,TIMEOUT,152,0:18.20 ,63,0:00.13 ,32,0:00.10 ,47,0:00.11 ,37,0:05.48 
cond-mat,2,54,0:00.20 ,-1,RTE,157,0:54.96 ,66,0:03.19 ,36,0:00.38 ,47,0:01.54 ,48,0:05.93 
fvs001,2,48,0:00.07 ,-1,TIMEOUT,84,0:00.77 ,49,0:00.39 ,36,0:00.10 ,36,0:00.25 ,36,0:01.69 
fvs022,2,65,0:00.11 ,-1,TIMEOUT,107,0:01.51 ,76,0:01.50 ,41,0:00.27 ,47,0:00.81 ,63,0:03.36 
fvs040,2,50,0:00.11 ,-1,TIMEOUT,102,0:01.33 ,67,0:01.40 ,47,0:00.22 ,43,0:00.65 ,56,0:03.11 
fvs045,2,10,0:00.14 ,-1,TIMEOUT,9,0:05.00 ,10,0:00.98 ,6,0:00.27 ,6,0:01.30 ,8,0:02.24 
fvs074,2,55,0:00.13 ,-1,TIMEOUT,104,0:01.27 ,81,0:01.34 ,43,0:00.21 ,46,0:00.66 ,67,0:03.43 
fvs080,2,38,0:00.05 ,-1,TIMEOUT,76,0:00.38 ,41,0:00.37 ,28,0:00.11 ,30,0:00.21 ,39,0:01.49 
hep-th,2,45,0:00.11 ,-1,TIMEOUT,91,0:04.97 ,49,0:00.59 ,26,0:00.11 ,35,0:00.35 ,31,0:01.89 
p2p-Gnutella04,2,83,0:00.19 ,-1,TIMEOUT,-1,TIMEOUT,117,0:00.74 ,48,0:00.44 ,76,0:00.98 ,-1,TIMEOUT
planar10000,2,12,0:00.13 ,-1,TIMEOUT,10,0:00.21 ,11,0:01.02 ,13,0:00.18 ,10,0:00.56 ,14,0:01.78 
planar12000,2,11,0:00.10 ,-1,TIMEOUT,10,0:00.20 ,11,0:01.35 ,12,0:00.14 ,10,0:00.74 ,12,0:02.35 
planar15000,2,11,0:00.12 ,-1,TIMEOUT,9,0:00.20 ,10,0:01.94 ,11,0:00.15 ,9,0:01.08 ,11,0:01.91 
planar7002,2,14,0:00.12 ,-1,TIMEOUT,10,0:00.14 ,14,0:00.68 ,12,0:00.14 ,10,0:00.34 ,15,0:01.40 
planar8500,2,12,0:00.09 ,-1,TIMEOUT,10,0:00.20 ,13,0:00.78 ,16,0:00.17 ,10,0:00.54 ,13,0:01.71 
polblogs,2,200,0:00.04 ,415,0:22.50 ,304,0:06.00 ,277,0:00.09 ,166,0:00.11 ,209,0:00.10 ,267,0:04.17 
sb-12-0,2,30,0:00.06 ,-1,TIMEOUT,-1,TIMEOUT,44,0:00.13 ,21,0:00.11 ,31,0:00.16 ,25,0:09.53 
sb-12-1,2,31,0:00.10 ,-1,TIMEOUT,-1,TIMEOUT,41,0:00.09 ,20,0:00.08 ,30,0:00.15 ,24,0:08.52 
as20000102,3,62,0:00.08 ,-1,TIMEOUT,96,0:00.54 ,65,0:00.45 ,47,0:00.12 ,46,0:00.26 ,84,0:02.84 
cl-12-0,3,241,0:00.12 ,-1,TIMEOUT,616,0:47.48 ,422,0:00.16 ,182,0:00.25 ,253,0:00.19 ,276,0:38.34 
cl-12-1,3,240,0:00.06 ,-1,TIMEOUT,626,0:51.00 ,430,0:00.10 ,184,0:00.26 ,246,0:00.19 ,266,0:39.32 
clh-12-0,3,172,0:00.11 ,-1,TIMEOUT,525,0:21.70 ,263,0:00.12 ,125,0:00.20 ,156,0:00.14 ,163,0:17.79 
clh-12-1,3,166,0:00.04 ,-1,TIMEOUT,483,0:18.20 ,283,0:00.13 ,127,0:00.20 ,163,0:00.14 ,155,0:18.38 
cond-mat,3,168,0:00.20 ,-1,RTE,439,0:54.96 ,197,0:03.19 ,88,0:00.57 ,119,0:01.74 ,137,0:24.31 
fvs001,3,85,0:00.07 ,-1,TIMEOUT,97,0:00.77 ,108,0:00.39 ,61,0:00.17 ,73,0:00.27 ,89,0:06.86 
fvs022,3,93,0:00.11 ,-1,TIMEOUT,125,0:01.51 ,118,0:01.50 ,68,0:00.32 ,70,0:00.70 ,108,0:06.37 
fvs040,3,79,0:00.11 ,-1,TIMEOUT,122,0:01.33 ,103,0:01.40 ,62,0:00.37 ,64,0:00.70 ,104,0:07.62 
fvs045,3,19,0:00.14 ,-1,TIMEOUT,13,0:05.00 ,19,0:00.98 ,13,0:00.22 ,13,0:01.24 ,15,0:04.41 
fvs074,3,85,0:00.13 ,-1,TIMEOUT,120,0:01.27 ,111,0:01.34 ,64,0:00.45 ,66,0:00.75 ,108,0:08.59 
fvs080,3,55,0:00.05 ,-1,TIMEOUT,85,0:00.38 ,64,0:00.37 ,44,0:00.14 ,46,0:00.19 ,65,0:02.83 
hep-th,3,127,0:00.11 ,-1,TIMEOUT,223,0:04.97 ,137,0:00.59 ,65,0:00.15 ,90,0:00.38 ,89,0:05.29 
p2p-Gnutella04,3,424,0:00.19 ,-1,TIMEOUT,-1,TIMEOUT,783,0:00.74 ,301,0:01.72 ,493,0:01.45 ,-1,TIMEOUT
planar10000,3,17,0:00.13 ,-1,TIMEOUT,17,0:00.21 ,17,0:01.02 ,22,0:00.16 ,16,0:00.70 ,25,0:02.65 
planar12000,3,17,0:00.10 ,-1,TIMEOUT,15,0:00.20 ,16,0:01.35 ,24,0:00.20 ,15,0:00.82 ,24,0:03.52 
planar15000,3,15,0:00.12 ,-1,TIMEOUT,14,0:00.20 ,15,0:01.94 ,16,0:00.20 ,13,0:01.09 ,20,0:03.26 
planar7002,3,19,0:00.12 ,-1,TIMEOUT,19,0:00.14 ,20,0:00.68 ,18,0:00.13 ,18,0:00.30 ,31,0:01.87 
planar8500,3,18,0:00.09 ,-1,TIMEOUT,18,0:00.20 ,17,0:00.78 ,23,0:00.17 ,17,0:00.43 ,25,0:02.50 
polblogs,3,312,0:00.04 ,449,0:22.50 ,345,0:06.00 ,419,0:00.09 ,277,0:00.21 ,268,0:00.30 ,453,0:08.56 
sb-12-0,3,116,0:00.06 ,-1,TIMEOUT,-1,TIMEOUT,200,0:00.13 ,76,0:00.20 ,108,0:00.21 ,-1,TIMEOUT
sb-12-1,3,109,0:00.10 ,-1,TIMEOUT,-1,TIMEOUT,192,0:00.09 ,76,0:00.20 ,114,0:00.21 ,-1,TIMEOUT
as20000102,4,87,0:00.08 ,-1,TIMEOUT,99,0:00.54 ,92,0:00.45 ,76,0:00.21 ,61,0:00.29 ,126,0:05.14 
cl-12-0,4,510,0:00.12 ,-1,TIMEOUT,820,0:47.48 ,930,0:00.16 ,406,0:00.69 ,461,0:00.43 ,-1,TIMEOUT
cl-12-1,4,510,0:00.06 ,-1,TIMEOUT,837,0:51.00 ,929,0:00.10 ,409,0:00.68 ,480,0:00.39 ,-1,TIMEOUT
clh-12-0,4,350,0:00.11 ,-1,TIMEOUT,637,0:21.70 ,549,0:00.12 ,272,0:00.40 ,309,0:00.23 ,427,0:32.52 
clh-12-1,4,322,0:00.04 ,-1,TIMEOUT,623,0:18.20 ,529,0:00.13 ,266,0:00.40 ,307,0:00.29 ,486,0:30.65 
cond-mat,4,387,0:00.20 ,-1,RTE,699,0:54.96 ,457,0:03.19 ,193,0:01.29 ,230,0:01.72 ,-1,TIMEOUT
fvs001,4,144,0:00.07 ,-1,TIMEOUT,112,0:00.77 ,190,0:00.39 ,93,0:00.25 ,78,0:00.24 ,331,0:14.82 
fvs022,4,117,0:00.11 ,-1,TIMEOUT,131,0:01.51 ,144,0:01.50 ,90,0:00.52 ,86,0:00.79 ,172,0:18.15 
fvs040,4,105,0:00.11 ,-1,TIMEOUT,126,0:01.33 ,137,0:01.40 ,82,0:00.41 ,89,0:00.73 ,186,0:13.08 
fvs045,4,30,0:00.14 ,-1,TIMEOUT,21,0:05.00 ,33,0:00.98 ,14,0:00.25 ,22,0:01.30 ,28,0:07.30 
fvs074,4,114,0:00.13 ,-1,TIMEOUT,126,0:01.27 ,147,0:01.34 ,83,0:00.48 ,85,0:00.66 ,185,0:14.92 
fvs080,4,72,0:00.05 ,-1,TIMEOUT,90,0:00.38 ,85,0:00.37 ,60,0:00.13 ,56,0:00.19 ,102,0:04.98 
hep-th,4,211,0:00.11 ,-1,TIMEOUT,320,0:04.97 ,235,0:00.59 ,117,0:00.31 ,127,0:00.53 ,204,0:11.29 
p2p-Gnutella04,4,1516,0:00.19 ,-1,TIMEOUT,-1,TIMEOUT,2427,0:00.74 ,1021,0:06.10 ,1292,0:03.53 ,-1,TIMEOUT
planar10000,4,21,0:00.13 ,-1,TIMEOUT,23,0:00.21 ,22,0:01.02 ,27,0:00.24 ,21,0:00.62 ,32,0:03.81 
