test,rad,%,MFCS_forb,MFCS_scat,MFCS_score,MFCS_time,TGV_forb,TGV_scat,TGV_score,TGV_time,TGV2_forb,TGV2_scat,TGV2_score,TGV2_time,tree_forb,tree_scat,tree_score,tree_time,tree_shrink_forb,tree_shrink_scat,tree_shrink_score,tree_shrink_time,ldit_forb,ldit_scat,ldit_score,ldit_time,ldpow_forb,ldpow_scat,ldpow_score,ldpow_time,TGV3_forb,TGV3_scat,TGV3_score,TGV3_time
big/as20000102.txtg,2,100,391,3840,278,0:00.73,0,89,89,0:01.23,0,351,351,0:01.02,0,559,559,0:01.29,0,559,559,0:00.66,0,562,562,0:00.70,0,655,655,0:01.24,-,-,-,TIMEOUT
big/as20000102.txtg,2,20,146,853,79,0:00.06,0,41,41,0:01.05,0,212,212,0:00.72,0,271,271,0:00.09,0,271,271,0:00.06,0,283,283,0:00.06,0,299,299,0:00.18,-,-,-,TIMEOUT
big/cl-12-0.txtg,2,100,0,158,158,0:00.10,0,103,103,0:00.55,0,417,417,0:00.48,0,686,686,0:00.06,0,686,686,0:00.05,0,703,703,0:00.04,0,779,779,0:00.38,0,778,778,9:13.47
big/cl-12-0.txtg,2,20,0,66,66,0:00.03,0,47,47,0:00.46,0,189,189,0:00.20,0,252,252,0:00.03,0,252,252,0:00.03,0,275,275,0:00.03,0,290,290,0:00.08,0,290,290,0:58.13
big/cl-12-1.txtg,2,100,0,159,159,0:00.09,0,107,107,0:00.47,0,414,414,0:00.44,0,695,695,0:00.07,0,695,695,0:00.05,0,711,711,0:00.04,0,789,789,0:00.39,0,787,787,9:40.24
big/cl-12-1.txtg,2,20,0,78,78,0:00.03,0,51,51,0:00.41,0,197,197,0:00.24,0,265,265,0:00.03,0,265,265,0:00.03,0,286,286,0:00.02,0,298,298,0:00.08,0,298,298,0:57.44
big/clh-12-0.txtg,2,100,0,154,154,0:00.11,0,125,125,0:00.51,0,450,450,0:00.72,0,649,649,0:00.05,0,649,649,0:00.04,0,662,662,0:00.03,0,980,980,0:00.27,0,980,980,7:54.69
big/clh-12-0.txtg,2,20,0,101,101,0:00.03,0,74,74,0:00.36,0,270,270,0:00.25,0,327,327,0:00.03,0,327,327,0:00.03,0,351,351,0:00.03,0,375,375,0:00.06,0,374,374,0:57.99
big/clh-12-1.txtg,2,100,0,160,160,0:00.10,0,131,131,0:00.46,0,425,425,0:00.58,0,632,632,0:00.05,0,632,632,0:00.04,0,647,647,0:00.03,0,959,959,0:00.27,0,959,959,7:31.86
big/clh-12-1.txtg,2,20,0,99,99,0:00.03,0,91,91,0:00.32,0,276,276,0:00.24,0,320,320,0:00.02,0,320,320,0:00.02,0,342,342,0:00.02,0,366,366,0:00.06,0,365,365,0:57.02
big/cond-mat.txtg,2,100,0,1418,1418,0:00.84,0,1275,1275,0:08.01,0,1870,1870,0:10.39,0,2793,2793,0:00.87,0,2793,2793,0:00.30,0,2835,2835,0:00.16,0,2924,2924,0:01.09,-,-,-,TIMEOUT
big/cond-mat.txtg,2,20,0,760,760,0:00.21,0,689,689,0:01.64,0,1110,1110,0:02.01,0,1316,1316,0:00.20,0,1316,1316,0:00.11,0,1393,1393,0:00.09,0,1429,1429,0:00.25,-,-,-,TIMEOUT
big/fvs001.txtg,2,100,0,168,168,0:00.12,0,158,158,0:00.82,0,151,151,0:00.61,0,173,173,0:00.72,0,173,173,0:00.21,0,174,174,0:00.50,0,196,196,0:01.15,-,-,-,TIMEOUT
big/fvs001.txtg,2,20,0,93,93,0:00.05,0,76,76,0:00.33,0,149,149,0:00.30,0,129,129,0:00.06,0,129,129,0:00.04,0,141,141,0:00.05,0,165,165,0:00.18,0,165,165,2:07.41
big/fvs022.txtg,2,100,610,6948,419,0:01.36,0,100,100,0:03.35,0,583,583,0:03.09,0,858,858,0:04.03,0,858,858,0:01.58,0,860,860,0:01.99,0,991,991,0:04.42,-,-,-,TIMEOUT
big/fvs022.txtg,2,20,239,1503,103,0:00.12,0,54,54,0:02.57,0,276,276,0:01.94,0,393,393,0:00.25,0,393,393,0:00.13,0,411,411,0:00.15,0,436,436,0:00.58,-,-,-,TIMEOUT
big/fvs040.txtg,2,100,331,4513,417,0:00.96,0,106,106,0:03.44,0,563,563,0:02.62,0,837,837,0:03.28,0,837,837,0:01.46,0,838,838,0:01.67,0,968,968,0:03.91,-,-,-,TIMEOUT
big/fvs040.txtg,2,20,181,1083,29,0:00.11,0,51,51,0:02.59,0,271,271,0:01.89,0,383,383,0:00.19,0,383,383,0:00.12,0,404,404,0:00.12,0,425,425,0:00.52,-,-,-,TIMEOUT
big/fvs045.txtg,2,100,0,1645,1645,0:01.34,0,1929,1929,0:32.46,0,2261,2261,0:16.48,0,2995,2995,0:00.37,0,2995,2995,0:00.23,0,3045,3045,0:00.09,0,4971,4971,0:00.32,-,-,-,TIMEOUT
