test,rad,sortdeg1.lsR
out.as-caida20071105,1,23
out.bibsonomy-2ut,1,69
out.bookcrossing_rating_rating,1,15
out.ca-AstroPh,1,57
out.cfinder-google,1,103
out.chess,1,30
out.cit-HepPh,1,31
out.cit-HepTh,1,38
out.dblp-cite,1,13
out.dbpedia-genre,1,9
out.dbpedia-location,1,6
out.dbpedia-occupation,1,7
out.dbpedia-producer,1,7
out.dbpedia-recordlabel,1,8
out.dbpedia-starring,1,8
out.dbpedia-writer,1,7
out.discogs_lgenre_lgenre,1,16
out.douban,1,16
out.eat,1,35
out.edit-enwikibooks,1,23
out.edit-enwikinews,1,31
out.edit-enwikiquote,1,30
out.edit-frwikibooks,1,13
out.edit-frwikinews,1,13
out.elec,1,54
out.email-EuAll,1,38
out.enron,1,54
out.facebook-wosn-wall,1,17
out.foldoc,1,13
out.github,1,49
out.linux,1,24
out.lkml-reply,1,92
out.loc-brightkite_edges,1,53
out.matrix,1,55
out.movielens-10m_ti,1,18
out.movielens-10m_ui,1,29
out.munmun_digg_reply,1,10
out.opsahl-collaboration,1,9
out.p2p-Gnutella31,1,7
out.pics_ut,1,100
out.reactome,1,177
out.slashdot-threads,1,15
out.soc-Epinions1,1,68
out.subelj_cora_cora,1,14
out.subelj_jdk_jdk,1,66
out.subelj_jung-j_jung-j,1,66
out.topology,1,64
out.youtube-groupmemberships,1,23
out.as-caida20071105,2,54
out.bibsonomy-2ut,2,551
out.bookcrossing_rating_rating,2,383
out.ca-AstroPh,2,353
out.cfinder-google,2,315
out.chess,2,262
out.cit-HepPh,2,376
out.cit-HepTh,2,422
out.dblp-cite,2,93
out.dbpedia-genre,2,78
out.dbpedia-location,2,23
out.dbpedia-occupation,2,40
out.dbpedia-producer,2,46
out.dbpedia-recordlabel,2,45
out.dbpedia-starring,2,62
out.dbpedia-writer,2,17
out.discogs_lgenre_lgenre,2,16
out.douban,2,338
out.eat,2,799
out.edit-enwikibooks,2,214
out.edit-enwikinews,2,174
out.edit-enwikiquote,2,176
out.edit-frwikibooks,2,91
out.edit-frwikinews,2,57
out.elec,2,482
out.email-EuAll,2,427
out.enron,2,472
out.facebook-wosn-wall,2,192
out.foldoc,2,64
out.github,2,907
out.linux,2,198
out.lkml-reply,2,409
out.loc-brightkite_edges,2,232
out.matrix,2,990
out.movielens-10m_ti,2,210
out.movielens-10m_ui,2,219
out.munmun_digg_reply,2,117
out.opsahl-collaboration,2,22
out.p2p-Gnutella31,2,46
out.pics_ut,2,981
