test,rad,sortdeg1_wcol,sortdeg1_LS,td_wcol,td_LS,fill-in_wcol,fill-in_LS,berlin.sna_wcol,berlin.sna_LS,WReachR_wcol,WReachR_LS,SReachR_wcol,SReachR_LS,felixR_wcol,felixR_LS
ca-CondMat,2,126,85,,,,,161,94,74,73,105,78,111,83
ca-HepPh,2,389,279,,,,,377,298,287,287,337,270,609,452
cit-HepPh,2,545,438,,,,,759,618,320,320,,,,
cit-HepTh,2,589,486,,,,,875,690,360,360,,,,
cl-14-0,2,58,43,,,,,107,59,40,40,59,44,52,41
clh-14-0,2,53,35,,,,,84,44,34,34,51,35,40,34
email-Enron,2,459,389,,,,,636,492,357,357,436,371,653,522
fvs037,2,193,192,,,193,192,978,895,192,192,192,192,1671,1479
fvs041,2,151,151,,,133,133,140,133,145,145,131,131,194,149
loc-brightkite_edges,2,315,249,,,,,490,312,223,223,,,,
planar50002,2,16,14,,,10,10,14,13,14,13,,,16,16
planar70000,2,14,12,,,10,10,13,13,18,18,,,15,13
sb-14-0,2,36,24,,,,,50,29,21,20,33,23,25,22
soc-Epinions1,2,1079,1001,,,,,1595,1401,870,870,,,,
soc-Slashdot0811,2,1107,1002,,,,,1950,1781,885,885,,,,
twittercrawl,2,947,690,,,1179,875,843,699,688,688,874,775,1251,1029
ca-CondMat,3,447,342,,,,,563,417,268,266,339,303,495,385
ca-HepPh,3,733,629,,,,,838,679,547,547,562,531,1048,914
cit-HepPh,3,2292,2121,,,,,3253,3012,1352,1352,,,,
cit-HepTh,3,2359,2084,,,,,3102,2858,1492,1492,,,,
cl-14-0,3,364,282,,,,,674,465,245,245,348,292,,
clh-14-0,3,268,206,,,,,463,298,183,183,274,212,,
email-Enron,3,1056,968,,,,,1432,1295,859,859,,,,
fvs037,3,195,195,,,195,195,2600,2072,482,210,195,195,520,278
fvs041,3,155,155,,,145,145,146,146,155,155,143,142,236,184
loc-brightkite_edges,3,1085,982,,,,,1711,1450,764,764,,,,
planar50002,3,21,21,,,20,20,20,20,20,19,,,37,33
planar70000,3,19,19,,,18,18,20,18,26,26,,,28,28
sb-14-0,3,128,97,,,,,228,142,80,79,125,96,,
soc-Epinions1,3,2478,2355,,,,,3401,3334,2096,2096,,,,
soc-Slashdot0811,3,3002,3002,,,,,5429,5429,2595,2595,,,,
twittercrawl,3,1153,1095,,,1246,1244,1233,1175,1135,1135,1030,1014,,
ca-CondMat,4,947,825,,,,,1248,1046,615,615,,,,
ca-HepPh,4,1207,1075,,,,,1381,1213,862,861,,,,
cit-HepPh,4,5204,5147,,,,,6853,6769,3435,3435,,,,
cit-HepTh,4,4676,4379,,,,,5602,5495,3114,3114,,,,
cl-14-0,4,1219,1042,,,,,2273,1950,887,887,1132,1004,,
clh-14-0,4,766,675,,,,,1394,1124,591,591,776,673,,
email-Enron,4,1602,1487,,,,,2118,2010,1303,1303,,,,
fvs037,4,195,195,,,195,195,2601,2601,195,195,195,195,,
fvs041,4,161,160,,,147,146,151,150,161,160,146,146,230,193
loc-brightkite_edges,4,2177,2120,,,,,3224,3107,1657,1657,,,,
planar50002,4,25,25,,,28,27,24,24,25,24,,,76,64
planar70000,4,28,23,,,25,25,26,23,36,34,,,39,36
sb-14-0,4,505,425,,,,,984,741,332,332,489,414,,
soc-Epinions1,4,3463,3459,,,,,4659,4632,2973,2973,,,,
soc-Slashdot0811,4,4740,4740,,,,,7827,7827,,,,,,
twittercrawl,4,1342,1182,,,1247,1247,1344,1300,1160,1159,974,884,,
ca-CondMat,5,1465,1350,,,,,1945,1760,989,988,,,,
ca-HepPh,5,1493,1397,,,,,1776,1608,1144,1144,,,,
cit-HepPh,5,8294,8294,,,,,10150,10150,,,,,,
cit-HepTh,5,6826,6780,,,,,8052,7936,4727,4727,,,,
cl-14-0,5,2025,1866,,,,,3701,3498,1598,1598,,,,
clh-14-0,5,1468,1254,,,,,2398,2134,1076,1076,,,,
email-Enron,5,1983,1858,,,,,2579,2498,1638,1638,,,,
fvs037,5,195,195,,,195,195,2601,2601,195,195,195,195,,
fvs041,5,164,164,,,147,146,154,153,164,164,147,146,217,205
loc-brightkite_edges,5,3304,3273,,,,,4710,4682,2413,2413,,,,
planar50002,5,29,28,,,33,33,28,27,29,28,,,94,89
planar70000,5,29,27,,,31,31,28,27,54,54,,,64,61
sb-14-0,5,1618,1454,,,,,3122,2812,1138,1138,,,,
soc-Epinions1,5,4347,4347,,,,,5649,5649,,,,,,
soc-Slashdot0811,5,6065,6065,,,,,9607,9607,,,,,,
twittercrawl,5,1475,1278,,,1247,1247,1406,1327,1229,1228,1088,1067,,
