avg_improvement,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,10.1%,nan%,nan%,11.9%,nan%,nan%,nan%
2,18.7%,nan%,nan%,22.1%,0.8%,nan%,nan%
3,9.7%,nan%,nan%,14.1%,4.0%,nan%,nan%
4,7.1%,nan%,nan%,7.2%,nan%,nan%,nan%
5,4.9%,nan%,nan%,4.0%,nan%,nan%,nan%

avg_logs,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,6.135,nan,nan,6.503,nan,nan,nan
2,5.004,nan,nan,5.279,4.930,nan,nan
3,5.998,nan,nan,6.378,5.876,nan,nan
4,6.593,nan,nan,7.007,nan,nan,nan
5,6.944,nan,nan,7.349,nan,nan,nan

progs_apx_ratio,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,1.173,nan,nan,2.106,nan,nan,nan
2,1.154,nan,nan,1.634,1.079,nan,nan
3,1.185,nan,nan,2.142,1.048,nan,nan
4,1.197,nan,nan,2.353,nan,nan,nan
5,1.155,nan,nan,2.294,nan,nan,nan

progs_win_score,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,6.083,0.000,4.583,3.000,40.750,9.083,0.500
2,0.250,0.000,2.250,0.000,10.750,2.250,0.500
3,0.333,0.000,0.833,0.500,11.000,3.333,0.000
4,1.750,0.000,0.750,1.000,10.750,1.750,0.000
5,3.750,0.000,0.750,1.500,8.250,1.750,0.000
