test,rad,random,deg1,deg2,deg3,deg4,deg5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,td,fill-in,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.sna,berlin.sno,berlin.sni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi,berlin.sya,berlin.syo,berlin.syi,christoph
ca-CondMat,1,181,26,70,132,163,163,32,27,27,28,27,,,26,36,50,,,34,34,35,34,34,35,33,33,36,43,43,41,43,43,41,43,43,41,38
ca-HepPh,1,405,239,348,399,399,399,239,239,239,239,239,,,239,316,428,,,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
cit-HepPh,1,686,31,213,308,,,56,66,65,70,77,,,31,,,,,84,86,69,84,86,69,84,85,69,99,103,97,99,103,97,99,103,97,86
cit-HepTh,1,1989,38,1670,1050,1050,,76,141,95,110,99,,,40,,,,,93,92,86,93,92,86,93,91,86,104,107,111,104,107,111,104,107,111,116
cl-14-0,1,46,6,10,9,11,16,12,9,9,9,9,,,6,9,,,,16,17,13,16,17,13,15,16,13,32,30,35,32,30,35,32,30,35,17
clh-14-0,1,43,6,10,9,15,19,11,9,9,9,9,,,6,9,,,,15,14,11,15,14,11,15,14,14,26,26,27,26,26,27,26,26,27,19
email-Enron,1,1201,44,189,1191,,,71,80,80,100,108,,,48,280,,,,89,89,82,89,89,82,89,89,82,103,107,96,103,107,96,103,107,96,103
fvs037,1,596,21,625,106,623,623,21,625,21,580,582,,21,21,248,96,,,97,100,91,97,100,91,97,100,91,156,157,144,156,157,144,156,157,144,136
fvs041,1,329,97,148,327,327,327,110,110,97,97,97,,97,97,146,139,136,130,111,111,97,111,111,97,110,110,97,110,110,97,110,110,97,111,111,97,122
loc-brightkite_edges,1,874,53,217,779,,,67,79,96,96,95,,,64,,,,,96,81,90,95,82,90,94,81,91,108,90,112,108,89,112,108,90,111,92
planar50002,1,437,4,232,364,505,,8,8,11,13,14,,4,4,7,12,16,16,7,7,4,7,7,4,7,7,4,6,6,4,6,6,4,6,6,4,7
planar70000,1,403,4,435,386,435,435,7,12,16,16,16,,4,4,8,8,12,11,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,,,,7
sb-14-0,1,17,5,10,7,7,7,10,7,7,7,7,,,5,7,,,,12,11,9,12,11,9,11,,,15,18,17,15,18,17,,,,12
soc-Epinions1,1,2740,68,2341,,,,122,128,165,175,181,,,96,,,,,195,195,129,195,195,129,195,,,206,206,144,206,206,144,,,,214
soc-Slashdot0811,1,1335,55,618,,,,102,106,103,100,115,,,64,,,,,153,140,97,153,140,97,151,,,154,155,137,154,155,137,,,,181
twittercrawl,1,917,143,513,836,836,836,173,341,341,762,987,,384,160,398,,,,255,255,299,255,255,299,255,,,264,264,312,264,264,312,,,,280
ca-CondMat,2,1419,156,155,479,1080,1368,126,125,126,135,139,,,155,111,257,,,168,168,171,167,167,168,161,161,163,195,199,196,195,199,199,194,199,201,192
ca-HepPh,2,2031,551,585,1683,1985,2023,389,363,375,413,420,,,555,609,841,,,401,401,438,399,399,433,377,377,414,445,445,477,436,436,474,447,447,495,415
cit-HepPh,2,4892,741,559,1399,,,545,578,590,718,824,,,758,,,,,780,888,776,780,884,776,759,872,762,842,964,862,846,969,862,853,968,852,889
cit-HepTh,2,8651,763,2328,3574,5682,,589,994,901,1035,1004,,,767,,,,,886,905,948,886,901,947,875,881,943,912,939,1025,911,944,1026,921,954,1027,1068
cl-14-0,2,364,70,59,59,58,108,58,59,58,56,56,,,82,52,,,,110,115,127,109,115,125,107,114,120,149,157,172,149,155,174,137,146,159,121
clh-14-0,2,327,56,53,52,65,123,53,52,56,55,53,,,57,40,,,,92,79,99,90,80,98,84,75,93,121,121,133,122,121,133,115,113,128,107
email-Enron,2,11560,547,869,4149,,,459,629,572,761,639,,,546,653,,,,644,663,651,639,660,650,636,648,635,653,705,686,658,703,687,662,717,702,799
fvs037,2,4844,374,1060,280,4640,4641,193,1732,192,2998,5709,,193,372,1671,273,,,981,874,823,981,873,820,978,869,819,1841,1605,1554,1842,1605,1554,1891,1639,1556,1121
fvs041,2,5988,129,313,4989,5241,5381,151,130,124,139,137,,133,126,194,192,178,172,139,139,131,139,139,131,140,140,131,137,137,131,137,137,131,136,136,131,144
loc-brightkite_edges,2,9882,456,756,2548,,,315,350,397,408,411,,,454,,,,,502,520,532,500,521,533,490,510,524,534,562,600,535,561,598,542,575,597,474
planar50002,2,3689,10,258,947,1978,,16,13,19,26,28,,10,10,16,25,34,30,14,14,10,14,14,10,14,14,10,13,13,10,13,13,10,13,13,10,15
planar70000,2,2415,14,441,482,2812,2696,14,20,30,31,32,,10,14,15,18,21,25,14,14,12,13,13,12,13,13,11,13,13,12,13,13,12,13,13,14,14
sb-14-0,2,85,37,28,30,30,30,36,36,32,34,33,,,33,25,,,,51,52,52,51,52,52,50,47,46,77,83,72,77,84,72,70,73,75,53
soc-Epinions1,2,22427,1305,2905,,,,1079,1373,1422,1425,1439,,,1330,,,,,1611,1611,1667,1606,1606,1664,1595,,,1618,1618,1702,1630,1630,1705,,,,1720
soc-Slashdot0811,2,15647,1314,2009,,,,1107,1551,1454,1456,1606,,,1309,,,,,1958,2086,2015,1960,2087,2013,1950,,,2058,2154,2124,2055,2152,2126,,,,2191
twittercrawl,2,3002,1076,1148,2715,2938,2958,947,1011,1154,1976,3025,,1179,1109,1251,,,,851,851,982,849,849,978,843,,,857,857,999,859,859,999,,,,980
ca-CondMat,3,5214,783,687,732,2048,4397,447,436,463,487,536,,,741,476,495,,,601,599,694,591,595,690,563,563,657,617,649,729,619,651,735,649,646,751,651
ca-HepPh,3,4607,1060,1029,1894,2876,4089,733,694,652,662,689,,,1184,1065,1048,,,846,846,881,854,854,867,838,838,841,932,932,905,935,935,927,925,925,947,772
cit-HepPh,3,16263,3330,3291,2963,,,2292,2484,2426,2971,2815,,,3337,,,,,3380,3264,3104,3355,3242,3097,3253,3156,3053,3296,3256,3239,3309,3294,3236,3441,3370,3300,3472
cit-HepTh,3,17562,3473,5120,5276,9235,,2359,3747,3487,3842,3799,,,3480,,,,,3204,3510,3551,3173,3482,3516,3102,3403,3428,3143,3495,3538,3218,3547,3599,3275,3628,3700,3639
cl-14-0,3,2158,472,437,396,381,709,364,376,366,368,371,,,516,365,,,,713,700,836,707,700,834,674,673,791,733,751,865,737,750,867,786,837,913,771
clh-14-0,3,1805,352,332,301,307,595,268,269,291,298,295,,,379,265,,,,495,457,579,492,459,578,463,444,556,524,513,584,521,510,595,556,531,646,552
email-Enron,3,20387,1283,2225,4732,,,1056,1582,1395,1471,1493,,,1290,1308,,,,1488,1482,1495,1472,1473,1490,1432,1439,1464,1500,1536,1585,1515,1553,1578,1531,1582,1607,1682
fvs037,3,15032,1921,20343,422,15009,14900,195,20317,195,4879,16138,,195,1885,1912,520,,,2611,2183,2054,2609,2181,2054,2600,2173,2047,6066,5240,4792,6066,5240,4792,6080,5240,4799,2693
fvs041,3,11285,141,366,5463,6040,10529,155,134,136,148,146,,145,138,201,236,220,207,146,146,143,146,146,143,146,146,143,146,146,143,146,146,143,146,146,143,159
loc-brightkite_edges,3,25010,1750,2532,3421,,,1085,1393,1502,1544,1550,,,1668,,,,,1793,1754,1776,1778,1748,1771,1711,1679,1690,1782,1816,1876,1805,1818,1883,1871,1900,1916,1748
planar50002,3,10596,20,287,1005,3083,,21,19,26,37,47,,20,19,26,37,56,49,20,20,20,20,20,20,20,20,20,19,19,20,19,19,20,20,20,20,23
planar70000,3,6829,32,467,526,2996,3645,19,27,39,49,50,,18,24,24,28,30,36,20,21,20,20,21,20,20,19,18,21,22,20,21,22,20,22,23,21,20
sb-14-0,3,343,182,161,137,132,130,128,132,126,126,128,,,179,142,,,,246,228,248,247,228,248,228,220,229,287,286,278,287,286,277,271,269,270,246
soc-Epinions1,3,42379,2900,4936,,,,2478,3294,3353,3393,3386,,,2861,,,,,3437,3439,3637,3424,3425,3623,3401,3407,3572,3516,3505,3750,3557,3547,3781,3588,3583,3826,3451
soc-Slashdot0811,3,44680,3886,6258,,,,3002,4851,4635,4547,4590,,,3865,,,,,5484,5537,5358,5482,5530,5359,5429,5486,5308,5877,5947,5692,5893,5951,5691,5985,6080,5805,5763
