test,rad,sortdeg1.lsR
ca-CondMat,1,26
ca-HepPh,1,239
cit-HepPh,1,31
cit-HepTh,1,38
cl-14-0,1,6
clh-14-0,1,6
email-Enron,1,44
fvs037,1,21
fvs041,1,97
loc-brightkite_edges,1,53
planar50002,1,4
planar70000,1,4
sb-14-0,1,5
soc-Epinions1,1,68
soc-Slashdot0811,1,55
twittercrawl,1,143
ca-CondMat,2,73
ca-HepPh,2,270
cit-HepPh,2,382
cit-HepTh,2,431
cl-14-0,2,43
clh-14-0,2,34
email-Enron,2,361
fvs037,2,192
fvs041,2,131
loc-brightkite_edges,2,230
planar50002,2,10
planar70000,2,10
sb-14-0,2,22
soc-Epinions1,2,947
soc-Slashdot0811,2,1023
twittercrawl,2,764
ca-CondMat,3,293
ca-HepPh,3,531
cit-HepPh,3,1654
cit-HepTh,3,1708
cl-14-0,3,281
clh-14-0,3,207
email-Enron,3,876
fvs037,3,195
fvs041,3,142
loc-brightkite_edges,3,795
planar50002,3,19
planar70000,3,17
sb-14-0,3,93
soc-Epinions1,3,2221
soc-Slashdot0811,3,2937
twittercrawl,3,1014
ca-CondMat,4,632
ca-HepPh,4,783
cit-HepPh,4,4017
cit-HepTh,4,3421
cl-14-0,4,992
clh-14-0,4,658
email-Enron,4,1294
fvs037,4,195
fvs041,4,146
loc-brightkite_edges,4,1607
planar50002,4,26
planar70000,4,24
sb-14-0,4,409
soc-Epinions1,4,3107
soc-Slashdot0811,4,4434
twittercrawl,4,884
ca-CondMat,5,970
ca-HepPh,5,973
cit-HepPh,5,6129
cit-HepTh,5,4950
cl-14-0,5,1676
clh-14-0,5,1121
email-Enron,5,1583
fvs037,5,195
fvs041,5,146
loc-brightkite_edges,5,2403
planar50002,5,28
planar70000,5,30
sb-14-0,5,1344
soc-Epinions1,5,
soc-Slashdot0811,5,
twittercrawl,5,1067
