test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
ca-CondMat,2,126,0:01.08 ,-1,RTE,-1,TIMEOUT,161,0:07.23 ,74,0:03.16 ,-1,TIMEOUT,-1,TIMEOUT
ca-HepPh,2,389,0:01.22 ,-1,RTE,-1,TIMEOUT,377,0:02.65 ,287,0:03.39 ,337,0:46.64 ,-1,TIMEOUT
cit-HepPh,2,545,0:02.51 ,-1,RTE,-1,TIMEOUT,759,0:06.69 ,320,0:15.51 ,-1,TIMEOUT,-1,TIMEOUT
cit-HepTh,2,589,0:02.04 ,-1,TIMEOUT,-1,TIMEOUT,875,0:06.57 ,360,0:11.23 ,-1,TIMEOUT,-1,TIMEOUT
cl-14-0,2,58,0:00.43 ,-1,TIMEOUT,-1,TIMEOUT,107,0:01.09 ,40,0:01.27 ,-1,TIMEOUT,-1,TIMEOUT
clh-14-0,2,53,0:00.33 ,-1,RTE,-1,TIMEOUT,84,0:01.35 ,34,0:00.99 ,-1,TIMEOUT,-1,TIMEOUT
email-Enron,2,459,0:02.19 ,-1,RTE,-1,TIMEOUT,636,0:16.57 ,357,0:07.17 ,-1,TIMEOUT,-1,TIMEOUT
fvs037,2,193,0:00.66 ,-1,TIMEOUT,193,0:18.48 ,978,0:04.53 ,192,0:01.36 ,-1,TIMEOUT,1671,0:44.39 
fvs041,2,151,0:00.43 ,-1,TIMEOUT,133,0:01.11 ,140,0:04.43 ,145,0:01.52 ,-1,TIMEOUT,194,0:17.70 
loc-brightkite_edges,2,315,0:02.72 ,-1,RTE,-1,TIMEOUT,490,0:26.94 ,223,0:09.65 ,-1,TIMEOUT,-1,TIMEOUT
planar50002,2,16,0:01.07 ,-1,RTE,10,0:01.73 ,14,0:28.53 ,14,0:02.44 ,-1,TIMEOUT,16,0:16.20 
planar70000,2,14,0:01.31 ,-1,RTE,10,0:01.80 ,13,0:51.99 ,18,0:02.65 ,-1,TIMEOUT,15,0:23.62 
sb-14-0,2,36,0:00.40 ,-1,TIMEOUT,-1,TIMEOUT,50,0:00.70 ,21,0:01.05 ,-1,TIMEOUT,-1,TIMEOUT
soc-Epinions1,2,1079,0:02.61 ,-1,RTE,-1,TIMEOUT,-1,TIMEOUT,870,0:27.51 ,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,2,1107,0:03.71 ,-1,RTE,-1,TIMEOUT,1950,0:56.55 ,885,0:39.07 ,-1,TIMEOUT,-1,TIMEOUT
twittercrawl,2,947,0:00.77 ,-1,TIMEOUT,-1,TIMEOUT,843,0:01.59 ,688,0:02.60 ,874,0:31.58 ,-1,TIMEOUT
ca-CondMat,3,447,0:01.08 ,-1,RTE,-1,TIMEOUT,563,0:07.23 ,268,0:06.87 ,-1,TIMEOUT,-1,TIMEOUT
ca-HepPh,3,733,0:01.22 ,-1,RTE,-1,TIMEOUT,838,0:02.65 ,547,0:07.06 ,-1,TIMEOUT,-1,TIMEOUT
cit-HepPh,3,2292,0:02.51 ,-1,RTE,-1,TIMEOUT,3253,0:06.69 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
cit-HepTh,3,2359,0:02.04 ,-1,TIMEOUT,-1,TIMEOUT,3102,0:06.57 ,1492,0:47.63 ,-1,TIMEOUT,-1,TIMEOUT
cl-14-0,3,364,0:00.43 ,-1,TIMEOUT,-1,TIMEOUT,674,0:01.09 ,245,0:03.69 ,-1,TIMEOUT,-1,TIMEOUT
clh-14-0,3,268,0:00.33 ,-1,RTE,-1,TIMEOUT,463,0:01.35 ,183,0:03.02 ,-1,TIMEOUT,-1,TIMEOUT
email-Enron,3,1056,0:02.19 ,-1,RTE,-1,TIMEOUT,1432,0:16.57 ,859,0:20.25 ,-1,TIMEOUT,-1,TIMEOUT
fvs037,3,195,0:00.66 ,-1,TIMEOUT,195,0:18.48 ,2600,0:04.53 ,482,0:06.25 ,-1,TIMEOUT,-1,TIMEOUT
fvs041,3,155,0:00.43 ,-1,TIMEOUT,145,0:01.11 ,146,0:04.43 ,155,0:03.00 ,-1,TIMEOUT,236,0:48.09 
loc-brightkite_edges,3,1085,0:02.72 ,-1,RTE,-1,TIMEOUT,1711,0:26.94 ,764,0:37.53 ,-1,TIMEOUT,-1,TIMEOUT
planar50002,3,21,0:01.07 ,-1,RTE,20,0:01.73 ,20,0:28.53 ,20,0:02.29 ,-1,TIMEOUT,37,0:25.64 
planar70000,3,19,0:01.31 ,-1,RTE,18,0:01.80 ,20,0:51.99 ,26,0:04.15 ,-1,TIMEOUT,28,0:35.75 
sb-14-0,3,128,0:00.40 ,-1,TIMEOUT,-1,TIMEOUT,228,0:00.70 ,80,0:02.34 ,-1,TIMEOUT,-1,TIMEOUT
soc-Epinions1,3,2478,0:02.61 ,-1,RTE,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,3,3002,0:03.71 ,-1,RTE,-1,TIMEOUT,5429,0:56.55 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
twittercrawl,3,1153,0:00.77 ,-1,TIMEOUT,-1,TIMEOUT,1233,0:01.59 ,1135,0:06.24 ,-1,TIMEOUT,-1,TIMEOUT
ca-CondMat,4,947,0:01.08 ,-1,RTE,-1,TIMEOUT,1248,0:07.23 ,615,0:17.72 ,-1,TIMEOUT,-1,TIMEOUT
ca-HepPh,4,1207,0:01.22 ,-1,RTE,-1,TIMEOUT,1381,0:02.65 ,862,0:14.13 ,-1,TIMEOUT,-1,TIMEOUT
cit-HepPh,4,5204,0:02.51 ,-1,RTE,-1,TIMEOUT,6853,0:06.69 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
cit-HepTh,4,4676,0:02.04 ,-1,TIMEOUT,-1,TIMEOUT,5602,0:06.57 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
cl-14-0,4,1219,0:00.43 ,-1,TIMEOUT,-1,TIMEOUT,2273,0:01.09 ,887,0:14.44 ,-1,TIMEOUT,-1,TIMEOUT
clh-14-0,4,766,0:00.33 ,-1,RTE,-1,TIMEOUT,1394,0:01.35 ,591,0:08.63 ,-1,TIMEOUT,-1,TIMEOUT
email-Enron,4,1602,0:02.19 ,-1,RTE,-1,TIMEOUT,2118,0:16.57 ,1303,0:39.05 ,-1,TIMEOUT,-1,TIMEOUT
fvs037,4,195,0:00.66 ,-1,TIMEOUT,195,0:18.48 ,2601,0:04.53 ,195,0:06.48 ,-1,TIMEOUT,-1,TIMEOUT
fvs041,4,161,0:00.43 ,-1,TIMEOUT,147,0:01.11 ,151,0:04.43 ,161,0:03.36 ,-1,TIMEOUT,-1,TIMEOUT
loc-brightkite_edges,4,2177,0:02.72 ,-1,RTE,-1,TIMEOUT,3224,0:26.94 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
planar50002,4,25,0:01.07 ,-1,RTE,28,0:01.73 ,24,0:28.53 ,25,0:03.60 ,-1,TIMEOUT,76,0:30.97 
planar70000,4,28,0:01.31 ,-1,RTE,25,0:01.80 ,26,0:51.99 ,36,0:03.54 ,-1,TIMEOUT,39,0:49.50 
sb-14-0,4,505,0:00.40 ,-1,TIMEOUT,-1,TIMEOUT,984,0:00.70 ,332,0:09.08 ,-1,TIMEOUT,-1,TIMEOUT
soc-Epinions1,4,3463,0:02.61 ,-1,RTE,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,4,4740,0:03.71 ,-1,RTE,-1,TIMEOUT,7827,0:56.55 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
twittercrawl,4,1342,0:00.77 ,-1,TIMEOUT,-1,TIMEOUT,1344,0:01.59 ,1160,0:06.98 ,-1,TIMEOUT,-1,TIMEOUT
ca-CondMat,5,1465,0:01.08 ,-1,RTE,-1,TIMEOUT,1945,0:07.23 ,989,0:31.48 ,-1,TIMEOUT,-1,TIMEOUT
ca-HepPh,5,1493,0:01.22 ,-1,RTE,-1,TIMEOUT,1776,0:02.65 ,1144,0:18.30 ,-1,TIMEOUT,-1,TIMEOUT
cit-HepPh,5,8294,0:02.51 ,-1,RTE,-1,TIMEOUT,10150,0:06.69 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
cit-HepTh,5,6826,0:02.04 ,-1,TIMEOUT,-1,TIMEOUT,8052,0:06.57 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
cl-14-0,5,2025,0:00.43 ,-1,TIMEOUT,-1,TIMEOUT,3701,0:01.09 ,1598,0:31.00 ,-1,TIMEOUT,-1,TIMEOUT
clh-14-0,5,1468,0:00.33 ,-1,RTE,-1,TIMEOUT,2398,0:01.35 ,1076,0:19.63 ,-1,TIMEOUT,-1,TIMEOUT
email-Enron,5,1983,0:02.19 ,-1,RTE,-1,TIMEOUT,2579,0:16.57 ,1638,0:55.91 ,-1,TIMEOUT,-1,TIMEOUT
fvs037,5,195,0:00.66 ,-1,TIMEOUT,195,0:18.48 ,2601,0:04.53 ,195,0:06.71 ,-1,TIMEOUT,-1,TIMEOUT
fvs041,5,164,0:00.43 ,-1,TIMEOUT,147,0:01.11 ,154,0:04.43 ,164,0:03.83 ,-1,TIMEOUT,-1,TIMEOUT
loc-brightkite_edges,5,3304,0:02.72 ,-1,RTE,-1,TIMEOUT,4710,0:26.94 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
planar50002,5,29,0:01.07 ,-1,RTE,33,0:01.73 ,28,0:28.53 ,29,0:04.09 ,-1,TIMEOUT,94,0:34.39 
planar70000,5,29,0:01.31 ,-1,RTE,31,0:01.80 ,28,0:51.99 ,54,0:04.21 ,-1,TIMEOUT,-1,TIMEOUT
sb-14-0,5,1618,0:00.40 ,-1,TIMEOUT,-1,TIMEOUT,3122,0:00.70 ,1138,0:28.84 ,-1,TIMEOUT,-1,TIMEOUT
soc-Epinions1,5,4347,0:02.61 ,-1,RTE,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,5,6065,0:03.71 ,-1,RTE,-1,TIMEOUT,9607,0:56.55 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
twittercrawl,5,1475,0:00.77 ,-1,TIMEOUT,-1,TIMEOUT,1406,0:01.59 ,1229,0:07.51 ,-1,TIMEOUT,-1,TIMEOUT
