test,rad,sortdeg1.lsR
aa4.mtx,1,11
aa5.mtx,1,12
aa6.mtx,1,11
abtaha1.mtx,1,5
aft01.mtx,1,9
aft02.mtx,1,25
air02.mtx,1,15
air05.mtx,1,11
as-22july06.mtx,1,26
as-caida20071105.edges,1,23
as-caida.mtx,1,23
ASIC_680ks.mtx,1,5
aug3dcqp.mtx,1,3
bauru5727.mtx,1,8
bayer02.mtx,1,12
bayer03.mtx,1,22
bcsstk15.mtx,1,21
bcsstk18.mtx,1,12
bibd_49_3.mtx,1,5
bloweybl.mtx,1,3
bodyy4.mtx,1,5
bodyy5.mtx,1,5
bodyy6.mtx,1,5
c-39.mtx,1,69
c-42.mtx,1,21
c-43.mtx,1,19
c-46.mtx,1,14
c-49.mtx,1,34
cage10.mtx,1,15
ca-opsahl-collaboration.edges,1,9
car4.mtx,1,50
cca.mtx,1,3
ch7-6-b3.mtx,1,6
ch7-9-b2.mtx,1,5
ch8-8-b2.mtx,1,5
Chem97Zt.mtx,1,4
co5.mtx,1,19
comsol.mtx,1,42
conf5_0-4x4-10.mtx,1,43
conf5_0-4x4-14.mtx,1,43
conf5_0-4x4-18.mtx,1,43
conf5_0-4x4-22.mtx,1,43
conf5_0-4x4-26.mtx,1,43
conf6_0-4x4-20.mtx,1,43
conf6_0-4x4-30.mtx,1,43
cq5.mtx,1,16
crystm01.mtx,1,13
cti.mtx,1,5
cvxqp3.mtx,1,7
dblp-cite.edges,1,13
delaunay_n14.mtx,1,5
edit-enwikibooks.edges,1,20
edit-frwikibooks.edges,1,13
edit-frwikinews.edges,1,13
epb1.mtx,1,5
ex31.mtx,1,20
ex3sta1.mtx,1,7
ex8.mtx,1,20
ex9.mtx,1,18
FA.mtx,1,14
fd18.mtx,1,6
fe_sphere.mtx,1,6
fs-FA.mtx,1,14
gen1.mtx,1,83
gen.mtx,1,83
hvdc1.mtx,1,8
jan99jac040.mtx,1,22
jan99jac040sc.mtx,1,22
juba40k.mtx,1,8
l30.mtx,1,6
lasagne-spanishbook.edges,1,31
lp22.mtx,1,13
lp_fit2p.mtx,1,17
lpi_bgindy.mtx,1,15
lp_ken_11.mtx,1,4
lp_pds_06.mtx,1,4
lp_wood1p.mtx,1,34
meg1.mtx,1,61
memchip.mtx,1,4
memplus.mtx,1,97
mhd4800a.mtx,1,16
misc-jung-code-dep.edges,1,66
mk11-b3.mtx,1,6
mk11-b4.mtx,1,5
mk12-b5.mtx,1,
model7.mtx,1,19
model9.mtx,1,16
movielens-10m_ui.edges,1,29
mplate.mtx,1,16
nasa4704.mtx,1,18
nemspmm1.mtx,1,19
nemspmm2.mtx,1,16
p05.mtx,1,10
p2p-Gnutella24.mtx,1,6
p2p-Gnutella25.mtx,1,6
pcb3000.mtx,1,22
pds10.mtx,1,9
piston.mtx,1,40
psse1.mtx,1,6
rail_20209.mtx,1,5
rajat10.mtx,1,3
rdist2.mtx,1,20
rdist3a.mtx,1,28
rel7.mtx,1,5
rosen10.mtx,1,16
scrs8-2r.mtx,1,5
se.mtx,1,3
stokes64.mtx,1,7
stokes64s.mtx,1,7
subelj_jdk.edges,1,66
subelj_jung-j.edges,1,66
ted_B.mtx,1,16
ted_B_unscaled.mtx,1,16
testbig.mtx,1,4
utm5940.mtx,1,16
aa4.mtx,2,125
aa5.mtx,2,131
aa6.mtx,2,108
abtaha1.mtx,2,141
aft01.mtx,2,28
aft02.mtx,2,38
air02.mtx,2,46
air05.mtx,2,125
as-22july06.mtx,2,56
as-caida20071105.edges,2,54
as-caida.mtx,2,54
ASIC_680ks.mtx,2,10
aug3dcqp.mtx,2,4
bauru5727.mtx,2,14
bayer02.mtx,2,65
bayer03.mtx,2,121
bcsstk15.mtx,2,82
bcsstk18.mtx,2,47
bibd_49_3.mtx,2,102
bloweybl.mtx,2,6
bodyy4.mtx,2,12
bodyy5.mtx,2,13
bodyy6.mtx,2,12
c-39.mtx,2,167
c-42.mtx,2,56
c-43.mtx,2,45
c-46.mtx,2,35
c-49.mtx,2,70
cage10.mtx,2,71
ca-opsahl-collaboration.edges,2,22
car4.mtx,2,149
cca.mtx,2,6
ch7-6-b3.mtx,2,56
ch7-9-b2.mtx,2,103
ch8-8-b2.mtx,2,108
Chem97Zt.mtx,2,10
co5.mtx,2,49
comsol.mtx,2,142
conf5_0-4x4-10.mtx,2,190
conf5_0-4x4-14.mtx,2,190
conf5_0-4x4-18.mtx,2,190
conf5_0-4x4-22.mtx,2,190
conf5_0-4x4-26.mtx,2,190
conf6_0-4x4-20.mtx,2,190
conf6_0-4x4-30.mtx,2,190
cq5.mtx,2,51
crystm01.mtx,2,46
cti.mtx,2,14
cvxqp3.mtx,2,17
dblp-cite.edges,2,93
delaunay_n14.mtx,2,13
edit-enwikibooks.edges,2,119
edit-frwikibooks.edges,2,91
edit-frwikinews.edges,2,57
epb1.mtx,2,13
ex31.mtx,2,77
ex3sta1.mtx,2,57
ex8.mtx,2,84
ex9.mtx,2,57
FA.mtx,2,145
fd18.mtx,2,30
fe_sphere.mtx,2,13
fs-FA.mtx,2,145
gen1.mtx,2,618
gen.mtx,2,618
hvdc1.mtx,2,17
jan99jac040.mtx,2,64
jan99jac040sc.mtx,2,64
juba40k.mtx,2,14
l30.mtx,2,32
lasagne-spanishbook.edges,2,126
lp22.mtx,2,82
lp_fit2p.mtx,2,29
