test,rad,sortdeg1.lsR
DSJC125.5.col,1,54
DSJC125.9.col,1,104
DSJC250.1.col,1,19
DSJR500.1.col,1,13
fpsol2.i.2.col,1,32
fpsol2.i.3.col,1,32
homer.col,1,13
le450_15a.col,1,25
le450_15b.col,1,25
le450_25a.col,1,27
le450_25b.col,1,26
le450_5a.col,1,18
le450_5b.col,1,18
le450_5c.col,1,34
le450_5d.col,1,33
miles1000.col,1,42
miles1500.col,1,73
miles500.col,1,20
miles750.col,1,32
mulsol.i.1.col,1,49
mulsol.i.2.col,1,32
mulsol.i.3.col,1,32
mulsol.i.4.col,1,32
mulsol.i.5.col,1,32
myciel7.col,1,19
queen10_10.col,1,28
queen11_11.col,1,31
queen12_12.col,1,34
queen13_13.col,1,37
queen14_14.col,1,40
queen15_15.col,1,43
queen16_16.col,1,46
queen8_12.col,1,26
queen9_9.col,1,25
zeroin.i.1.col,1,49
zeroin.i.2.col,1,30
zeroin.i.3.col,1,30
DSJC125.5.col,2,114
DSJC125.9.col,2,122
DSJC250.1.col,2,130
DSJR500.1.col,2,26
fpsol2.i.2.col,2,50
fpsol2.i.3.col,2,50
homer.col,2,30
le450_15a.col,2,181
le450_15b.col,2,182
le450_25a.col,2,160
le450_25b.col,2,159
le450_5a.col,2,156
le450_5b.col,2,157
le450_5c.col,2,239
le450_5d.col,2,239
miles1000.col,2,76
miles1500.col,2,105
miles500.col,2,37
miles750.col,2,56
mulsol.i.1.col,2,58
mulsol.i.2.col,2,41
mulsol.i.3.col,2,41
mulsol.i.4.col,2,41
mulsol.i.5.col,2,42
myciel7.col,2,80
queen10_10.col,2,84
queen11_11.col,2,99
queen12_12.col,2,118
queen13_13.col,2,141
queen14_14.col,2,161
queen15_15.col,2,187
queen16_16.col,2,211
queen8_12.col,2,79
queen9_9.col,2,69
zeroin.i.1.col,2,68
zeroin.i.2.col,2,41
zeroin.i.3.col,2,41
DSJC125.5.col,3,115
DSJC125.9.col,3,123
DSJC250.1.col,3,174
DSJR500.1.col,3,43
fpsol2.i.2.col,3,52
fpsol2.i.3.col,3,52
homer.col,3,39
le450_15a.col,3,276
le450_15b.col,3,281
le450_25a.col,3,240
le450_25b.col,3,242
le450_5a.col,3,283
le450_5b.col,3,288
le450_5c.col,3,328
le450_5d.col,3,303
miles1000.col,3,90
miles1500.col,3,118
miles500.col,3,44
miles750.col,3,63
mulsol.i.1.col,3,65
mulsol.i.2.col,3,51
mulsol.i.3.col,3,51
mulsol.i.4.col,3,51
mulsol.i.5.col,3,59
myciel7.col,3,80
queen10_10.col,3,86
queen11_11.col,3,105
queen12_12.col,3,127
queen13_13.col,3,149
queen14_14.col,3,173
queen15_15.col,3,197
queen16_16.col,3,226
queen8_12.col,3,82
queen9_9.col,3,69
zeroin.i.1.col,3,77
zeroin.i.2.col,3,50
zeroin.i.3.col,3,50
DSJC125.5.col,4,116
DSJC125.9.col,4,123
DSJC250.1.col,4,183
DSJR500.1.col,4,60
fpsol2.i.2.col,4,52
fpsol2.i.3.col,4,52
homer.col,4,45
le450_15a.col,4,302
le450_15b.col,4,303
le450_25a.col,4,263
le450_25b.col,4,274
le450_5a.col,4,312
le450_5b.col,4,321
le450_5c.col,4,341
le450_5d.col,4,321
miles1000.col,4,103
miles1500.col,4,118
miles500.col,4,54
miles750.col,4,73
mulsol.i.1.col,4,65
mulsol.i.2.col,4,51
mulsol.i.3.col,4,51
mulsol.i.4.col,4,51
mulsol.i.5.col,4,60
myciel7.col,4,81
queen10_10.col,4,88
queen11_11.col,4,105
queen12_12.col,4,127
queen13_13.col,4,151
queen14_14.col,4,176
queen15_15.col,4,202
queen16_16.col,4,230
queen8_12.col,4,84
queen9_9.col,4,70
zeroin.i.1.col,4,77
zeroin.i.2.col,4,56
zeroin.i.3.col,4,56
DSJC125.5.col,5,116
DSJC125.9.col,5,123
DSJC250.1.col,5,187
DSJR500.1.col,5,75
fpsol2.i.2.col,5,52
fpsol2.i.3.col,5,52
homer.col,5,47
le450_15a.col,5,312
le450_15b.col,5,311
le450_25a.col,5,274
le450_25b.col,5,283
le450_5a.col,5,329
le450_5b.col,5,328
le450_5c.col,5,350
le450_5d.col,5,329
miles1000.col,5,106
miles1500.col,5,118
miles500.col,5,57
miles750.col,5,78
mulsol.i.1.col,5,65
mulsol.i.2.col,5,51
mulsol.i.3.col,5,51
mulsol.i.4.col,5,51
mulsol.i.5.col,5,60
myciel7.col,5,82
queen10_10.col,5,88
queen11_11.col,5,105
queen12_12.col,5,128
queen13_13.col,5,152
queen14_14.col,5,176
queen15_15.col,5,202
queen16_16.col,5,233
queen8_12.col,5,84
queen9_9.col,5,70
zeroin.i.1.col,5,77
zeroin.i.2.col,5,56
zeroin.i.3.col,5,56
