test,rad,sortdeg1.lsR
out.arenas-email,1,12
out.arenas-jazz,1,30
out.arenas-meta,1,11
out.contact,1,40
out.dnc-temporalGraph,1,18
out.ego-facebook,1,4
out.foodweb-baydry,1,25
out.foodweb-baywet,1,24
out.maayan-faa,1,5
out.maayan-figeys,1,11
out.maayan-foodweb,1,24
out.maayan-Stelzl,1,8
out.maayan-vidal,1,7
out.mit,1,41
out.moreno_crime_crime,1,4
out.moreno_mac_mac,1,29
out.moreno_names_names,1,16
out.moreno_oz_oz,1,12
out.moreno_propro_propro,1,6
out.opsahl-powergrid,1,6
out.opsahl-ucforum,1,15
out.radoslaw_email_email,1,37
out.sociopatterns-hypertext,1,29
out.sociopatterns-infectious,1,18
out.subelj_euroroad_euroroad,1,3
out.tntp-ChicagoRegional,1,2
out.unicodelang,1,6
out.arenas-email,2,53
out.arenas-jazz,2,62
out.arenas-meta,2,24
out.contact,2,42
out.dnc-temporalGraph,2,46
out.ego-facebook,2,5
out.foodweb-baydry,2,68
out.foodweb-baywet,2,66
out.maayan-faa,2,15
out.maayan-figeys,2,45
out.maayan-foodweb,2,53
out.maayan-Stelzl,2,28
out.maayan-vidal,2,32
out.mit,2,76
out.moreno_crime_crime,2,10
out.moreno_mac_mac,2,51
out.moreno_names_names,2,65
out.moreno_oz_oz,2,52
out.moreno_propro_propro,2,9
out.opsahl-powergrid,2,11
out.opsahl-ucforum,2,107
out.radoslaw_email_email,2,77
out.sociopatterns-hypertext,2,70
out.sociopatterns-infectious,2,43
out.subelj_euroroad_euroroad,2,6
out.tntp-ChicagoRegional,2,3
out.unicodelang,2,19
out.arenas-email,3,128
out.arenas-jazz,3,89
out.arenas-meta,3,31
out.contact,3,45
out.dnc-temporalGraph,3,62
out.ego-facebook,3,6
out.foodweb-baydry,3,75
out.foodweb-baywet,3,78
out.maayan-faa,3,32
out.maayan-figeys,3,78
out.maayan-foodweb,3,56
out.maayan-Stelzl,3,48
out.maayan-vidal,3,71
out.mit,3,76
out.moreno_crime_crime,3,21
out.moreno_mac_mac,3,52
out.moreno_names_names,3,120
out.moreno_oz_oz,3,91
out.moreno_propro_propro,3,18
out.opsahl-powergrid,3,15
out.opsahl-ucforum,3,206
out.radoslaw_email_email,3,86
out.sociopatterns-hypertext,3,79
out.sociopatterns-infectious,3,70
out.subelj_euroroad_euroroad,3,10
out.tntp-ChicagoRegional,3,4
out.unicodelang,3,33
out.arenas-email,4,180
out.arenas-jazz,4,102
out.arenas-meta,4,40
out.contact,4,45
out.dnc-temporalGraph,4,69
out.ego-facebook,4,7
out.foodweb-baydry,4,77
out.foodweb-baywet,4,77
out.maayan-faa,4,54
out.maayan-figeys,4,102
out.maayan-foodweb,4,61
out.maayan-Stelzl,4,61
out.maayan-vidal,4,114
out.mit,4,77
out.moreno_crime_crime,4,40
out.moreno_mac_mac,4,53
out.moreno_names_names,4,160
out.moreno_oz_oz,4,106
out.moreno_propro_propro,4,24
out.opsahl-powergrid,4,19
out.opsahl-ucforum,4,246
out.radoslaw_email_email,4,86
out.sociopatterns-hypertext,4,81
out.sociopatterns-infectious,4,91
out.subelj_euroroad_euroroad,4,12
out.tntp-ChicagoRegional,4,5
out.unicodelang,4,42
out.arenas-email,5,216
out.arenas-jazz,5,106
out.arenas-meta,5,48
out.contact,5,45
out.dnc-temporalGraph,5,72
out.ego-facebook,5,8
out.foodweb-baydry,5,79
out.foodweb-baywet,5,79
out.maayan-faa,5,71
out.maayan-figeys,5,114
out.maayan-foodweb,5,64
out.maayan-Stelzl,5,76
out.maayan-vidal,5,146
out.mit,5,78
out.moreno_crime_crime,5,61
out.moreno_mac_mac,5,53
out.moreno_names_names,5,194
out.moreno_oz_oz,5,109
out.moreno_propro_propro,5,34
out.opsahl-powergrid,5,20
out.opsahl-ucforum,5,265
out.radoslaw_email_email,5,87
out.sociopatterns-hypertext,5,82
out.sociopatterns-infectious,5,105
out.subelj_euroroad_euroroad,5,16
out.tntp-ChicagoRegional,5,6
out.unicodelang,5,45
