test,rad,sortdeg1.lsR
1138_bus.mtx,1,5
130bit.mtx,1,13
685_bus.mtx,1,6
abb313.mtx,1,7
add20.mtx,1,36
add32.mtx,1,4
adder_dcop_01.mtx,1,7
adder_dcop_02.mtx,1,7
adder_dcop_03.mtx,1,7
adder_dcop_04.mtx,1,7
adder_dcop_05.mtx,1,7
adder_dcop_06.mtx,1,7
adder_dcop_07.mtx,1,7
adder_dcop_08.mtx,1,7
adder_dcop_09.mtx,1,7
adder_dcop_10.mtx,1,7
adder_dcop_11.mtx,1,7
adder_dcop_12.mtx,1,7
adder_dcop_13.mtx,1,7
adder_dcop_14.mtx,1,7
adder_dcop_15.mtx,1,7
adder_dcop_16.mtx,1,7
adder_dcop_17.mtx,1,7
adder_dcop_18.mtx,1,7
adder_dcop_19.mtx,1,7
adder_dcop_20.mtx,1,7
adder_dcop_21.mtx,1,7
adder_dcop_22.mtx,1,7
adder_dcop_23.mtx,1,7
adder_dcop_24.mtx,1,7
adder_dcop_25.mtx,1,7
adder_dcop_26.mtx,1,7
adder_dcop_27.mtx,1,7
adder_dcop_28.mtx,1,7
adder_dcop_29.mtx,1,7
adder_dcop_30.mtx,1,7
adder_dcop_31.mtx,1,7
adder_dcop_32.mtx,1,7
adder_dcop_33.mtx,1,7
adder_dcop_34.mtx,1,7
adder_dcop_35.mtx,1,7
adder_dcop_36.mtx,1,7
adder_dcop_37.mtx,1,7
adder_dcop_38.mtx,1,7
adder_dcop_39.mtx,1,7
adder_dcop_40.mtx,1,7
adder_dcop_41.mtx,1,7
adder_dcop_42.mtx,1,7
adder_dcop_43.mtx,1,7
adder_dcop_44.mtx,1,7
adder_dcop_45.mtx,1,7
adder_dcop_46.mtx,1,7
adder_dcop_47.mtx,1,7
adder_dcop_48.mtx,1,7
adder_dcop_49.mtx,1,7
adder_dcop_50.mtx,1,7
adder_dcop_51.mtx,1,7
adder_dcop_52.mtx,1,7
adder_dcop_53.mtx,1,7
adder_dcop_54.mtx,1,7
adder_dcop_55.mtx,1,7
adder_dcop_56.mtx,1,7
adder_dcop_57.mtx,1,7
adder_dcop_58.mtx,1,7
adder_dcop_59.mtx,1,7
adder_dcop_60.mtx,1,7
adder_dcop_61.mtx,1,7
adder_dcop_62.mtx,1,7
adder_dcop_63.mtx,1,7
adder_dcop_64.mtx,1,7
adder_dcop_65.mtx,1,7
adder_dcop_66.mtx,1,7
adder_dcop_67.mtx,1,7
adder_dcop_68.mtx,1,7
adder_dcop_69.mtx,1,7
adder_trans_01.mtx,1,7
adder_trans_02.mtx,1,7
arenas-jazz.edges,1,30
arenas-meta.edges,1,11
ash608.mtx,1,3
ash958.mtx,1,3
b2_ss.mtx,1,6
