avg_improvement,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,17.1%,30.9%,15.3%,21.4%,2.8%,9.9%,13.9%
2,20.6%,44.4%,26.4%,24.4%,3.5%,15.5%,11.4%
3,16.7%,34.7%,19.2%,24.4%,2.6%,9.8%,15.3%
4,16.1%,26.2%,11.1%,20.0%,1.7%,8.2%,14.1%
5,15.0%,18.5%,4.6%,16.8%,3.4%,6.2%,14.8%

avg_logs,sortdeg1,td,fill-in,berlin.sna,WReachR,SReachR,felixR
all,3.579,3.802,3.675,3.713,3.609,3.522,3.799
2,2.889,3.044,2.989,2.986,2.927,2.877,3.006
3,3.525,3.745,3.613,3.609,3.560,3.476,3.675
4,3.846,4.092,3.954,4.013,3.862,3.771,4.139
5,4.056,4.326,4.142,4.243,4.086,3.966,4.375

progs_apx_ratio,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,1.073,1.381,1.189,1.273,1.112,1.012,1.392
2,1.024,1.224,1.149,1.151,1.070,1.011,1.207
3,1.062,1.354,1.167,1.159,1.110,1.011,1.249
4,1.087,1.440,1.216,1.359,1.108,1.006,1.530
5,1.118,1.505,1.226,1.424,1.161,1.021,1.582

progs_win_score,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,WReachR_LS,SReachR_LS,felixR_LS
all,15.379,2.612,8.979,6.395,16.695,75.962,1.979
2,7.252,1.402,2.636,1.552,8.652,9.086,1.419
3,2.593,0.343,1.843,1.643,5.843,19.343,0.393
4,2.750,0.417,0.750,1.167,1.250,25.500,0.167
5,2.783,0.450,3.750,2.033,0.950,22.033,0.000
