test,rad,random,deg1,deg2,deg3,deg4,deg5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi
airlines,1,101,14,130,130,130,130,16,20,87,88,88,14,23,47,79,59,19,19,16,19,19,16,20,20,18,20,20,18
celegans,1,79,11,36,66,72,72,16,25,27,114,114,11,18,33,49,67,20,18,21,20,18,21,23,22,23,23,22,23
cl-10-0,1,26,7,9,14,34,35,10,9,9,9,16,7,8,17,19,11,13,13,12,13,13,12,18,18,21,18,18,21
cl-10-1,1,32,7,9,17,36,36,10,9,8,10,18,7,9,10,11,15,12,13,11,12,13,12,18,17,18,18,17,18
cl-10-2,1,31,6,24,21,36,36,10,9,8,9,23,6,8,16,17,12,14,13,12,13,13,12,21,20,19,21,20,19
clh-10-0,1,28,6,8,11,24,25,9,8,7,8,10,6,8,12,12,10,10,11,9,10,11,9,15,14,16,15,14,16
clh-10-1,1,28,6,9,13,21,22,9,8,8,8,12,6,7,10,15,11,11,10,9,11,10,9,16,14,18,16,14,18
clh-10-2,1,25,6,9,13,21,24,9,8,8,8,12,6,8,10,9,14,11,10,11,11,10,11,16,14,16,16,14,16
codeminer,1,41,5,42,42,42,21,6,8,14,13,7,5,6,6,7,6,7,6,6,7,6,6,6,7,6,6,7,6
cpan-authors,1,250,10,266,266,266,266,17,43,18,229,229,10,17,28,27,30,15,15,12,15,15,12,17,17,19,17,17,19
cpan-distributions,1,205,6,350,277,277,277,9,355,34,54,60,6,8,10,12,19,9,9,7,9,9,7,14,12,14,14,12,14
diseasome,1,38,12,54,44,44,44,12,12,12,12,13,12,13,12,14,16,12,12,12,12,12,12,12,12,12,12,12,12
fvs004,1,90,11,76,76,76,76,15,24,58,85,85,11,16,42,53,55,16,16,15,16,16,15,21,21,20,21,21,20
fvs008,1,28,6,57,30,30,30,7,7,7,7,7,6,7,6,6,6,8,9,6,8,9,8,8,8,7,8,8,7
fvs014,1,128,16,133,16,133,133,16,133,16,100,130,16,16,27,24,24,68,61,55,68,61,55,77,68,68,77,68,68
fvs021,1,49,6,38,37,37,37,7,7,6,7,6,6,6,6,6,7,7,7,6,7,7,6,10,8,8,10,8,8
fvs023,1,17,5,17,17,17,17,5,17,9,17,9,5,10,9,10,9,5,5,5,5,5,5,5,5,5,5,5,5
fvs052,1,12,4,11,6,11,7,5,5,5,5,5,4,5,5,6,5,5,5,4,5,5,4,5,5,5,5,5,5
fvs056,1,13,4,13,13,10,10,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,6,5,5,6,5,5
