test,rad,sortdeg1.lsR
airlines,1,14
celegans,1,11
cl-10-0,1,7
cl-10-1,1,7
cl-10-2,1,6
clh-10-0,1,6
clh-10-1,1,6
clh-10-2,1,6
codeminer,1,5
cpan-authors,1,10
cpan-distributions,1,6
diseasome,1,12
fvs004,1,11
fvs008,1,6
fvs014,1,16
fvs021,1,6
fvs023,1,5
fvs052,1,4
fvs056,1,4
fvs078,1,3
netscience,1,20
planar1302,1,4
planar1500,1,4
planar2000,1,4
planar2500,1,4
planar3000,1,4
power,1,6
sb-10-0,1,5
sb-10-1,1,5
sb-10-2,1,5
sp_data_school_day_2,1,34
yeast,1,11
airlines,2,27
celegans,2,48
cl-10-0,2,35
cl-10-1,2,33
cl-10-2,2,34
clh-10-0,2,25
clh-10-1,2,26
clh-10-2,2,26
codeminer,2,9
cpan-authors,2,24
cpan-distributions,2,16
diseasome,2,16
fvs004,2,38
fvs008,2,10
fvs014,2,65
fvs021,2,10
fvs023,2,6
fvs052,2,7
fvs056,2,7
fvs078,2,6
netscience,2,20
planar1302,2,10
planar1500,2,10
planar2000,2,9
planar2500,2,9
planar3000,2,8
power,2,11
sb-10-0,2,18
sb-10-1,2,19
sb-10-2,2,20
sp_data_school_day_2,2,118
yeast,2,40
airlines,3,40
celegans,3,78
cl-10-0,3,99
cl-10-1,3,96
cl-10-2,3,105
clh-10-0,3,66
clh-10-1,3,69
clh-10-2,3,69
codeminer,3,13
cpan-authors,3,33
cpan-distributions,3,25
diseasome,3,20
fvs004,3,59
fvs008,3,17
fvs014,3,66
fvs021,3,18
fvs023,3,15
fvs052,3,10
fvs056,3,11
fvs078,3,9
netscience,3,20
planar1302,3,17
planar1500,3,15
planar2000,3,13
planar2500,3,12
planar3000,3,11
power,3,15
sb-10-0,3,62
sb-10-1,3,64
sb-10-2,3,67
sp_data_school_day_2,3,143
yeast,3,110
airlines,4,47
celegans,4,91
cl-10-0,4,150
cl-10-1,4,151
cl-10-2,4,153
clh-10-0,4,106
clh-10-1,4,101
clh-10-2,4,105
codeminer,4,14
cpan-authors,4,40
cpan-distributions,4,34
diseasome,4,23
fvs004,4,74
fvs008,4,25
fvs014,4,67
fvs021,4,26
fvs023,4,13
fvs052,4,13
fvs056,4,14
fvs078,4,12
netscience,4,20
planar1302,4,21
planar1500,4,17
planar2000,4,16
planar2500,4,14
planar3000,4,13
power,4,18
sb-10-0,4,152
sb-10-1,4,158
sb-10-2,4,161
sp_data_school_day_2,4,153
yeast,4,172
airlines,5,51
celegans,5,98
cl-10-0,5,183
cl-10-1,5,180
cl-10-2,5,182
clh-10-0,5,132
clh-10-1,5,124
clh-10-2,5,131
codeminer,5,18
cpan-authors,5,40
cpan-distributions,5,40
diseasome,5,24
fvs004,5,76
fvs008,5,33
fvs014,5,67
fvs021,5,33
fvs023,5,29
fvs052,5,16
fvs056,5,17
fvs078,5,16
netscience,5,20
planar1302,5,25
planar1500,5,20
planar2000,5,19
planar2500,5,16
planar3000,5,15
power,5,20
sb-10-0,5,236
sb-10-1,5,233
sb-10-2,5,243
sp_data_school_day_2,5,154
yeast,5,221
