test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
airlines,2,31,0:00.02 ,64,0:00.30 ,49,0:00.17 ,32,0:00.02 ,28,0:00.02 ,34,0:00.03 ,39,0:01.70 
celegans,2,55,0:00.04 ,127,0:00.50 ,76,0:00.22 ,71,0:00.01 ,46,0:00.01 ,56,0:00.04 ,61,0:00.51 
cl-10-0,2,46,0:00.01 ,127,0:05.52 ,96,0:01.15 ,78,0:00.02 ,34,0:00.02 ,46,0:00.19 ,41,0:01.77 
cl-10-1,2,48,0:00.02 ,164,0:06.94 ,93,0:01.23 ,63,0:00.02 ,32,0:00.02 ,40,0:00.18 ,40,0:01.74 
cl-10-2,2,49,0:00.02 ,102,0:09.89 ,113,0:01.39 ,69,0:00.08 ,34,0:00.02 ,55,0:00.19 ,43,0:01.83 
clh-10-0,2,37,0:00.01 ,104,0:02.86 ,78,0:00.75 ,43,0:00.02 ,24,0:00.02 ,35,0:00.15 ,30,0:01.02 
clh-10-1,2,33,0:00.01 ,89,0:02.95 ,77,0:00.60 ,47,0:00.05 ,26,0:00.02 ,32,0:00.21 ,30,0:00.95 
clh-10-2,2,37,0:00.01 ,70,0:04.22 ,78,0:00.56 ,43,0:00.03 ,26,0:00.02 ,33,0:00.18 ,32,0:01.05 
codeminer,2,11,0:00.01 ,18,0:01.97 ,11,0:00.02 ,13,0:00.01 ,11,0:00.01 ,11,0:00.05 ,12,0:00.26 
cpan-authors,2,29,0:00.02 ,40,0:09.54 ,39,0:00.07 ,40,0:00.05 ,24,0:00.02 ,28,0:00.06 ,33,0:00.38 
cpan-distributions,2,21,0:00.03 ,-1,TIMEOUT,31,0:00.10 ,23,0:00.16 ,21,0:00.03 ,18,0:00.60 ,18,0:00.69 
diseasome,2,17,0:00.03 ,-1,RTE,24,0:00.02 ,17,0:00.05 ,17,0:00.02 ,16,0:00.24 ,19,0:00.39 
fvs004,2,49,0:00.01 ,79,0:00.43 ,71,0:00.18 ,62,0:00.01 ,38,0:00.01 ,46,0:00.05 ,51,0:00.46 
fvs008,2,14,0:00.03 ,-1,TIMEOUT,15,0:00.06 ,15,0:00.05 ,10,0:00.02 ,12,0:00.45 ,12,0:00.38 
fvs014,2,65,0:00.05 ,-1,TIMEOUT,65,0:00.47 ,172,0:00.08 ,65,0:00.05 ,65,0:00.50 ,65,0:01.31 
fvs021,2,15,0:00.03 ,-1,TIMEOUT,14,0:00.07 ,14,0:00.06 ,10,0:00.02 ,13,0:00.50 ,12,0:00.38 
fvs023,2,7,0:00.02 ,7,0:01.31 ,7,0:00.03 ,10,0:00.00 ,6,0:00.00 ,6,0:00.02 ,26,0:00.25 
fvs052,2,10,0:00.01 ,18,0:19.46 ,8,0:00.06 ,10,0:00.03 ,9,0:00.02 ,8,0:00.30 ,8,0:00.43 
fvs056,2,10,0:00.01 ,17,0:13.90 ,9,0:00.05 ,10,0:00.04 ,8,0:00.02 ,9,0:00.43 ,9,0:00.46 
fvs078,2,11,0:00.01 ,-1,TIMEOUT,10,0:00.14 ,10,0:00.07 ,8,0:00.03 ,6,0:01.09 ,6,0:00.51 
netscience,2,20,0:00.02 ,-1,TIMEOUT,20,0:00.03 ,20,0:00.05 ,20,0:00.02 ,20,0:00.21 ,20,0:00.33 
planar1302,2,13,0:00.03 ,21,0:04.45 ,10,0:00.03 ,12,0:00.04 ,11,0:00.02 ,10,0:00.23 ,14,0:00.39 
planar1500,2,12,0:00.03 ,18,0:06.13 ,10,0:00.03 ,11,0:00.05 ,15,0:00.02 ,10,0:00.29 ,16,0:00.44 
planar2000,2,10,0:00.01 ,27,0:07.29 ,10,0:00.04 ,10,0:00.07 ,13,0:00.03 ,10,0:00.45 ,12,0:00.46 
planar2500,2,10,0:00.03 ,20,0:15.28 ,9,0:00.04 ,10,0:00.09 ,12,0:00.03 ,9,0:00.55 ,10,0:00.52 
planar3000,2,9,0:00.04 ,25,0:29.47 ,9,0:00.04 ,9,0:00.11 ,10,0:00.03 ,9,0:00.72 ,11,0:00.54 
power,2,12,0:00.06 ,-1,TIMEOUT,13,0:00.11 ,13,0:00.24 ,13,0:00.06 ,12,0:02.56 ,14,0:00.79 
sb-10-0,2,28,0:00.02 ,54,0:26.39 ,39,0:03.83 ,35,0:00.02 ,19,0:00.02 ,30,0:00.25 ,23,0:01.81 
sb-10-1,2,28,0:00.03 ,57,0:19.01 ,35,0:04.34 ,38,0:00.02 ,20,0:00.02 ,28,0:00.26 ,23,0:01.96 
sb-10-2,2,31,0:00.02 ,56,0:20.56 ,42,0:03.30 ,39,0:00.02 ,20,0:00.02 ,28,0:00.25 ,23,0:01.99 
sp_data_school_day_2,2,142,0:00.02 ,188,0:00.45 ,140,0:00.40 ,153,0:00.02 ,119,0:00.03 ,133,0:00.17 ,174,0:00.71 
yeast,2,59,0:00.05 ,-1,TIMEOUT,128,0:02.27 ,77,0:00.09 ,43,0:00.06 ,62,0:00.81 ,52,0:02.54 
airlines,3,48,0:00.02 ,64,0:00.30 ,52,0:00.17 ,54,0:00.02 ,41,0:00.03 ,46,0:00.04 ,62,0:00.32 
celegans,3,97,0:00.04 ,147,0:00.50 ,107,0:00.22 ,121,0:00.01 ,91,0:00.02 ,83,0:00.07 ,134,0:00.80 
cl-10-0,3,127,0:00.01 ,248,0:05.52 ,197,0:01.15 ,222,0:00.02 ,99,0:00.05 ,124,0:00.31 ,137,0:03.04 
cl-10-1,3,119,0:00.02 ,281,0:06.94 ,190,0:01.23 ,190,0:00.02 ,97,0:00.05 ,112,0:00.30 ,141,0:04.04 
cl-10-2,3,129,0:00.02 ,209,0:09.89 ,210,0:01.39 ,203,0:00.08 ,102,0:00.05 ,120,0:00.31 ,147,0:03.99 
clh-10-0,3,84,0:00.01 ,194,0:02.86 ,153,0:00.75 ,130,0:00.02 ,67,0:00.04 ,81,0:00.25 ,90,0:02.15 
