test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
airlines,1,1,11,8,0,89,89,22,24,7,0,138,138,0,138,138,0,138,138
celegans,1,1,21,21,1,44,44,42,20,9,0,106,106,0,106,106,0,106,106
cl-10-0,1,0,151,151,0,339,339,0,199,199,0,462,462,0,462,462,0,462,462
cl-10-1,1,0,145,145,0,335,335,0,203,203,0,463,463,0,463,463,0,463,463
cl-10-2,1,0,149,149,0,319,319,0,193,193,0,470,470,0,470,470,0,470,470
clh-10-0,1,0,164,164,0,245,245,0,244,244,0,247,247,0,247,247,0,247,247
clh-10-1,1,0,161,161,0,242,242,0,240,240,0,244,244,0,244,244,0,244,244
clh-10-2,1,0,162,162,0,241,241,0,240,240,0,244,244,0,244,244,0,244,244
codeminer,1,0,78,78,0,164,164,0,83,83,0,532,532,0,532,532,0,532,532
cpan-authors,1,1,79,79,0,260,260,8,48,25,0,723,723,0,723,723,0,723,723
cpan-distributions,1,1,171,161,0,598,598,0,40,40,0,2331,2331,0,2331,2331,0,2331,2331
diseasome,1,0,156,156,0,440,440,0,188,188,0,903,903,0,903,903,0,903,903
fvs004,1,0,15,15,0,51,51,5,20,18,0,118,118,0,118,118,0,118,118
fvs008,1,0,479,479,0,672,672,0,522,522,0,1220,1220,0,1220,1220,0,1220,1220
fvs014,1,0,66,66,0,66,66,10,29,15,0,1716,1716,0,1716,1716,0,1716,1716
fvs021,1,0,473,473,0,674,674,0,520,520,0,1220,1220,0,1220,1220,0,1220,1220
fvs023,1,0,71,71,0,71,71,0,37,37,0,264,264,0,264,264,0,264,264
fvs052,1,0,465,465,0,601,601,0,488,488,0,900,900,0,900,900,0,900,900
fvs056,1,0,488,488,0,637,637,0,502,502,0,947,947,0,947,947,0,947,947
fvs078,1,0,1034,1034,0,1240,1240,0,999,999,0,1659,1659,0,1659,1659,0,1659,1659
netscience,1,0,339,339,0,380,380,0,348,348,0,562,562,0,562,562,0,562,562
planar1302,1,0,109,109,0,312,312,0,141,141,0,554,554,0,554,554,0,554,554
planar1500,1,0,155,155,0,410,410,0,206,206,0,707,707,0,707,707,0,707,707
planar2000,1,0,349,349,0,678,678,0,409,409,0,1035,1035,0,1035,1035,0,1035,1035
planar2500,1,0,484,484,0,865,865,0,578,578,0,1346,1346,0,1346,1346,0,1346,1346
planar3000,1,0,636,636,0,1055,1055,0,738,738,0,1570,1570,0,1570,1570,0,1570,1570
power,1,0,1464,1464,0,1831,1831,0,1494,1494,0,2733,2733,0,2733,2733,0,2733,2733
sb-10-0,1,0,175,175,0,287,287,0,173,173,0,400,400,0,400,400,0,400,400
sb-10-1,1,0,183,183,0,278,278,0,178,178,0,398,398,0,398,398,0,398,398
sb-10-2,1,0,172,172,0,293,293,0,170,170,0,394,394,0,394,394,0,394,394
sp_data_school_day_2,1,0,5,5,0,13,13,63,10,6,0,21,21,0,21,21,0,21,21
yeast,1,0,427,427,0,875,875,0,541,541,0,1598,1598,0,1598,1598,0,1598,1598
airlines,2,1,10,9,1,3,2,108,127,7,3,41,12,3,42,11,3,45,13
celegans,2,1,13,12,0,5,5,206,64,4,1,25,18,1,26,18,1,29,20
cl-10-0,2,0,27,27,0,102,102,0,43,43,0,177,177,0,179,179,0,198,198
cl-10-1,2,0,30,30,0,106,106,5,39,36,0,180,180,0,184,184,0,203,203
cl-10-2,2,0,33,33,0,102,102,0,43,43,0,177,177,0,180,180,0,195,195
clh-10-0,2,0,39,39,0,111,111,222,60,1,0,158,158,0,161,161,0,244,244
clh-10-1,2,0,30,30,0,107,107,215,57,1,0,164,164,0,165,165,0,240,240
clh-10-2,2,0,33,33,0,115,115,231,67,1,0,157,157,0,165,165,0,240,240
codeminer,2,0,50,50,0,51,51,0,50,50,1,103,73,1,103,73,3,157,67
cpan-authors,2,1,124,124,0,10,10,117,528,116,3,265,133,3,265,133,6,441,125
cpan-distributions,2,1,225,216,0,25,25,41,230,92,3,623,235,3,624,235,6,994,240
diseasome,2,0,46,46,0,90,90,4,52,49,1,219,181,1,219,181,3,265,155
fvs004,2,1,4,3,10,3,1,163,101,2,3,36,7,3,36,7,3,37,7
fvs008,2,0,280,280,0,354,354,0,316,316,0,469,469,0,469,469,0,514,514
fvs014,2,1,6,4,0,5,5,25,49,1,0,21,21,0,21,21,0,22,22
fvs021,2,0,275,275,0,357,357,0,314,314,0,478,478,0,478,478,0,514,514
fvs023,2,0,22,22,0,22,22,7,27,11,0,15,15,4,24,14,0,21,21
fvs052,2,0,188,188,0,274,274,0,222,222,0,396,396,0,401,401,0,460,460
fvs056,2,0,201,201,0,281,281,0,236,236,0,412,412,0,416,416,0,487,487
fvs078,2,0,485,485,0,592,592,0,494,494,0,781,781,0,794,794,0,982,982
netscience,2,0,289,289,0,304,304,0,291,291,0,347,347,0,347,347,0,349,349
planar1302,2,0,29,29,0,82,82,183,117,3,0,119,119,0,137,137,0,166,166
planar1500,2,0,33,33,0,101,101,0,33,33,0,175,175,0,187,187,0,219,219
planar2000,2,0,90,90,0,236,236,0,107,107,0,343,343,0,352,352,0,414,414
planar2500,2,0,166,166,0,335,335,0,196,196,0,484,484,0,491,491,0,578,578
planar3000,2,0,228,228,0,440,440,0,275,275,0,622,622,0,623,623,0,737,737
power,2,0,651,651,0,886,886,0,712,712,0,1217,1217,0,1231,1231,0,1456,1456
sb-10-0,2,0,29,29,0,88,88,0,36,36,0,115,115,0,123,123,0,146,146
sb-10-1,2,0,33,33,0,82,82,0,43,43,0,118,118,0,126,126,0,150,150
sb-10-2,2,0,29,29,0,82,82,4,36,32,0,117,117,0,123,123,0,151,151
sp_data_school_day_2,2,2,2,1,0,2,2,226,11,1,0,6,6,0,6,6,0,7,7
yeast,2,0,187,187,0,349,349,3,213,207,0,495,495,0,496,496,0,539,539
airlines,3,12,11,3,0,1,1,109,126,7,3,32,11,3,32,10,4,38,11
celegans,3,29,4,1,30,2,1,212,85,10,1,17,13,1,16,12,1,18,13
cl-10-0,3,79,2,1,0,43,43,494,357,3,0,83,83,0,85,85,0,87,87
cl-10-1,3,0,6,6,0,45,45,507,357,3,0,88,88,0,91,91,0,94,94
cl-10-2,3,81,2,1,0,50,50,502,385,3,0,84,84,0,84,84,0,86,86
clh-10-0,3,52,2,1,0,60,60,531,220,2,0,80,80,0,80,80,0,101,101
clh-10-1,3,48,2,1,0,54,54,528,226,1,0,84,84,0,84,84,0,104,104
clh-10-2,3,58,2,1,0,59,59,553,224,1,0,79,79,0,79,79,0,99,99
codeminer,3,0,37,37,0,42,42,4,42,35,1,85,54,1,86,55,6,181,43
cpan-authors,3,1,121,121,30,1,1,126,713,116,3,244,127,3,244,127,6,412,123
cpan-distributions,3,1,88,85,0,20,20,345,1563,195,3,596,230,3,597,228,6,930,229
diseasome,3,0,26,26,0,52,52,137,183,26,1,132,94,1,132,94,3,177,69
fvs004,3,51,2,1,6,2,1,166,104,2,3,21,4,3,21,6,3,21,3
fvs008,3,0,207,207,0,286,286,0,216,216,0,366,366,0,368,368,1,428,372
fvs014,3,65,132,1,0,0,1,66,1716,1,0,20,20,0,20,20,0,20,20
fvs021,3,0,208,208,0,285,285,0,211,211,0,367,367,0,367,367,1,428,373
fvs023,3,7,17,8,0,13,13,37,44,8,0,14,14,4,23,10,1,15,12
fvs052,3,0,104,104,0,165,165,0,114,114,0,270,270,0,272,272,0,298,298
fvs056,3,0,109,109,0,172,172,0,121,121,0,281,281,0,283,283,0,309,309
fvs078,3,0,275,275,0,378,378,0,288,288,0,587,587,0,597,597,0,659,659
netscience,3,0,277,277,0,288,288,0,277,277,0,309,309,0,311,311,0,316,316
planar1302,3,3,5,2,0,31,31,496,324,1,0,53,53,0,64,64,0,78,78
planar1500,3,0,10,10,12,1,1,666,532,2,0,95,95,0,100,100,0,116,116
planar2000,3,0,33,33,0,127,127,563,546,4,0,206,206,0,213,213,0,254,254
planar2500,3,0,63,63,0,186,186,379,384,11,0,309,309,0,315,315,0,361,361
planar3000,3,0,111,111,0,270,270,322,375,12,0,425,425,0,429,429,0,495,495
power,3,0,333,333,0,532,532,6,367,363,0,859,859,0,864,864,0,954,954
sb-10-0,3,0,7,7,0,31,31,590,124,1,0,54,54,0,51,51,0,59,59
sb-10-1,3,0,7,7,0,34,34,631,139,1,0,54,54,0,58,58,0,65,65
sb-10-2,3,0,4,4,0,28,28,623,139,1,0,53,53,0,51,51,0,64,64
sp_data_school_day_2,3,151,2,1,0,1,1,227,11,1,0,1,1,0,1,1,0,1,1
yeast,3,0,125,125,0,237,237,716,958,77,0,315,315,0,318,318,0,331,331
airlines,4,42,5,1,43,1,1,110,125,7,3,23,8,3,23,8,6,34,8
celegans,4,99,3,1,0,1,1,213,84,10,1,12,12,1,12,10,1,13,11
cl-10-0,4,138,2,1,0,10,10,525,401,3,0,28,28,0,32,32,0,38,38
cl-10-1,4,145,2,1,0,9,9,531,395,3,0,29,29,0,31,31,0,36,36
cl-10-2,4,134,2,1,0,7,7,521,417,3,0,40,40,0,43,43,0,46,46
clh-10-0,4,0,3,3,0,14,14,715,243,1,0,37,37,0,39,39,0,53,53
clh-10-1,4,0,2,2,0,17,17,715,244,1,0,43,43,0,44,44,0,54,54
clh-10-2,4,85,2,1,0,10,10,713,243,1,0,38,38,0,40,40,0,51,51
codeminer,4,1,42,22,0,33,33,1,30,25,1,68,41,1,69,40,6,152,32
cpan-authors,4,32,10,5,33,1,1,126,713,116,3,229,120,3,230,120,6,393,122
cpan-distributions,4,2,211,207,8,5,1,413,2277,195,3,563,216,3,561,215,6,868,216
diseasome,4,1,37,33,0,28,28,186,263,17,1,85,45,1,84,44,4,151,32
fvs004,4,67,3,1,0,1,1,166,104,2,3,14,2,3,13,2,3,14,3
fvs008,4,0,179,179,0,230,230,236,283,13,0,270,270,0,273,273,1,344,286
fvs014,4,65,132,1,0,0,1,66,1716,1,0,1,1,0,1,1,0,2,2
fvs021,4,0,179,179,0,229,229,305,473,14,0,270,270,0,280,280,1,344,287
fvs023,4,7,16,8,0,7,7,49,35,8,0,4,4,4,12,8,0,10,10
fvs052,4,0,63,63,0,105,105,0,59,59,0,136,136,0,163,163,0,191,191
fvs056,4,0,58,58,0,104,104,0,66,66,0,150,150,0,172,172,0,198,198
fvs078,4,0,174,174,0,255,255,0,190,190,0,316,316,0,360,360,0,441,441
netscience,4,0,273,273,0,278,278,0,272,272,0,289,289,0,290,290,0,290,290
planar1302,4,9,8,1,16,1,1,709,481,1,0,24,24,1,33,10,0,41,41
planar1500,4,5,7,2,12,1,1,808,650,2,0,37,37,0,37,37,1,56,16
planar2000,4,9,10,3,0,44,44,877,875,6,0,94,94,0,99,99,1,135,57
planar2500,4,0,32,32,12,1,1,502,520,11,0,164,164,0,175,175,0,200,200
planar3000,4,0,67,67,0,152,152,782,967,10,0,239,239,0,243,243,0,280,280
power,4,0,203,203,0,348,348,0,218,218,0,469,469,0,520,520,0,621,621
sb-10-0,4,0,2,2,0,9,9,727,293,1,0,17,17,0,21,21,0,27,27
sb-10-1,4,0,2,2,0,11,11,739,277,2,0,21,21,0,22,22,0,30,30
sb-10-2,4,0,2,2,0,9,9,741,279,1,0,17,17,0,20,20,0,25,25
sp_data_school_day_2,4,154,2,1,0,1,1,227,11,1,0,1,1,0,1,1,0,1,1
yeast,4,0,107,107,0,148,148,817,1364,77,0,194,194,0,203,203,0,214,214
airlines,5,47,4,1,0,1,1,110,125,7,3,22,8,3,22,8,5,28,8
celegans,5,103,4,1,115,1,1,213,84,10,1,11,11,1,11,10,1,12,11
cl-10-0,5,194,2,1,0,1,1,526,407,3,0,11,11,0,12,12,0,16,16
cl-10-1,5,0,3,3,0,4,4,533,395,3,0,13,13,0,13,13,0,15,15
cl-10-2,5,0,4,4,0,4,4,521,417,3,0,17,17,0,19,19,0,19,19
clh-10-0,5,125,2,1,1,3,2,732,245,1,0,21,21,0,21,21,1,28,11
clh-10-1,5,7,3,2,8,2,1,721,244,1,0,19,19,0,18,18,0,23,23
clh-10-2,5,138,2,1,0,2,2,721,244,1,0,17,17,0,19,19,0,23,23
codeminer,5,0,21,21,0,27,27,1,25,20,1,61,31,1,61,33,6,140,25
cpan-authors,5,33,11,5,0,0,1,126,713,116,3,224,119,3,224,119,6,386,121
cpan-distributions,5,28,18,8,0,2,2,414,2291,195,3,552,213,3,552,214,6,849,212
diseasome,5,2,19,12,0,21,21,156,163,12,1,65,32,1,66,32,4,131,32
fvs004,5,71,5,1,0,1,1,166,104,2,3,9,2,3,9,2,6,13,2
fvs008,5,0,165,165,0,203,203,326,539,13,0,234,234,0,234,234,1,294,227
fvs014,5,65,132,1,0,0,1,66,1716,1,0,1,1,0,1,1,6,2,1
fvs021,5,0,165,165,0,204,204,399,715,13,0,231,231,0,239,239,1,294,227
fvs023,5,0,5,5,0,8,8,70,220,8,0,4,4,4,12,8,0,7,7
fvs052,5,0,38,38,0,69,69,0,36,36,0,103,103,0,114,114,0,137,137
fvs056,5,0,37,37,0,68,68,8,44,39,0,101,101,0,121,121,0,139,139
fvs078,5,0,111,111,0,194,194,0,132,132,0,252,252,0,271,271,0,330,330
netscience,5,0,271,271,0,273,273,0,270,270,0,281,281,0,281,281,0,282,282
planar1302,5,8,7,1,0,3,3,761,510,1,0,15,15,1,18,5,0,23,23
planar1500,5,11,9,1,15,1,1,830,665,2,0,17,17,0,20,20,3,40,7
planar2000,5,9,10,1,15,1,1,943,951,6,0,62,62,0,65,65,1,86,25
planar2500,5,2,23,17,13,1,1,750,853,11,0,110,110,0,115,115,0,133,133
planar3000,5,4,20,13,13,1,1,966,1217,10,0,183,183,0,183,183,0,209,209
power,5,0,130,130,0,238,238,0,135,135,0,345,345,0,379,379,0,443,443
sb-10-0,5,190,2,1,2,3,1,728,293,1,0,7,7,0,10,10,0,12,12
sb-10-1,5,0,2,2,0,4,4,742,279,2,0,12,12,0,10,10,0,13,13
sb-10-2,5,0,2,2,0,2,2,741,281,1,0,9,9,0,9,9,0,11,11
sp_data_school_day_2,5,173,4,1,0,1,1,227,11,1,0,1,1,0,1,1,0,1,1
yeast,5,0,102,102,0,112,112,842,1449,77,0,152,152,0,155,155,0,158,158
