test;n;m;avg_deg;max_deg
lesmiserables;77;254;6.60;36
planar400;396;900;4.55;44
polbooks;105;441;8.40;25
planar302;302;900;5.96;56
fvs020;74;92;2.49;9
planar600;566;900;3.18;43
fvs099;37;62;3.35;10
dolphins;62;159;5.13;12
fvs100;187;652;6.97;9
karate;34;78;4.59;17
hex;331;930;5.62;6
word_adjacencies;112;425;7.59;49
fvs033;620;930;3.00;3
football;115;613;10.66;12
fvs097;96;336;7.00;8
fvs047;84;166;3.95;4
fvs051;50;175;7.00;7
planar350;350;900;5.14;53
fvs066;146;657;9.00;9
photoviz_dynamic;376;612;3.26;31
planar500;483;900;3.73;36
bergen;53;272;10.26;32
fvs002;462;620;2.68;13
yeast;2361;7182;6.08;66
fvs021;1846;2203;2.39;56
fvs052;1624;2213;2.73;13
fvs008;1846;2203;2.39;56
sp_data_school_day_2;238;5539;46.55;88
cl-10-0;933;3046;6.53;38
cpan-authors;839;2112;5.03;327
fvs004;270;1726;12.79;130
planar1500;1498;3900;5.21;121
clh-10-2;965;2922;6.06;30
power;4941;6594;2.67;19
sb-10-0;1021;3032;5.94;16
netscience;1461;2742;3.75;34
cpan-distributions;2719;5018;3.69;509
planar3000;2674;3900;2.92;100
cl-10-1;930;2960;6.37;37
clh-10-0;980;2922;5.96;32
planar2500;2355;3900;3.31;90
sb-10-2;1023;3118;6.10;16
sb-10-1;1021;3064;6.00;18
planar2000;1960;3900;3.98;100
fvs014;1782;8581;9.63;132
clh-10-1;965;2869;5.95;30
fvs056;1723;2394;2.78;14
airlines;235;1297;11.04;130
fvs023;335;1025;6.12;16
planar1302;1302;3900;5.99;110
cl-10-2;943;3141;6.66;39
fvs078;3120;3684;2.36;9
celegans;297;2148;14.46;134
diseasome;1419;2738;3.86;84
codeminer;724;1017;2.81;55
fvs001;5848;14647;5.01;173
sb-12-0;4081;12377;6.07;18
as20000102;6474;13895;4.29;1460
planar10000;9879;21000;4.25;150
clh-12-1;3852;11819;6.14;47
fvs080;5420;10445;3.85;1210
cond-mat;16264;47594;5.85;107
cl-12-0;3727;12363;6.63;45
polblogs;1224;16718;27.32;351
planar12000;11544;21000;3.64;287
planar7002;7002;21000;6.00;224
clh-12-0;3932;12009;6.11;41
cl-12-1;3757;12458;6.63;49
fvs045;14842;24571;3.31;71
fvs022;11174;23409;4.19;2389
hep-th;7610;15751;4.14;50
fvs040;10729;21999;4.10;2315
p2p-Gnutella04;10876;39994;7.35;103
sb-12-1;4080;12359;6.06;16
planar15000;13729;21000;3.06;197
planar8500;8477;21000;4.95;251
fvs074;10670;22002;4.12;2312
twittercrawl;3656;154824;84.70;1084
loc-brightkite_edges;58228;428156;14.71;2268
email-Enron;36692;367662;20.04;2766
soc-Epinions1;75879;508837;13.41;3079
sb-14-0;16330;49505;6.06;19
cit-HepTh;27770;352807;25.41;2468
planar50002;50002;150000;6.00;649
soc-Slashdot0811;77360;546487;14.13;2541
fvs037;20588;91241;8.86;624
cit-HepPh;34546;421578;24.41;846
ca-CondMat;23133;186936;16.16;560
fvs041;17758;54196;6.10;573
cl-14-0;14925;49408;6.62;51
ca-HepPh;12008;237010;39.48;982
planar70000;69205;150000;4.33;557
clh-14-0;15470;48130;6.22;51
