test,rad,sortdeg1.lsR
american_revolution.txt,1,
autobahn.txt,1,
bergen.txt,1,
CoW-interstate.txt,1,
dolphins.txt,1,
ecoli-transcript.txt,1,
football.txt,1,
hex.txt,1,
iscas89-s1196.txt,1,
iscas89-s1238.txt,1,
iscas89-s1423.txt,1,
iscas89-s1488.txt,1,
iscas89-s1494.txt,1,
iscas89-s208.1.txt,1,
iscas89-s27.txt,1,
iscas89-s298.txt,1,
iscas89-s344.txt,1,
iscas89-s349.txt,1,
iscas89-s382.txt,1,
iscas89-s386.txt,1,
iscas89-s400.txt,1,
iscas89-s420.1.txt,1,
iscas89-s444.txt,1,
iscas89-s510.txt,1,
iscas89-s526n.txt,1,
iscas89-s526.txt,1,
iscas89-s641.txt,1,
iscas89-s713.txt,1,
iscas89-s820.txt,1,
iscas89-s832.txt,1,
iscas89-s838.1.txt,1,
iscas89-s953.txt,1,
karate.txt,1,
lesmiserables.txt,1,
movies.txt,1,
muenchen-bahn.txt,1,
photoviz_dynamic.txt,1,
polbooks.txt,1,
StackOverflow-tags.txt,1,
wafa-ceos.txt,1,
wafa-eies.txt,1,
wafa-hightech.txt,1,
wafa-padgett.txt,1,
word_adjacencies.txt,1,
american_revolution.txt,2,
autobahn.txt,2,
bergen.txt,2,
CoW-interstate.txt,2,
dolphins.txt,2,
ecoli-transcript.txt,2,
football.txt,2,
hex.txt,2,
iscas89-s1196.txt,2,
iscas89-s1238.txt,2,
iscas89-s1423.txt,2,
iscas89-s1488.txt,2,
iscas89-s1494.txt,2,
iscas89-s208.1.txt,2,
iscas89-s27.txt,2,
iscas89-s298.txt,2,
iscas89-s344.txt,2,
iscas89-s349.txt,2,
iscas89-s382.txt,2,
iscas89-s386.txt,2,
iscas89-s400.txt,2,
iscas89-s420.1.txt,2,
iscas89-s444.txt,2,
iscas89-s510.txt,2,
iscas89-s526n.txt,2,
iscas89-s526.txt,2,
iscas89-s641.txt,2,
iscas89-s713.txt,2,
iscas89-s820.txt,2,
iscas89-s832.txt,2,
iscas89-s838.1.txt,2,
iscas89-s953.txt,2,
karate.txt,2,
lesmiserables.txt,2,
movies.txt,2,
muenchen-bahn.txt,2,
photoviz_dynamic.txt,2,
polbooks.txt,2,
StackOverflow-tags.txt,2,
wafa-ceos.txt,2,
wafa-eies.txt,2,
wafa-hightech.txt,2,
wafa-padgett.txt,2,
word_adjacencies.txt,2,
american_revolution.txt,3,
autobahn.txt,3,
bergen.txt,3,
CoW-interstate.txt,3,
dolphins.txt,3,
ecoli-transcript.txt,3,
football.txt,3,
hex.txt,3,
iscas89-s1196.txt,3,
iscas89-s1238.txt,3,
iscas89-s1423.txt,3,
iscas89-s1488.txt,3,
iscas89-s1494.txt,3,
iscas89-s208.1.txt,3,
iscas89-s27.txt,3,
iscas89-s298.txt,3,
iscas89-s344.txt,3,
iscas89-s349.txt,3,
iscas89-s382.txt,3,
iscas89-s386.txt,3,
iscas89-s400.txt,3,
iscas89-s420.1.txt,3,
iscas89-s444.txt,3,
iscas89-s510.txt,3,
iscas89-s526n.txt,3,
iscas89-s526.txt,3,
iscas89-s641.txt,3,
iscas89-s713.txt,3,
iscas89-s820.txt,3,
iscas89-s832.txt,3,
iscas89-s838.1.txt,3,
iscas89-s953.txt,3,
karate.txt,3,
lesmiserables.txt,3,
movies.txt,3,
muenchen-bahn.txt,3,
photoviz_dynamic.txt,3,
polbooks.txt,3,
StackOverflow-tags.txt,3,
wafa-ceos.txt,3,
wafa-eies.txt,3,
wafa-hightech.txt,3,
wafa-padgett.txt,3,
word_adjacencies.txt,3,
american_revolution.txt,4,
autobahn.txt,4,
bergen.txt,4,
CoW-interstate.txt,4,
dolphins.txt,4,
ecoli-transcript.txt,4,
football.txt,4,
hex.txt,4,
iscas89-s1196.txt,4,
iscas89-s1238.txt,4,
iscas89-s1423.txt,4,
iscas89-s1488.txt,4,
iscas89-s1494.txt,4,
iscas89-s208.1.txt,4,
iscas89-s27.txt,4,
iscas89-s298.txt,4,
iscas89-s344.txt,4,
iscas89-s349.txt,4,
iscas89-s382.txt,4,
iscas89-s386.txt,4,
iscas89-s400.txt,4,
iscas89-s420.1.txt,4,
iscas89-s444.txt,4,
iscas89-s510.txt,4,
iscas89-s526n.txt,4,
iscas89-s526.txt,4,
iscas89-s641.txt,4,
iscas89-s713.txt,4,
iscas89-s820.txt,4,
iscas89-s832.txt,4,
iscas89-s838.1.txt,4,
iscas89-s953.txt,4,
karate.txt,4,
lesmiserables.txt,4,
movies.txt,4,
muenchen-bahn.txt,4,
photoviz_dynamic.txt,4,
polbooks.txt,4,
StackOverflow-tags.txt,4,
wafa-ceos.txt,4,
wafa-eies.txt,4,
wafa-hightech.txt,4,
wafa-padgett.txt,4,
word_adjacencies.txt,4,
american_revolution.txt,5,
autobahn.txt,5,
bergen.txt,5,
CoW-interstate.txt,5,
dolphins.txt,5,
ecoli-transcript.txt,5,
football.txt,5,
hex.txt,5,
iscas89-s1196.txt,5,
iscas89-s1238.txt,5,
iscas89-s1423.txt,5,
iscas89-s1488.txt,5,
iscas89-s1494.txt,5,
iscas89-s208.1.txt,5,
iscas89-s27.txt,5,
iscas89-s298.txt,5,
iscas89-s344.txt,5,
iscas89-s349.txt,5,
iscas89-s382.txt,5,
iscas89-s386.txt,5,
iscas89-s400.txt,5,
iscas89-s420.1.txt,5,
iscas89-s444.txt,5,
iscas89-s510.txt,5,
iscas89-s526n.txt,5,
iscas89-s526.txt,5,
iscas89-s641.txt,5,
iscas89-s713.txt,5,
iscas89-s820.txt,5,
iscas89-s832.txt,5,
iscas89-s838.1.txt,5,
iscas89-s953.txt,5,
karate.txt,5,
lesmiserables.txt,5,
movies.txt,5,
muenchen-bahn.txt,5,
photoviz_dynamic.txt,5,
polbooks.txt,5,
StackOverflow-tags.txt,5,
wafa-ceos.txt,5,
wafa-eies.txt,5,
wafa-hightech.txt,5,
wafa-padgett.txt,5,
word_adjacencies.txt,5,
