test,rad,sortdeg1.lsR
out.adjnoun_adjacency_adjacency,1,7
out.brunson_club-membership_club-membership,1,6
out.brunson_corporate-leadership_corporate-leadership,1,7
out.brunson_revolution_revolution,1,4
out.brunson_south-africa_south-africa,1,3
out.brunson_southern-women_southern-women,1,4
out.contiguous-usa,1,4
out.dolphins,1,5
out.maayan-pdzbase,1,4
out.moreno_beach_beach,1,12
out.moreno_bison_bison,1,15
out.moreno_cattle_cattle,1,13
out.moreno_hens_hens,1,32
out.moreno_highschool_highschool,1,7
out.moreno_innovation_innovation,1,7
out.moreno_kangaroo_kangaroo,1,10
out.moreno_lesmis_lesmis,1,10
out.moreno_rhesus_rhesus,1,8
out.moreno_sampson_sampson,1,13
out.moreno_seventh_seventh,1,14
out.moreno_sheep_sheep,1,15
out.moreno_taro_taro,1,4
out.moreno_train_train,1,11
out.moreno_vdb_vdb,1,24
out.moreno_zebra_zebra,1,12
out.opsahl-southernwomen,1,7
out.ucidata-gama,1,6
out.ucidata-zachary,1,5
out.adjnoun_adjacency_adjacency,2,22
out.brunson_club-membership_club-membership,2,12
out.brunson_corporate-leadership_corporate-leadership,2,13
out.brunson_revolution_revolution,2,5
out.brunson_south-africa_south-africa,2,4
out.brunson_southern-women_southern-women,2,4
out.contiguous-usa,2,8
out.dolphins,2,11
out.maayan-pdzbase,2,7
out.moreno_beach_beach,2,23
out.moreno_bison_bison,2,20
out.moreno_cattle_cattle,2,21
out.moreno_hens_hens,2,32
out.moreno_highschool_highschool,2,15
out.moreno_innovation_innovation,2,23
out.moreno_kangaroo_kangaroo,2,12
out.moreno_lesmis_lesmis,2,15
out.moreno_rhesus_rhesus,2,11
out.moreno_sampson_sampson,2,16
out.moreno_seventh_seventh,2,21
out.moreno_sheep_sheep,2,22
out.moreno_taro_taro,2,6
out.moreno_train_train,2,13
out.moreno_vdb_vdb,2,28
out.moreno_zebra_zebra,2,14
out.opsahl-southernwomen,2,9
out.ucidata-gama,2,11
out.ucidata-zachary,2,8
out.adjnoun_adjacency_adjacency,3,31
out.brunson_club-membership_club-membership,3,13
out.brunson_corporate-leadership_corporate-leadership,3,14
out.brunson_revolution_revolution,3,5
out.brunson_south-africa_south-africa,3,4
out.brunson_southern-women_southern-women,3,4
out.contiguous-usa,3,11
out.dolphins,3,16
out.maayan-pdzbase,3,9
out.moreno_beach_beach,3,26
out.moreno_bison_bison,3,21
out.moreno_cattle_cattle,3,22
out.moreno_hens_hens,3,32
out.moreno_highschool_highschool,3,20
out.moreno_innovation_innovation,3,36
out.moreno_kangaroo_kangaroo,3,12
out.moreno_lesmis_lesmis,3,19
out.moreno_rhesus_rhesus,3,12
out.moreno_sampson_sampson,3,16
out.moreno_seventh_seventh,3,23
out.moreno_sheep_sheep,3,24
out.moreno_taro_taro,3,8
out.moreno_train_train,3,21
out.moreno_vdb_vdb,3,28
out.moreno_zebra_zebra,3,15
out.opsahl-southernwomen,3,9
out.ucidata-gama,3,12
out.ucidata-zachary,3,8
out.adjnoun_adjacency_adjacency,4,35
out.brunson_club-membership_club-membership,4,13
out.brunson_corporate-leadership_corporate-leadership,4,15
out.brunson_revolution_revolution,4,5
out.brunson_south-africa_south-africa,4,4
out.brunson_southern-women_southern-women,4,4
out.contiguous-usa,4,13
out.dolphins,4,20
out.maayan-pdzbase,4,13
out.moreno_beach_beach,4,28
out.moreno_bison_bison,4,21
out.moreno_cattle_cattle,4,22
out.moreno_hens_hens,4,32
out.moreno_highschool_highschool,4,24
out.moreno_innovation_innovation,4,44
out.moreno_kangaroo_kangaroo,4,12
out.moreno_lesmis_lesmis,4,20
out.moreno_rhesus_rhesus,4,12
out.moreno_sampson_sampson,4,15
out.moreno_seventh_seventh,4,24
out.moreno_sheep_sheep,4,23
out.moreno_taro_taro,4,8
out.moreno_train_train,4,21
out.moreno_vdb_vdb,4,28
out.moreno_zebra_zebra,4,14
out.opsahl-southernwomen,4,9
out.ucidata-gama,4,12
out.ucidata-zachary,4,8
out.adjnoun_adjacency_adjacency,5,37
out.brunson_club-membership_club-membership,5,14
out.brunson_corporate-leadership_corporate-leadership,5,15
out.brunson_revolution_revolution,5,5
out.brunson_south-africa_south-africa,5,4
out.brunson_southern-women_southern-women,5,4
out.contiguous-usa,5,13
out.dolphins,5,21
out.maayan-pdzbase,5,14
out.moreno_beach_beach,5,28
out.moreno_bison_bison,5,21
out.moreno_cattle_cattle,5,21
out.moreno_hens_hens,5,32
out.moreno_highschool_highschool,5,24
out.moreno_innovation_innovation,5,48
out.moreno_kangaroo_kangaroo,5,12
out.moreno_lesmis_lesmis,5,23
out.moreno_rhesus_rhesus,5,12
out.moreno_sampson_sampson,5,15
out.moreno_seventh_seventh,5,23
out.moreno_sheep_sheep,5,23
out.moreno_taro_taro,5,8
out.moreno_train_train,5,21
out.moreno_vdb_vdb,5,28
out.moreno_zebra_zebra,5,14
out.opsahl-southernwomen,5,9
out.ucidata-gama,5,12
out.ucidata-zachary,5,8
