test,rad,sortdeg1.lsR
08blocks.mtx,1,3
494_bus.mtx,1,3
662_bus.mtx,1,5
adjnoun_adjacency.edges,1,7
adjnoun.mtx,1,7
arc130.mtx,1,16
ash219.mtx,1,3
ash292.mtx,1,6
ash331.mtx,1,4
ash85.mtx,1,4
b1_ss.mtx,1,3
bcspwr01.mtx,1,3
bcspwr02.mtx,1,3
bcspwr03.mtx,1,4
bcspwr04.mtx,1,7
bcspwr05.mtx,1,4
bcsstk01.mtx,1,6
bcsstk03.mtx,1,4
bcsstk22.mtx,1,5
bcsstm01.mtx,1,
bcsstm02.mtx,1,
bcsstm03.mtx,1,
bcsstm04.mtx,1,
bcsstm05.mtx,1,
bcsstm06.mtx,1,
bcsstm08.mtx,1,
bcsstm09.mtx,1,
bcsstm11.mtx,1,
bcsstm19.mtx,1,
bcsstm20.mtx,1,
bcsstm21.mtx,1,
bcsstm22.mtx,1,
bcsstm23.mtx,1,
bcsstm24.mtx,1,
bcsstm25.mtx,1,
bcsstm26.mtx,1,
bcsstm37.mtx,1,3
bcsstm39.mtx,1,
bfwa62.mtx,1,6
bfwb62.mtx,1,5
bibd_81_2.mtx,1,
bibd_9_3.mtx,1,5
bio-MUTAG-g1.edges,1,3
bwm200.mtx,1,3
cage3.mtx,1,3
cage4.mtx,1,5
cage5.mtx,1,5
cage6.mtx,1,8
CAG_mat72.mtx,1,18
can_144.mtx,1,7
can_161.mtx,1,6
can_187.mtx,1,6
can_229.mtx,1,6
can_24.mtx,1,5
can_61.mtx,1,7
can_62.mtx,1,3
can_73.mtx,1,4
can_96.mtx,1,6
ca-netscience.mtx,1,9
ca-sandi_auths.mtx,1,5
cat_ears_2_1.mtx,1,5
cat_ears_3_1.mtx,1,5
cat_ears_4_1.mtx,1,4
ch3-3-b1.mtx,1,4
ch3-3-b2.mtx,1,3
ch4-4-b1.mtx,1,4
ch4-4-b2.mtx,1,5
ch4-4-b3.mtx,1,3
ch5-5-b1.mtx,1,3
ch5-5-b4.mtx,1,2
ch6-6-b1.mtx,1,3
chesapeake.mtx,1,7
cis-n4c6-b15.mtx,1,3
cis-n4c6-b1.mtx,1,3
ck104.mtx,1,6
contiguous-usa.edges,1,4
curtis54.mtx,1,5
d_dyn1.mtx,1,4
d_dyn.mtx,1,4
divorce.mtx,1,8
dolphins.mtx,1,5
d_ss.mtx,1,5
dwt_162.mtx,1,5
dwt_198.mtx,1,5
dwt_209.mtx,1,7
dwt_221.mtx,1,5
dwt_234.mtx,1,3
dwt_245.mtx,1,6
dwt_59.mtx,1,4
dwt_66.mtx,1,3
dwt_72.mtx,1,3
dwt_87.mtx,1,5
farm.mtx,1,5
flower_4_1.mtx,1,5
flower_5_1.mtx,1,5
football.mtx,1,7
fs_183_1.mtx,1,8
fs_183_3.mtx,1,8
fs_183_4.mtx,1,8
fs_183_6.mtx,1,8
fs-adjnoun_adj_copperfield.edges,1,7
gams10am.mtx,1,4
gams10a.mtx,1,4
gams30am.mtx,1,4
gams30a.mtx,1,4
GD00_a.mtx,1,3
GD01_b.mtx,1,3
GD01_c.mtx,1,9
GD02_a.mtx,1,5
GD02_b.mtx,1,5
GD06_theory.mtx,1,3
GD95_a.mtx,1,3
GD95_b.mtx,1,4
GD95_c.mtx,1,4
GD96_b.mtx,1,3
GD96_c.mtx,1,5
GD96_d.mtx,1,3
GD97_a.mtx,1,4
GD97_b.mtx,1,4
GD97_c.mtx,1,3
GD98_a.mtx,1,3
GD98_b.mtx,1,3
GD98_c.mtx,1,4
GD99_b.mtx,1,4
GD99_c.mtx,1,3
gent113.mtx,1,10
GL7d10.mtx,1,2
GlossGT.mtx,1,4
gre_115.mtx,1,5
gre_185.mtx,1,5
gre_216a.mtx,1,5
gre_216b.mtx,1,5
grid1_dual.mtx,1,4
grid1.mtx,1,4
Hamrle1.mtx,1,5
ibm32.mtx,1,5
IG5-6.mtx,1,7
IG5-7.mtx,1,7
impcol_a.mtx,1,5
impcol_b.mtx,1,8
impcol_c.mtx,1,4
inf-contiguous-usa.edges,1,4
jgl009.mtx,1,7
jgl011.mtx,1,10
karate.mtx,1,5
kleemin.mtx,1,5
klein-b1.mtx,1,4
klein-b2.mtx,1,4
lap_25.mtx,1,5
lesmis.mtx,1,10
LF10.mtx,1,3
LFAT5.mtx,1,3
lns_131.mtx,1,5
lnsp_131.mtx,1,5
lop163.mtx,1,5
lp_adlittle.mtx,1,6
lp_afiro.mtx,1,4
lp_blend.mtx,1,9
lpi_bgprtr.mtx,1,4
lpi_box1.mtx,1,4
lpi_ex72a.mtx,1,4
lpi_ex73a.mtx,1,4
lpi_forest6.mtx,1,4
lpi_galenet.mtx,1,3
lpi_itest2.mtx,1,3
lpi_itest6.mtx,1,3
lpi_klein1.mtx,1,11
lpi_woodinfe.mtx,1,3
lp_kb2.mtx,1,9
lp_recipe.mtx,1,10
lp_sc105.mtx,1,4
lp_sc205.mtx,1,4
lp_sc50a.mtx,1,4
lp_sc50b.mtx,1,4
lp_scagr7.mtx,1,5
lp_share2b.mtx,1,10
lp_stocfor1.mtx,1,5
lshp_265.mtx,1,4
M10PI_n1.mtx,1,3
M10PI_n.mtx,1,3
m3plates.mtx,1,
maayan-pdzbase.edges,1,4
Maragal_1.mtx,1,13
mesh1e1.mtx,1,5
mesh1em1.mtx,1,5
mesh1em6.mtx,1,5
mesh2e1.mtx,1,5
mesh2em5.mtx,1,5
mesh3e1.mtx,1,4
mesh3em5.mtx,1,4
mhdb416.mtx,1,6
misc-football.mtx,1,9
misc-lesmis.mtx,1,10
mk9-b1.mtx,1,3
moreno_highschool.edges,1,7
moreno_lesmis.edges,1,10
moreno_sampson.edges,1,13
n2c6-b10.mtx,1,3
n2c6-b1.mtx,1,3
n3c4-b1.mtx,1,3
n3c4-b2.mtx,1,5
n3c4-b3.mtx,1,5
n3c4-b4.mtx,1,3
n3c5-b1.mtx,1,3
n3c5-b2.mtx,1,4
n3c5-b3.mtx,1,6
n3c5-b6.mtx,1,6
n3c5-b7.mtx,1,4
n3c6-b11.mtx,1,4
n3c6-b1.mtx,1,3
n4c5-b11.mtx,1,3
n4c5-b1.mtx,1,3
n4c6-b15.mtx,1,3
n4c6-b1.mtx,1,3
nlpkkt160.mtx,1,
nlpkkt200.mtx,1,
nlpkkt240.mtx,1,
nnc261.mtx,1,5
nos1.mtx,1,3
nos4.mtx,1,4
odepa400.mtx,1,3
odepb400.mtx,1,
olm100.mtx,1,3
olm500.mtx,1,3
opsahl-southernwomen.edges,1,7
oscil_dcop_01.mtx,1,3
oscil_dcop_02.mtx,1,3
oscil_dcop_03.mtx,1,3
oscil_dcop_04.mtx,1,3
oscil_dcop_05.mtx,1,3
oscil_dcop_06.mtx,1,3
oscil_dcop_07.mtx,1,3
oscil_dcop_08.mtx,1,3
oscil_dcop_09.mtx,1,3
oscil_dcop_10.mtx,1,3
oscil_dcop_11.mtx,1,3
oscil_dcop_12.mtx,1,3
oscil_dcop_13.mtx,1,3
oscil_dcop_14.mtx,1,3
oscil_dcop_15.mtx,1,3
oscil_dcop_16.mtx,1,3
oscil_dcop_17.mtx,1,3
oscil_dcop_18.mtx,1,3
oscil_dcop_19.mtx,1,3
oscil_dcop_20.mtx,1,3
oscil_dcop_21.mtx,1,3
oscil_dcop_22.mtx,1,3
oscil_dcop_23.mtx,1,3
oscil_dcop_24.mtx,1,3
oscil_dcop_25.mtx,1,3
oscil_dcop_26.mtx,1,3
oscil_dcop_27.mtx,1,3
oscil_dcop_28.mtx,1,3
oscil_dcop_29.mtx,1,3
oscil_dcop_30.mtx,1,3
oscil_dcop_31.mtx,1,3
oscil_dcop_32.mtx,1,3
oscil_dcop_33.mtx,1,3
oscil_dcop_34.mtx,1,3
oscil_dcop_35.mtx,1,3
oscil_dcop_36.mtx,1,3
oscil_dcop_37.mtx,1,3
oscil_dcop_38.mtx,1,3
oscil_dcop_39.mtx,1,3
oscil_dcop_40.mtx,1,3
oscil_dcop_41.mtx,1,3
oscil_dcop_42.mtx,1,3
oscil_dcop_43.mtx,1,3
oscil_dcop_44.mtx,1,3
oscil_dcop_45.mtx,1,3
oscil_dcop_46.mtx,1,3
oscil_dcop_47.mtx,1,3
oscil_dcop_48.mtx,1,3
oscil_dcop_49.mtx,1,3
oscil_dcop_50.mtx,1,3
oscil_dcop_51.mtx,1,3
oscil_dcop_52.mtx,1,3
oscil_dcop_53.mtx,1,3
oscil_dcop_54.mtx,1,3
oscil_dcop_55.mtx,1,3
oscil_dcop_56.mtx,1,3
oscil_dcop_57.mtx,1,3
oscil_trans_01.mtx,1,5
p0033.mtx,1,5
p0040.mtx,1,4
pde225.mtx,1,3
pivtol.mtx,1,3
plskz362.mtx,1,4
polbooks.mtx,1,7
pores_1.mtx,1,6
problem.mtx,1,3
Ragusa16.mtx,1,6
Ragusa18.mtx,1,5
rajat05.mtx,1,4
rajat11.mtx,1,6
rajat14.mtx,1,7
rdb200l.mtx,1,4
rdb200.mtx,1,4
refine.mtx,1,5
rel3.mtx,1,4
rel4.mtx,1,5
rel5.mtx,1,5
relat3.mtx,1,4
relat4.mtx,1,5
rgg010.mtx,1,10
robot.mtx,1,10
rotor1.mtx,1,9
rw136.mtx,1,4
S10PI_n1.mtx,1,3
S10PI_n.mtx,1,3
Sandi_authors.mtx,1,5
Sandi_sandi.mtx,1,4
saylr1.mtx,1,3
SmallW.mtx,1,10
sphere2.mtx,1,6
sphere3.mtx,1,6
steam3.mtx,1,8
Stranke94.mtx,1,10
t2dal_e.mtx,1,
t3dl_e.mtx,1,
TF10.mtx,1,8
Tina_AskCal.mtx,1,4
Tina_AskCog.mtx,1,4
Tina_DisCal.mtx,1,5
Tina_DisCog.mtx,1,6
Trec3.mtx,1,2
Trec4.mtx,1,2
Trec5.mtx,1,3
Trec6.mtx,1,5
Trec7.mtx,1,8
Trec8.mtx,1,13
Trefethen_150.mtx,1,9
Trefethen_20b.mtx,1,6
Trefethen_20.mtx,1,6
tub100.mtx,1,3
ucidata-gama.edges,1,6
ucidata-zachary.edges,1,5
08blocks.mtx,2,4
494_bus.mtx,2,5
662_bus.mtx,2,7
adjnoun_adjacency.edges,2,22
adjnoun.mtx,2,22
arc130.mtx,2,18
ash219.mtx,2,11
ash292.mtx,2,12
ash331.mtx,2,13
ash85.mtx,2,9
b1_ss.mtx,2,3
bcspwr01.mtx,2,5
bcspwr02.mtx,2,5
bcspwr03.mtx,2,6
bcspwr04.mtx,2,12
bcspwr05.mtx,2,6
bcsstk01.mtx,2,16
bcsstk03.mtx,2,6
bcsstk22.mtx,2,9
bcsstm01.mtx,2,
bcsstm02.mtx,2,
bcsstm03.mtx,2,
bcsstm04.mtx,2,
bcsstm05.mtx,2,
bcsstm06.mtx,2,
bcsstm08.mtx,2,
bcsstm09.mtx,2,
bcsstm11.mtx,2,
bcsstm19.mtx,2,
bcsstm20.mtx,2,
bcsstm21.mtx,2,
bcsstm22.mtx,2,
bcsstm23.mtx,2,
bcsstm24.mtx,2,
bcsstm25.mtx,2,
bcsstm26.mtx,2,
bcsstm37.mtx,2,4
bcsstm39.mtx,2,
bfwa62.mtx,2,11
bfwb62.mtx,2,10
bibd_81_2.mtx,2,
bibd_9_3.mtx,2,18
bio-MUTAG-g1.edges,2,4
bwm200.mtx,2,5
cage3.mtx,2,4
cage4.mtx,2,6
cage5.mtx,2,10
cage6.mtx,2,20
CAG_mat72.mtx,2,26
can_144.mtx,2,13
can_161.mtx,2,14
can_187.mtx,2,13
can_229.mtx,2,14
can_24.mtx,2,9
can_61.mtx,2,15
can_62.mtx,2,5
can_73.mtx,2,9
can_96.mtx,2,13
ca-netscience.mtx,2,10
ca-sandi_auths.mtx,2,6
cat_ears_2_1.mtx,2,14
cat_ears_3_1.mtx,2,14
cat_ears_4_1.mtx,2,14
ch3-3-b1.mtx,2,7
ch3-3-b2.mtx,2,4
ch4-4-b1.mtx,2,11
ch4-4-b2.mtx,2,15
ch4-4-b3.mtx,2,4
ch5-5-b1.mtx,2,17
ch5-5-b4.mtx,2,3
ch6-6-b1.mtx,2,26
chesapeake.mtx,2,13
cis-n4c6-b15.mtx,2,6
cis-n4c6-b1.mtx,2,20
ck104.mtx,2,10
contiguous-usa.edges,2,8
curtis54.mtx,2,8
d_dyn1.mtx,2,12
d_dyn.mtx,2,12
divorce.mtx,2,10
dolphins.mtx,2,11
d_ss.mtx,2,12
dwt_162.mtx,2,11
dwt_198.mtx,2,11
dwt_209.mtx,2,16
dwt_221.mtx,2,12
dwt_234.mtx,2,5
dwt_245.mtx,2,12
dwt_59.mtx,2,6
dwt_66.mtx,2,5
dwt_72.mtx,2,4
dwt_87.mtx,2,11
farm.mtx,2,7
