test,rad,sortdeg1_wcol,sortdeg1_LS,td_wcol,td_LS,fill-in_wcol,fill-in_LS,berlin.sna_wcol,berlin.sna_LS,WReachR_wcol,WReachR_LS,SReachR_wcol,SReachR_LS,felixR_wcol,felixR_LS
bergen,2,17,17,24,23,21,21,19,18,17,17,19,17,22,21
dolphins,2,15,12,17,13,13,12,17,12,10,10,13,11,15,12
football,2,40,28,47,28,33,28,48,28,34,28,37,27,36,27
fvs002,2,13,7,13,7,8,7,9,7,6,6,7,7,8,7
fvs020,2,6,5,6,5,5,5,6,5,5,5,5,5,5,5
fvs033,2,10,7,8,7,9,6,10,7,7,7,9,7,9,7
fvs047,2,14,8,10,8,10,8,12,8,10,8,11,8,10,8
fvs051,2,39,25,29,25,27,26,37,26,25,25,34,25,32,24
fvs066,2,50,40,59,58,50,42,54,44,59,59,68,55,63,59
fvs097,2,18,13,15,13,16,13,18,13,14,13,14,12,15,13
fvs099,2,7,7,9,7,8,7,7,7,7,7,8,7,10,7
fvs100,2,18,13,18,13,17,13,22,13,15,14,14,12,15,14
hex,2,14,11,12,11,14,11,17,10,10,10,11,11,11,10
karate,2,8,7,7,7,9,9,8,7,8,8,9,8,10,9
lesmiserables,2,14,14,18,15,21,15,15,14,16,15,15,15,17,14
photoviz_dynamic,2,13,12,18,12,14,12,15,13,17,12,13,12,13,13
planar302,2,10,10,18,14,10,10,11,11,10,10,10,10,17,15
planar350,2,10,10,17,12,10,10,10,10,12,10,10,9,12,12
planar400,2,10,10,19,12,10,10,9,9,9,9,9,9,12,11
planar500,2,11,9,16,11,9,9,9,8,9,9,9,9,11,10
planar600,2,9,8,16,12,9,8,9,8,8,8,9,8,11,9
polbooks,2,22,17,29,18,18,18,21,17,20,20,19,18,21,19
word_adjacencies,2,25,20,42,22,36,24,30,22,20,20,25,22,25,23
bergen,3,20,20,24,24,21,21,21,21,20,20,20,20,27,27
dolphins,3,22,17,24,16,16,16,26,18,16,15,18,16,20,18
football,3,87,56,85,55,59,54,78,52,64,55,59,52,90,56
fvs002,3,15,10,15,10,11,10,11,10,9,9,10,9,10,9
fvs020,3,9,7,8,7,6,6,8,6,7,6,7,6,9,7
fvs033,3,17,11,15,11,13,10,19,11,13,11,14,11,17,11
fvs047,3,24,14,19,14,15,13,23,14,19,14,17,15,24,14
fvs051,3,45,32,36,32,31,31,44,33,40,33,32,32,44,33
fvs066,3,98,65,74,68,76,68,102,67,72,67,77,67,116,65
fvs097,3,24,20,27,20,23,20,27,20,23,20,22,20,26,20
fvs099,3,9,8,10,9,10,9,9,8,8,8,9,9,11,9
fvs100,3,25,20,27,22,23,19,29,21,25,20,23,20,29,20
hex,3,25,18,24,18,26,18,28,18,19,18,21,18,22,18
karate,3,9,9,8,8,10,10,10,10,9,9,9,8,16,11
lesmiserables,3,18,17,20,19,26,26,19,19,16,16,20,19,30,27
photoviz_dynamic,3,19,17,29,23,18,18,24,22,22,21,18,15,26,23
planar302,3,13,13,23,21,16,16,13,13,13,13,13,13,25,22
planar350,3,14,14,25,21,18,17,13,13,14,14,14,14,21,20
planar400,3,14,13,28,22,15,15,14,13,12,12,13,13,24,22
planar500,3,12,12,24,19,14,14,13,12,12,12,12,11,15,15
planar600,3,12,11,20,17,12,11,11,11,12,12,11,11,14,13
polbooks,3,29,25,41,29,25,22,28,28,23,23,24,23,32,27
word_adjacencies,3,35,31,48,46,41,37,40,36,30,30,34,30,40,37
bergen,4,21,21,24,24,22,22,22,22,22,22,21,21,27,26
dolphins,4,25,20,24,23,21,17,29,22,21,20,20,20,32,21
football,4,95,73,87,72,63,63,96,74,81,73,57,56,106,70
fvs002,4,17,12,17,15,13,13,14,13,12,12,13,12,18,14
fvs020,4,11,8,9,8,9,8,9,8,9,8,9,8,11,9
