test,rad,random,deg1,deg2,deg3,deg4,deg5,sortdeg1,sortdeg2,sortdeg3,sortdeg4,sortdeg5,felix1,felix2,felix3,felix4,felix5,berlin.bna,berlin.bno,berlin.bni,berlin.dna,berlin.dno,berlin.dni,berlin.bya,berlin.byo,berlin.byi,berlin.dya,berlin.dyo,berlin.dyi
bergen,1,26,10,19,23,23,23,12,13,17,19,19,10,14,17,17,18,12,12,11,12,12,11,13,13,13,13,13,13
dolphins,1,9,5,9,12,12,12,7,7,9,9,9,5,6,7,9,9,8,7,7,8,7,7,8,8,8,8,8,8
football,1,13,9,11,12,13,13,11,12,12,12,12,9,12,13,13,13,12,12,12,12,12,12,12,12,13,12,12,13
fvs002,1,13,4,6,12,12,10,6,5,5,5,5,4,7,5,6,7,5,5,4,5,5,4,5,5,4,5,5,4
fvs020,1,9,3,10,8,4,8,3,4,3,3,4,3,3,3,3,4,3,4,3,3,4,3,3,3,3,3,3,3
fvs033,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
fvs047,1,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
fvs051,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
fvs066,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
fvs097,1,9,6,6,9,9,9,9,6,6,9,9,6,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
fvs099,1,7,4,8,9,9,9,5,5,4,7,7,4,5,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5
fvs100,1,10,6,9,9,9,9,9,6,6,9,9,6,8,10,8,9,9,9,9,9,9,9,9,9,9,9,9,9
hex,1,7,4,5,4,4,5,6,6,6,6,6,4,6,6,6,6,7,7,5,7,7,5,7,7,5,7,7,5
karate,1,18,5,8,17,17,17,6,9,10,9,17,5,6,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5
lesmiserables,1,36,10,35,35,35,35,10,10,10,11,11,10,10,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10
photoviz_dynamic,1,26,5,19,17,18,18,6,10,12,9,11,5,6,9,7,7,8,7,7,8,7,7,9,9,8,9,9,8
planar302,1,46,4,56,56,56,56,6,6,7,7,29,4,10,11,11,11,5,5,4,5,5,4,5,5,4,5,5,4
planar350,1,36,4,26,26,26,38,6,7,9,9,9,4,7,9,9,11,6,6,5,6,6,5,5,5,5,5,5,5
planar400,1,29,4,11,24,24,32,7,7,8,8,8,4,6,10,8,8,5,5,5,5,5,5,5,5,5,5,5,5
planar500,1,31,4,11,12,24,24,6,5,8,8,8,4,6,6,11,11,5,5,4,5,5,4,5,5,5,5,5,5
planar600,1,28,4,34,38,38,38,5,6,7,7,7,4,6,6,5,6,5,5,4,5,5,4,5,5,5,5,5,5
polbooks,1,17,7,17,24,20,24,10,10,12,14,15,7,9,9,11,15,10,10,9,10,10,9,10,12,9,10,12,9
word_adjacencies,1,29,7,42,42,42,42,9,10,10,20,21,7,8,18,24,29,10,10,10,10,10,10,11,11,13,11,11,13
bergen,2,40,22,32,43,44,44,17,23,31,35,35,21,22,25,24,28,21,21,21,21,21,21,20,20,25,20,20,25
dolphins,2,26,20,16,23,25,28,15,14,19,23,23,20,15,16,16,19,17,19,15,17,19,15,18,17,17,19,17,17
football,2,45,51,40,39,44,44,40,38,43,48,48,51,36,49,48,49,50,42,50,50,43,50,43,41,44,42,40,44
fvs002,2,28,8,9,20,21,16,13,8,8,9,8,7,8,8,13,11,10,9,8,10,9,8,8,8,9,8,8,9
fvs020,2,12,6,10,9,7,9,6,7,6,6,5,7,5,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6
fvs033,2,10,9,8,9,8,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9,9,10,9,9
fvs047,2,14,11,11,11,11,12,14,12,11,12,12,11,10,12,14,12,12,14,14,12,13,14,12,13,13,12,14,13
fvs051,2,38,38,36,36,36,36,39,39,39,39,39,40,32,38,38,38,37,35,38,37,35,38,39,33,33,39,32,33
fvs066,2,49,60,59,58,56,56,50,50,50,50,50,62,63,65,58,56,54,51,58,53,52,59,53,53,58,53,52,58
fvs097,2,21,15,15,17,21,20,18,15,15,18,22,15,15,17,20,18,18,19,19,17,19,19,19,20,20,19,20,20
fvs099,2,11,8,10,13,15,16,7,8,10,8,10,10,10,9,8,8,7,7,7,7,7,7,7,7,8,7,7,8
fvs100,2,21,15,14,16,19,18,18,15,15,19,22,15,15,20,15,19,23,21,21,23,21,21,23,22,21,23,22,21
hex,2,17,11,10,10,10,10,14,14,14,14,11,11,11,11,13,13,17,13,13,17,13,13,16,13,13,16,13,13
karate,2,25,11,12,20,20,20,8,12,15,14,22,11,10,15,15,15,8,9,9,8,9,9,10,10,10,10,10,10
lesmiserables,2,62,22,36,49,64,64,14,17,17,23,23,21,17,25,25,25,15,15,15,15,15,15,16,16,16,16,16,16
photoviz_dynamic,2,62,15,21,29,46,49,13,20,24,23,20,14,13,16,17,18,17,16,16,17,16,16,18,20,20,18,20,20
planar302,2,136,10,57,114,153,157,10,11,12,16,34,10,17,19,23,22,11,11,10,11,11,10,10,10,10,10,10,10
planar350,2,95,11,32,52,68,90,10,11,13,14,16,11,12,16,17,23,10,10,10,10,10,10,11,11,11,11,11,11
planar400,2,110,12,20,41,49,94,10,12,15,15,16,13,12,18,15,15,10,10,10,10,10,10,10,11,11,10,11,11
planar500,2,97,10,17,24,42,79,11,10,13,13,14,11,11,11,17,18,10,10,9,10,10,9,11,9,10,11,9,10
planar600,2,73,11,35,74,111,111,9,11,11,11,11,13,11,11,12,13,9,9,9,9,9,9,10,10,9,10,10,9
polbooks,2,37,23,28,50,39,49,22,20,25,28,26,24,21,21,23,24,21,20,20,21,20,20,22,28,25,22,28,25
word_adjacencies,2,75,26,48,72,81,81,25,31,32,45,48,25,25,32,43,51,32,32,32,32,32,32,37,37,40,36,36,40
bergen,3,43,26,36,44,46,46,20,27,32,37,37,25,24,27,25,29,23,23,24,23,23,24,26,26,29,26,26,29
dolphins,3,39,29,26,27,31,34,22,23,25,29,29,29,23,20,26,24,26,26,22,26,26,22,28,25,23,28,26,23
football,3,82,107,88,77,91,91,87,64,68,89,89,101,87,90,93,92,78,77,98,78,78,97,76,80,89,77,81,90
fvs002,3,44,10,13,20,24,17,15,10,11,12,11,11,10,10,16,15,13,11,12,13,11,12,13,12,13,13,12,13
