test,rad,sortdeg1.lsR
bergen,1,10
dolphins,1,5
football,1,9
fvs002,1,4
fvs020,1,3
fvs033,1,4
fvs047,1,4
fvs051,1,8
fvs066,1,10
fvs097,1,6
fvs099,1,4
fvs100,1,6
hex,1,4
karate,1,5
lesmiserables,1,10
photoviz_dynamic,1,5
planar302,1,4
planar350,1,4
planar400,1,4
planar500,1,4
planar600,1,4
polbooks,1,7
word_adjacencies,1,7
bergen,2,17
dolphins,2,11
football,2,27
fvs002,2,7
fvs020,2,5
fvs033,2,7
fvs047,2,8
fvs051,2,25
fvs066,2,55
fvs097,2,12
fvs099,2,7
fvs100,2,12
hex,2,11
karate,2,8
lesmiserables,2,15
photoviz_dynamic,2,12
planar302,2,10
planar350,2,9
planar400,2,9
planar500,2,9
planar600,2,8
polbooks,2,18
word_adjacencies,2,22
bergen,3,20
dolphins,3,16
football,3,52
fvs002,3,9
fvs020,3,6
fvs033,3,11
fvs047,3,15
fvs051,3,32
fvs066,3,67
fvs097,3,20
fvs099,3,9
fvs100,3,20
hex,3,18
karate,3,8
lesmiserables,3,19
photoviz_dynamic,3,15
planar302,3,13
planar350,3,14
planar400,3,13
planar500,3,11
planar600,3,11
polbooks,3,23
word_adjacencies,3,30
bergen,4,21
dolphins,4,20
football,4,56
fvs002,4,12
fvs020,4,8
fvs033,4,16
fvs047,4,20
fvs051,4,32
fvs066,4,80
fvs097,4,27
fvs099,4,9
fvs100,4,26
hex,4,26
karate,4,8
lesmiserables,4,20
photoviz_dynamic,4,22
planar302,4,15
planar350,4,15
planar400,4,15
planar500,4,13
planar600,4,13
polbooks,4,27
word_adjacencies,4,35
bergen,5,21
dolphins,5,21
football,5,61
fvs002,5,16
fvs020,5,8
fvs033,5,25
fvs047,5,23
fvs051,5,33
fvs066,5,81
fvs097,5,31
fvs099,5,9
fvs100,5,32
hex,5,36
karate,5,8
lesmiserables,5,23
photoviz_dynamic,5,24
planar302,5,15
planar350,5,17
planar400,5,17
planar500,5,15
planar600,5,14
polbooks,5,30
word_adjacencies,5,37
