test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,WReachR_wcol,WReachR_time,SReach_wcol,SReachR_time,felixR_wcol,felixR_time
bergen,2,17,0:00.01 ,24,0:00.08 ,21,0:00.00 ,19,0:00.00 ,17,0:00.00 ,19,0:00.00 ,22,0:00.15 
dolphins,2,15,0:00.00 ,17,0:00.08 ,13,0:00.00 ,17,0:00.00 ,10,0:00.01 ,13,0:00.00 ,15,0:00.15 
football,2,40,0:00.00 ,47,0:00.13 ,33,0:00.05 ,48,0:00.00 ,34,0:00.00 ,37,0:00.01 ,36,0:00.22 
fvs002,2,13,0:00.00 ,13,0:00.30 ,8,0:00.00 ,9,0:00.01 ,6,0:00.00 ,7,0:00.02 ,8,0:00.21 
fvs020,2,6,0:00.00 ,6,0:00.08 ,5,0:00.00 ,6,0:00.00 ,5,0:00.01 ,5,0:00.00 ,5,0:00.17 
fvs033,2,10,0:00.00 ,8,0:03.87 ,9,0:00.24 ,10,0:00.01 ,7,0:00.00 ,9,0:00.07 ,9,0:00.29 
fvs047,2,14,0:00.00 ,10,0:00.11 ,10,0:00.01 ,12,0:00.00 ,10,0:00.00 ,11,0:00.01 ,10,0:00.14 
fvs051,2,39,0:00.01 ,29,0:00.09 ,27,0:00.02 ,37,0:00.01 ,25,0:00.01 ,34,0:00.01 ,32,0:00.17 
fvs066,2,50,0:00.01 ,59,0:00.18 ,50,0:00.06 ,54,0:00.00 ,59,0:00.00 ,68,0:00.01 ,63,0:00.30 
fvs097,2,18,0:00.00 ,15,0:00.11 ,16,0:00.03 ,18,0:00.00 ,14,0:00.01 ,14,0:00.02 ,15,0:00.16 
fvs099,2,7,0:00.00 ,9,0:00.09 ,8,0:00.00 ,7,0:00.00 ,7,0:00.00 ,8,0:00.00 ,10,0:00.14 
fvs100,2,18,0:00.00 ,18,0:00.26 ,17,0:00.01 ,22,0:00.00 ,15,0:00.00 ,14,0:00.01 ,15,0:00.18 
hex,2,14,0:00.00 ,12,0:00.72 ,14,0:00.04 ,17,0:00.00 ,10,0:00.02 ,11,0:00.04 ,11,0:00.23 
karate,2,8,0:00.00 ,7,0:00.09 ,9,0:00.00 ,8,0:00.00 ,8,0:00.00 ,9,0:00.00 ,10,0:00.12 
lesmiserables,2,14,0:00.00 ,18,0:00.08 ,21,0:00.01 ,15,0:00.01 ,16,0:00.00 ,15,0:00.00 ,17,0:00.15 
photoviz_dynamic,2,13,0:00.00 ,18,0:00.33 ,14,0:00.01 ,15,0:00.00 ,17,0:00.00 ,13,0:00.01 ,13,0:00.20 
planar302,2,10,0:00.00 ,18,0:00.29 ,10,0:00.00 ,11,0:00.00 ,10,0:00.01 ,10,0:00.01 ,17,0:00.18 
planar350,2,10,0:00.01 ,17,0:00.23 ,10,0:00.02 ,10,0:00.02 ,12,0:00.02 ,10,0:00.03 ,12,0:00.18 
planar400,2,10,0:00.01 ,19,0:00.41 ,10,0:00.00 ,9,0:00.01 ,9,0:00.01 ,9,0:00.02 ,12,0:00.20 
planar500,2,11,0:00.01 ,16,0:00.30 ,9,0:00.00 ,9,0:00.00 ,9,0:00.01 ,9,0:00.05 ,11,0:00.19 
planar600,2,9,0:00.01 ,16,0:00.57 ,9,0:00.00 ,9,0:00.01 ,8,0:00.00 ,9,0:00.03 ,11,0:00.20 
polbooks,2,22,0:00.00 ,29,0:00.11 ,18,0:00.00 ,21,0:00.00 ,20,0:00.01 ,19,0:00.00 ,21,0:00.18 
word_adjacencies,2,25,0:00.00 ,42,0:00.10 ,36,0:00.01 ,30,0:00.00 ,20,0:00.00 ,25,0:00.01 ,25,0:00.18 
bergen,3,20,0:00.01 ,24,0:00.08 ,21,0:00.00 ,21,0:00.00 ,20,0:00.01 ,20,0:00.00 ,27,0:00.16 
dolphins,3,22,0:00.00 ,24,0:00.08 ,16,0:00.00 ,26,0:00.00 ,16,0:00.00 ,18,0:00.01 ,20,0:00.15 
football,3,87,0:00.00 ,85,0:00.13 ,59,0:00.05 ,78,0:00.00 ,64,0:00.00 ,59,0:00.01 ,90,0:00.33 
