test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_tree_shrink.forb,mix_tree_shrink.scat,mix_tree_shrink.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
bergen,1,0,3,3,0,5,5,0,4,4,0,9,9,0,9,9,0,9,9,0,9,9
dolphins,1,0,6,6,0,10,10,0,7,7,0,10,10,0,10,10,0,10,10,0,10,10
football,1,0,7,7,0,11,11,0,6,6,0,11,11,0,11,11,0,11,11,0,11,11
fvs002,1,0,56,56,0,71,71,0,58,58,0,74,74,0,74,74,0,74,74,0,74,74
fvs020,1,0,9,9,0,12,12,0,10,10,0,12,12,0,12,12,0,12,12,0,12,12
fvs033,1,0,89,89,0,93,93,0,84,84,0,96,96,0,96,96,0,96,96,0,96,96
fvs047,1,0,9,9,0,10,10,0,10,10,0,11,11,0,11,11,0,11,11,0,11,11
fvs051,1,0,7,7,0,8,8,0,6,6,0,8,8,0,8,8,0,8,8,0,8,8
fvs066,1,0,11,11,0,15,15,0,10,10,0,17,17,0,17,17,0,17,17,0,17,17
fvs097,1,0,10,10,0,12,12,0,10,10,0,12,12,0,12,12,0,12,12,0,12,12
fvs099,1,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6,0,6,6
fvs100,1,0,17,17,0,20,20,0,17,17,0,23,23,0,23,23,0,23,23,0,23,23
hex,1,0,39,39,0,47,47,0,39,39,0,47,47,0,47,47,0,47,47,0,47,47
karate,1,0,2,2,0,4,4,0,3,3,0,4,4,0,4,4,0,4,4,0,4,4
lesmiserables,1,0,5,5,0,12,12,0,7,7,0,12,12,0,12,12,0,12,12,0,12,12
photoviz_dynamic,1,0,31,31,0,50,50,0,33,33,0,62,62,0,62,62,0,62,62,0,62,62
planar302,1,0,14,14,0,38,38,0,17,17,0,45,45,0,45,45,0,45,45,0,45,45
planar350,1,0,20,20,0,43,43,0,25,25,0,50,50,0,50,50,0,50,50,0,50,50
planar400,1,0,28,28,0,58,58,0,32,32,0,63,63,0,63,63,0,63,63,0,63,63
planar500,1,0,35,35,0,66,66,0,43,43,0,77,77,0,77,77,0,77,77,0,77,77
planar600,1,0,55,55,0,85,85,0,61,61,0,90,90,0,90,90,0,90,90,0,90,90
polbooks,1,0,5,5,0,8,8,0,6,6,0,12,12,0,12,12,0,12,12,0,12,12
word_adjacencies,1,0,4,4,0,8,8,0,7,7,0,14,14,0,14,14,0,14,14,0,14,14
bergen,2,2,3,3,2,3,3,12,8,1,0,3,3,0,3,3,0,3,3,0,3,3
