test,dis,TGV.forb_bef,TGV.forb_aft,TGV.scat,TGV2.forb_bef,TGV2.forb_aft,TGV2.scat,MFCS.forb_bef,MFCS.forb_aft,MFCS.scat
bergen.txtg,1,0,0,3,0,0,9,22,0,12
dolphins.txtg,1,0,0,13,0,0,19,0,0,15
football.txtg,1,0,0,14,0,0,16,0,0,9
fvs002.txtg,1,0,0,125,0,0,173,0,0,125
fvs020.txtg,1,0,0,22,0,0,26,0,0,19
fvs033.txtg,1,0,0,220,0,0,230,0,0,156
fvs047.txtg,1,1,0,26,0,0,27,0,0,16
fvs051.txtg,1,0,0,11,0,0,11,7,0,6
fvs066.txtg,1,1,0,27,0,0,32,0,0,16
fvs097.txtg,1,0,0,16,0,0,19,0,0,13
fvs099.txtg,1,0,0,11,0,0,13,0,0,11
fvs100.txtg,1,0,0,32,0,0,33,0,0,27
hex.txtg,1,0,0,78,0,0,81,0,0,72
karate.txtg,1,1,0,7,1,0,8,7,0,11
lesmiserables.txtg,1,0,0,9,0,0,23,10,0,19
photoviz_dynamic.txtg,1,0,0,54,0,0,73,0,0,56
planar302.txtg,1,0,0,28,0,0,68,0,0,29
planar350.txtg,1,0,0,40,0,0,96,0,0,51
planar400.txtg,1,0,0,58,0,0,114,3,0,71
planar500.txtg,1,0,0,87,0,0,168,0,0,111
planar600.txtg,1,0,0,119,0,0,218,0,0,143
polbooks.txtg,1,0,0,10,0,0,24,7,0,8
word_adjacencies.txtg,1,0,0,14,0,0,36,0,0,17
bergen.txtg,2,13,11,5,4,0,3,31,18,22
dolphins.txtg,2,0,0,5,0,0,6,26,12,14
football.txtg,2,0,0,3,0,0,5,100,30,13
fvs002.txtg,2,0,0,55,0,0,78,0,0,63
fvs020.txtg,2,0,0,9,0,0,12,0,0,11
fvs033.txtg,2,0,0,102,0,0,111,0,0,67
fvs047.txtg,2,0,0,9,0,0,11,8,0,7
fvs051.txtg,2,4,1,3,0,0,1,45,8,5
fvs066.txtg,2,0,0,3,0,0,4,132,25,14
fvs097.txtg,2,0,0,7,0,0,8,0,0,6
fvs099.txtg,2,0,0,6,0,0,7,10,2,7
fvs100.txtg,2,0,0,16,0,0,16,0,0,11
hex.txtg,2,0,0,30,0,0,38,9,0,26
karate.txtg,2,1,1,4,0,0,2,14,7,13
lesmiserables.txtg,2,1,1,8,1,0,6,40,19,34
photoviz_dynamic.txtg,2,0,0,35,0,0,44,0,0,40
