test,rad,TGV.forb,TGV.scat,TGV.score,TGV2.forb,TGV2.scat,TGV2.score,MFCS.forb,MFCS.scat,MFCS.score,mix_tree.forb,mix_tree.scat,mix_tree.score,mix_ldit.forb,mix_ldit.scat,mix_ldit.score,mix_ldpow.forb,mix_ldpow.scat,mix_ldpow.score
bergen,1,0,3,3,0,9,9,22,12,2,0,23,23,0,23,23,0,23,23
dolphins,1,0,13,13,0,19,19,0,15,15,0,27,27,0,27,27,0,27,27
football,1,0,14,14,0,16,16,0,9,9,0,20,20,0,20,20,0,20,20
fvs002,1,0,125,125,0,173,173,0,125,125,0,257,257,0,257,257,0,257,257
fvs020,1,0,22,22,0,26,26,0,19,19,0,43,43,0,43,43,0,43,43
fvs033,1,0,220,220,0,230,230,0,156,156,0,268,268,0,268,268,0,268,268
fvs047,1,1,26,22,0,27,27,0,16,16,0,34,34,0,34,34,0,34,34
fvs051,1,0,11,11,0,11,11,7,6,1,0,15,15,0,15,15,0,15,15
fvs066,1,1,27,24,0,32,32,0,16,16,0,73,73,0,73,73,0,73,73
fvs097,1,0,16,16,0,19,19,0,13,13,0,24,24,0,24,24,0,24,24
fvs099,1,0,11,11,0,13,13,0,11,11,0,17,17,0,17,17,0,17,17
fvs100,1,0,32,32,0,33,33,0,27,27,0,48,48,0,48,48,0,48,48
hex,1,0,78,78,0,81,81,0,72,72,0,91,91,0,91,91,0,91,91
karate,1,1,7,6,1,8,7,7,11,5,0,20,20,0,20,20,0,20,20
lesmiserables,1,0,9,9,0,23,23,10,19,6,0,35,35,0,35,35,0,35,35
photoviz_dynamic,1,0,54,54,0,73,73,0,56,56,0,264,264,0,264,264,0,264,264
planar302,1,0,28,28,0,68,68,0,29,29,0,134,134,0,134,134,0,134,134
planar350,1,0,40,40,0,96,96,0,51,51,0,165,165,0,165,165,0,165,165
planar400,1,0,58,58,0,114,114,3,71,68,0,201,201,0,201,201,0,201,201
planar500,1,0,87,87,0,168,168,0,111,111,0,268,268,0,268,268,0,268,268
planar600,1,0,119,119,0,218,218,0,143,143,0,320,320,0,320,320,0,320,320
polbooks,1,0,10,10,0,24,24,7,8,3,0,42,42,0,42,42,0,42,42
