\multirow{16}{*}{2},\multirow{8}{*}{100},MFCS,267,670,362,0:00.08
,,TGV,6,412,407,0:00.68
,,TGV2,5,603,598,0:00.63
,,TGV3,4,927,923,0:27.15
,,tree,3,741,736,0:00.07
,,tree_shrink,3,737,737,0:00.03
,,ldit,3,764,759,0:00.07
,,ldpow,5,928,921,0:00.22
,\multirow{8}{*}{20},MFCS,95,327,206,0:00.01
,,TGV,11,233,229,0:00.46
,,TGV2,9,365,359,0:00.44
,,TGV3,3,466,465,0:04.91
,,tree,2,413,411,0:00.00
,,tree_shrink,2,412,412,0:00.00
,,ldit,1,424,424,0:00.02
,,ldpow,3,465,464,0:00.09
\multirow{16}{*}{3},\multirow{8}{*}{100},MFCS,791,1161,149,0:00.07
,,TGV,15,220,213,0:01.45
,,TGV2,19,339,328,0:01.30
,,TGV3,7,574,566,0:50.31
,,tree,2,493,490,0:00.09
,,tree_shrink,2,491,491,0:00.04
,,ldit,2,503,500,0:00.09
,,ldpow,5,575,565,0:00.33
,\multirow{8}{*}{20},MFCS,250,365,114,0:00.01
,,TGV,20,135,127,0:01.14
,,TGV2,15,206,198,0:00.98
,,TGV3,7,306,302,0:09.58
,,tree,1,262,260,0:00.03
,,tree_shrink,1,261,261,0:00.03
,,ldit,0,264,264,0:00.01
,,ldpow,1,302,300,0:00.14
\multirow{16}{*}{4},\multirow{8}{*}{100},MFCS,1069,1418,104,0:00.09
,,TGV,53,158,136,0:02.25
,,TGV2,43,207,189,0:02.19
,,TGV3,24,366,343,1:11.02
,,tree,3,245,243,0:00.11
,,tree_shrink,3,243,243,0:00.07
,,ldit,3,267,264,0:00.07
,,ldpow,15,356,340,0:00.49
,\multirow{8}{*}{20},MFCS,435,436,54,0:00.05
,,TGV,24,96,85,0:01.80
,,TGV2,17,141,131,0:01.80
,,TGV3,19,205,201,0:14.82
,,tree,3,153,152,0:00.02
,,tree_shrink,3,152,152,0:00.01
,,ldit,1,162,162,0:00.02
,,ldpow,7,203,201,0:00.18
\multirow{16}{*}{5},\multirow{8}{*}{100},MFCS,1276,1599,69,0:00.10
,,TGV,23,111,95,0:02.86
,,TGV2,28,151,130,0:02.74
,,TGV3,26,245,225,1:25.70
,,tree,3,173,172,0:00.09
,,tree_shrink,3,172,172,0:00.08
,,ldit,3,185,183,0:00.08
,,ldpow,13,237,224,0:00.68
,\multirow{8}{*}{20},MFCS,553,489,37,0:00.04
,,TGV,47,76,67,0:02.23
,,TGV2,43,107,98,0:02.14
,,TGV3,40,166,143,0:19.57
,,tree,1,106,105,0:00.00
,,tree_shrink,1,105,105,0:00.00
,,ldit,1,118,118,0:00.02
,,ldpow,7,143,141,0:00.24
