avg_improvement,sortdeg1,td,fill-in,berlin.sna,felixR
all,18.3%,nan%,24.3%,24.4%,nan%
2,22.8%,nan%,41.3%,28.0%,12.2%
3,19.7%,nan%,29.1%,28.4%,16.5%
4,17.0%,nan%,18.5%,22.6%,nan%
5,13.8%,nan%,8.3%,18.5%,nan%

avg_logs,sortdeg1,td,fill-in,berlin.sna,felixR
all,4.264,nan,4.441,4.406,nan
2,3.284,nan,3.402,3.366,3.349
3,4.111,nan,4.325,4.222,4.281
4,4.667,nan,4.878,4.843,nan
5,4.993,nan,5.160,5.191,nan

progs_apx_ratio,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,felixR_LS
all,1.025,nan,1.243,1.190,nan
2,1.045,nan,1.201,1.142,1.120
3,1.015,nan,1.290,1.140,1.218
4,1.017,nan,1.270,1.223,nan
5,1.022,nan,1.212,1.257,nan

progs_win_score,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,felixR_LS
all,56.117,0.783,12.533,9.783,8.783
2,8.117,0.783,5.033,2.283,5.783
3,15.500,0.000,1.500,2.000,3.000
4,15.500,0.000,3.000,3.500,0.000
5,17.000,0.000,3.000,2.000,0.000
