test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
as20000102,2,42,0:00.10 ,-1,TIMEOUT,84,0:00.81 ,43,0:00.53 ,40,0:03.80 
cl-12-0,2,56,0:00.09 ,-1,TIMEOUT,153,0:58.12 ,89,0:00.11 ,47,0:13.75 
cl-12-1,2,57,0:00.08 ,-1,TIMEOUT,185,0:57.87 ,86,0:00.20 ,48,0:17.78 
clh-12-0,2,45,0:00.14 ,-1,TIMEOUT,155,0:26.64 ,63,0:00.15 ,36,0:08.37 
clh-12-1,2,49,0:00.10 ,-1,TIMEOUT,152,0:25.66 ,63,0:00.17 ,37,0:07.28 
cond-mat,2,54,0:00.33 ,-1,TIMEOUT,-1,TIMEOUT,66,0:03.25 ,48,0:06.50 
fvs001,2,48,0:00.12 ,-1,RTE,84,0:01.19 ,49,0:00.39 ,36,0:01.67 
fvs022,2,65,0:00.19 ,-1,TIMEOUT,107,0:01.94 ,76,0:01.81 ,63,0:04.23 
fvs040,2,50,0:00.12 ,-1,TIMEOUT,102,0:01.83 ,67,0:01.64 ,56,0:03.34 
fvs045,2,10,0:00.16 ,-1,TIMEOUT,9,0:07.28 ,10,0:01.17 ,8,0:02.26 
fvs074,2,55,0:00.16 ,-1,TIMEOUT,104,0:02.05 ,81,0:01.46 ,67,0:03.67 
fvs080,2,38,0:00.09 ,-1,TIMEOUT,76,0:00.56 ,41,0:00.38 ,39,0:01.80 
hep-th,2,45,0:00.13 ,-1,RTE,91,0:06.96 ,49,0:00.69 ,31,0:02.47 
p2p-Gnutella04,2,83,0:00.31 ,-1,TIMEOUT,-1,TIMEOUT,117,0:00.80 ,-1,TIMEOUT
planar10000,2,12,0:00.16 ,-1,TIMEOUT,10,0:00.30 ,11,0:00.98 ,14,0:02.31 
planar12000,2,11,0:00.18 ,-1,TIMEOUT,10,0:00.38 ,11,0:01.29 ,12,0:01.89 
planar15000,2,11,0:00.20 ,-1,RTE,9,0:00.34 ,10,0:02.02 ,11,0:02.01 
planar7002,2,14,0:00.17 ,-1,TIMEOUT,10,0:00.22 ,14,0:00.78 ,15,0:01.32 
planar8500,2,12,0:00.17 ,-1,TIMEOUT,10,0:00.29 ,13,0:00.97 ,13,0:01.75 
polblogs,2,200,0:00.06 ,415,0:26.42 ,304,0:08.46 ,277,0:00.09 ,267,0:04.44 
sb-12-0,2,30,0:00.13 ,-1,TIMEOUT,-1,TIMEOUT,44,0:00.11 ,25,0:08.83 
sb-12-1,2,31,0:00.11 ,-1,TIMEOUT,-1,TIMEOUT,41,0:00.09 ,24,0:10.28 
as20000102,3,62,0:00.10 ,-1,TIMEOUT,96,0:00.81 ,65,0:00.53 ,84,0:03.98 
cl-12-0,3,241,0:00.09 ,-1,TIMEOUT,616,0:58.12 ,422,0:00.11 ,276,0:52.31 
cl-12-1,3,240,0:00.08 ,-1,TIMEOUT,626,0:57.87 ,430,0:00.20 ,266,0:57.35 
clh-12-0,3,172,0:00.14 ,-1,TIMEOUT,525,0:26.64 ,263,0:00.15 ,163,0:24.55 
clh-12-1,3,166,0:00.10 ,-1,TIMEOUT,483,0:25.66 ,283,0:00.17 ,155,0:18.59 
cond-mat,3,168,0:00.33 ,-1,TIMEOUT,-1,TIMEOUT,197,0:03.25 ,137,0:25.33 
fvs001,3,85,0:00.12 ,-1,RTE,97,0:01.19 ,108,0:00.39 ,89,0:05.28 
fvs022,3,93,0:00.19 ,-1,TIMEOUT,125,0:01.94 ,118,0:01.81 ,108,0:08.18 
fvs040,3,79,0:00.12 ,-1,TIMEOUT,122,0:01.83 ,103,0:01.64 ,104,0:06.20 
fvs045,3,19,0:00.16 ,-1,TIMEOUT,13,0:07.28 ,19,0:01.17 ,15,0:04.20 
fvs074,3,85,0:00.16 ,-1,TIMEOUT,120,0:02.05 ,111,0:01.46 ,108,0:07.77 
fvs080,3,55,0:00.09 ,-1,TIMEOUT,85,0:00.56 ,64,0:00.38 ,65,0:03.30 
hep-th,3,127,0:00.13 ,-1,RTE,223,0:06.96 ,137,0:00.69 ,89,0:05.69 
p2p-Gnutella04,3,424,0:00.31 ,-1,TIMEOUT,-1,TIMEOUT,783,0:00.80 ,-1,TIMEOUT
planar10000,3,17,0:00.16 ,-1,TIMEOUT,17,0:00.30 ,17,0:00.98 ,25,0:02.73 
planar12000,3,17,0:00.18 ,-1,TIMEOUT,15,0:00.38 ,16,0:01.29 ,24,0:03.15 
planar15000,3,15,0:00.20 ,-1,RTE,14,0:00.34 ,15,0:02.02 ,20,0:03.81 
planar7002,3,19,0:00.17 ,-1,TIMEOUT,19,0:00.22 ,20,0:00.78 ,31,0:02.09 
planar8500,3,18,0:00.17 ,-1,TIMEOUT,18,0:00.29 ,17,0:00.97 ,25,0:02.39 
polblogs,3,312,0:00.06 ,449,0:26.42 ,345,0:08.46 ,419,0:00.09 ,453,0:08.73 
sb-12-0,3,116,0:00.13 ,-1,TIMEOUT,-1,TIMEOUT,200,0:00.11 ,-1,TIMEOUT
sb-12-1,3,109,0:00.11 ,-1,TIMEOUT,-1,TIMEOUT,192,0:00.09 ,-1,TIMEOUT
as20000102,4,87,0:00.10 ,-1,TIMEOUT,99,0:00.81 ,92,0:00.53 ,126,0:18.17 
cl-12-0,4,510,0:00.09 ,-1,TIMEOUT,820,0:58.12 ,930,0:00.11 ,-1,TIMEOUT
cl-12-1,4,510,0:00.08 ,-1,TIMEOUT,837,0:57.87 ,929,0:00.20 ,-1,TIMEOUT
clh-12-0,4,350,0:00.14 ,-1,TIMEOUT,637,0:26.64 ,549,0:00.15 ,427,0:37.73 
clh-12-1,4,322,0:00.10 ,-1,TIMEOUT,623,0:25.66 ,529,0:00.17 ,486,0:34.13 
cond-mat,4,387,0:00.33 ,-1,TIMEOUT,-1,TIMEOUT,457,0:03.25 ,-1,TIMEOUT
fvs001,4,144,0:00.12 ,-1,RTE,112,0:01.19 ,190,0:00.39 ,331,0:12.35 
fvs022,4,117,0:00.19 ,-1,TIMEOUT,131,0:01.94 ,144,0:01.81 ,172,0:17.71 
fvs040,4,105,0:00.12 ,-1,TIMEOUT,126,0:01.83 ,137,0:01.64 ,186,0:13.61 
