test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
ca-CondMat,2,126,0:00.95 ,-1,RTE,-1,TIMEOUT,161,0:07.22 ,111,0:48.55 
ca-HepPh,2,389,0:01.00 ,-1,RTE,-1,TIMEOUT,377,0:03.13 ,609,0:38.70 
cit-HepPh,2,545,0:02.61 ,-1,TIMEOUT,-1,TIMEOUT,759,0:07.30 ,-1,TIMEOUT
cit-HepTh,2,589,0:02.23 ,-1,TIMEOUT,-1,TIMEOUT,875,0:05.19 ,-1,TIMEOUT
cl-14-0,2,58,0:00.28 ,-1,TIMEOUT,-1,TIMEOUT,107,0:01.17 ,-1,TIMEOUT
clh-14-0,2,53,0:00.22 ,-1,TIMEOUT,-1,TIMEOUT,84,0:01.58 ,40,0:58.40 
email-Enron,2,459,0:01.73 ,-1,TIMEOUT,-1,TIMEOUT,636,0:17.71 ,-1,TIMEOUT
fvs037,2,193,0:00.47 ,-1,TIMEOUT,193,0:24.46 ,978,0:04.71 ,1671,0:29.54 
fvs041,2,151,0:00.43 ,-1,TIMEOUT,133,0:01.10 ,140,0:04.75 ,194,0:11.83 
loc-brightkite_edges,2,315,0:03.19 ,-1,TIMEOUT,-1,TIMEOUT,490,0:32.24 ,-1,TIMEOUT
planar50002,2,16,0:00.86 ,-1,TIMEOUT,10,0:01.73 ,14,0:30.34 ,16,0:11.57 
planar70000,2,14,0:01.47 ,-1,TIMEOUT,10,0:02.16 ,13,0:55.07 ,15,0:17.48 
sb-14-0,2,36,0:00.51 ,-1,TIMEOUT,-1,TIMEOUT,50,0:00.88 ,25,0:47.32 
soc-Epinions1,2,1079,0:03.47 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,2,1107,0:03.84 ,-1,TIMEOUT,-1,TIMEOUT,1950,0:56.19 ,-1,TIMEOUT
twittercrawl,2,947,0:00.65 ,-1,TIMEOUT,-1,TIMEOUT,843,0:00.78 ,-1,TIMEOUT
ca-CondMat,3,447,0:00.95 ,-1,RTE,-1,TIMEOUT,563,0:07.22 ,-1,TIMEOUT
ca-HepPh,3,733,0:01.00 ,-1,RTE,-1,TIMEOUT,838,0:03.13 ,-1,TIMEOUT
cit-HepPh,3,2292,0:02.61 ,-1,TIMEOUT,-1,TIMEOUT,3253,0:07.30 ,-1,TIMEOUT
cit-HepTh,3,2359,0:02.23 ,-1,TIMEOUT,-1,TIMEOUT,3102,0:05.19 ,-1,TIMEOUT
cl-14-0,3,364,0:00.28 ,-1,TIMEOUT,-1,TIMEOUT,674,0:01.17 ,-1,TIMEOUT
clh-14-0,3,268,0:00.22 ,-1,TIMEOUT,-1,TIMEOUT,463,0:01.58 ,-1,TIMEOUT
email-Enron,3,1056,0:01.73 ,-1,TIMEOUT,-1,TIMEOUT,1432,0:17.71 ,-1,TIMEOUT
fvs037,3,195,0:00.47 ,-1,TIMEOUT,195,0:24.46 ,2600,0:04.71 ,-1,TIMEOUT
fvs041,3,155,0:00.43 ,-1,TIMEOUT,145,0:01.10 ,146,0:04.75 ,236,0:30.54 
loc-brightkite_edges,3,1085,0:03.19 ,-1,TIMEOUT,-1,TIMEOUT,1711,0:32.24 ,-1,TIMEOUT
planar50002,3,21,0:00.86 ,-1,TIMEOUT,20,0:01.73 ,20,0:30.34 ,37,0:17.71 
planar70000,3,19,0:01.47 ,-1,TIMEOUT,18,0:02.16 ,20,0:55.07 ,28,0:26.16 
sb-14-0,3,128,0:00.51 ,-1,TIMEOUT,-1,TIMEOUT,228,0:00.88 ,-1,TIMEOUT
soc-Epinions1,3,2478,0:03.47 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,3,3002,0:03.84 ,-1,TIMEOUT,-1,TIMEOUT,5429,0:56.19 ,-1,TIMEOUT
twittercrawl,3,1153,0:00.65 ,-1,TIMEOUT,-1,TIMEOUT,1233,0:00.78 ,-1,TIMEOUT
ca-CondMat,4,947,0:00.95 ,-1,RTE,-1,TIMEOUT,1248,0:07.22 ,-1,TIMEOUT
ca-HepPh,4,1207,0:01.00 ,-1,RTE,-1,TIMEOUT,1381,0:03.13 ,-1,TIMEOUT
cit-HepPh,4,5204,0:02.61 ,-1,TIMEOUT,-1,TIMEOUT,6853,0:07.30 ,-1,TIMEOUT
cit-HepTh,4,4676,0:02.23 ,-1,TIMEOUT,-1,TIMEOUT,5602,0:05.19 ,-1,TIMEOUT
cl-14-0,4,1219,0:00.28 ,-1,TIMEOUT,-1,TIMEOUT,2273,0:01.17 ,-1,TIMEOUT
clh-14-0,4,766,0:00.22 ,-1,TIMEOUT,-1,TIMEOUT,1394,0:01.58 ,-1,TIMEOUT
email-Enron,4,1602,0:01.73 ,-1,TIMEOUT,-1,TIMEOUT,2118,0:17.71 ,-1,TIMEOUT
fvs037,4,195,0:00.47 ,-1,TIMEOUT,195,0:24.46 ,2601,0:04.71 ,-1,TIMEOUT
fvs041,4,161,0:00.43 ,-1,TIMEOUT,147,0:01.10 ,151,0:04.75 ,230,0:41.82 
loc-brightkite_edges,4,2177,0:03.19 ,-1,TIMEOUT,-1,TIMEOUT,3224,0:32.24 ,-1,TIMEOUT
planar50002,4,25,0:00.86 ,-1,TIMEOUT,28,0:01.73 ,24,0:30.34 ,76,0:22.22 
planar70000,4,28,0:01.47 ,-1,TIMEOUT,25,0:02.16 ,26,0:55.07 ,39,0:37.26 
sb-14-0,4,505,0:00.51 ,-1,TIMEOUT,-1,TIMEOUT,984,0:00.88 ,-1,TIMEOUT
soc-Epinions1,4,3463,0:03.47 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,4,4740,0:03.84 ,-1,TIMEOUT,-1,TIMEOUT,7827,0:56.19 ,-1,TIMEOUT
twittercrawl,4,1342,0:00.65 ,-1,TIMEOUT,-1,TIMEOUT,1344,0:00.78 ,-1,TIMEOUT
ca-CondMat,5,1465,0:00.95 ,-1,RTE,-1,TIMEOUT,1945,0:07.22 ,-1,TIMEOUT
ca-HepPh,5,1493,0:01.00 ,-1,RTE,-1,TIMEOUT,1776,0:03.13 ,-1,TIMEOUT
cit-HepPh,5,8294,0:02.61 ,-1,TIMEOUT,-1,TIMEOUT,10150,0:07.30 ,-1,TIMEOUT
cit-HepTh,5,6826,0:02.23 ,-1,TIMEOUT,-1,TIMEOUT,8052,0:05.19 ,-1,TIMEOUT
cl-14-0,5,2025,0:00.28 ,-1,TIMEOUT,-1,TIMEOUT,3701,0:01.17 ,-1,TIMEOUT
clh-14-0,5,1468,0:00.22 ,-1,TIMEOUT,-1,TIMEOUT,2398,0:01.58 ,-1,TIMEOUT
email-Enron,5,1983,0:01.73 ,-1,TIMEOUT,-1,TIMEOUT,2579,0:17.71 ,-1,TIMEOUT
fvs037,5,195,0:00.47 ,-1,TIMEOUT,195,0:24.46 ,2601,0:04.71 ,-1,TIMEOUT
fvs041,5,164,0:00.43 ,-1,TIMEOUT,147,0:01.10 ,154,0:04.75 ,217,0:45.04 
loc-brightkite_edges,5,3304,0:03.19 ,-1,TIMEOUT,-1,TIMEOUT,4710,0:32.24 ,-1,TIMEOUT
planar50002,5,29,0:00.86 ,-1,TIMEOUT,33,0:01.73 ,28,0:30.34 ,94,0:23.92 
planar70000,5,29,0:01.47 ,-1,TIMEOUT,31,0:02.16 ,28,0:55.07 ,64,0:49.56 
sb-14-0,5,1618,0:00.51 ,-1,TIMEOUT,-1,TIMEOUT,3122,0:00.88 ,-1,TIMEOUT
soc-Epinions1,5,4347,0:03.47 ,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT,-1,TIMEOUT
soc-Slashdot0811,5,6065,0:03.84 ,-1,TIMEOUT,-1,TIMEOUT,9607,0:56.19 ,-1,TIMEOUT
twittercrawl,5,1475,0:00.65 ,-1,TIMEOUT,-1,TIMEOUT,1406,0:00.78 ,-1,TIMEOUT
