avg_improvement,sortdeg1,td,fill-in,berlin.sna,felixR
all,17.1%,30.9%,15.3%,21.4%,13.9%
2,20.6%,44.4%,26.4%,24.4%,11.4%
3,16.7%,34.7%,19.2%,24.4%,15.3%
4,16.1%,26.2%,11.1%,20.0%,14.1%
5,15.0%,18.5%,4.6%,16.8%,14.8%

avg_logs,sortdeg1,td,fill-in,berlin.sna,felixR
all,3.579,3.802,3.675,3.713,3.799
2,2.889,3.044,2.989,2.986,3.006
3,3.525,3.745,3.613,3.609,3.675
4,3.846,4.092,3.954,4.013,4.139
5,4.056,4.326,4.142,4.243,4.375

progs_apx_ratio,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,felixR_LS
all,1.021,1.315,1.132,1.214,1.330
2,1.011,1.206,1.135,1.138,1.192
3,1.023,1.303,1.121,1.115,1.204
4,1.017,1.349,1.139,1.280,1.444
5,1.034,1.401,1.134,1.325,1.482

progs_win_score,sortdeg1_LS,td_LS,fill-in_LS,berlin.sna_LS,felixR_LS
all,83.600,4.767,23.017,11.933,4.683
2,17.900,2.733,5.567,2.733,3.067
3,21.700,0.533,5.533,2.867,1.367
4,23.333,0.833,4.583,3.000,0.250
5,20.667,0.667,7.333,3.333,0.000
