test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,fill-in_wcol,fill-in_time,berlin.sna_wcol,berlin.sna_time,felixR_wcol,felixR_time
airlines,2,31,0:00.00 ,64,0:00.37 ,49,0:00.06 ,32,0:00.00 ,39,0:00.36 
celegans,2,55,0:00.01 ,127,0:00.59 ,76,0:00.11 ,71,0:00.02 ,61,0:00.50 
cl-10-0,2,46,0:00.01 ,127,0:05.12 ,96,0:01.22 ,78,0:00.06 ,41,0:01.82 
cl-10-1,2,48,0:00.01 ,164,0:07.52 ,93,0:01.23 ,63,0:00.02 ,40,0:01.52 
cl-10-2,2,49,0:00.01 ,102,0:10.60 ,113,0:01.35 ,69,0:00.03 ,43,0:02.31 
clh-10-0,2,37,0:00.01 ,104,0:03.16 ,78,0:00.60 ,43,0:00.04 ,30,0:01.07 
clh-10-1,2,33,0:00.01 ,89,0:02.99 ,77,0:00.57 ,47,0:00.03 ,30,0:01.10 
clh-10-2,2,37,0:00.02 ,70,0:04.03 ,78,0:00.57 ,43,0:00.03 ,32,0:01.21 
codeminer,2,11,0:00.00 ,18,0:02.17 ,11,0:00.03 ,13,0:00.03 ,12,0:00.24 
cpan-authors,2,29,0:00.00 ,40,0:09.73 ,39,0:00.10 ,40,0:00.04 ,33,0:00.37 
cpan-distributions,2,21,0:00.05 ,-1,TIMEOUT,31,0:00.11 ,23,0:00.16 ,18,0:00.70 
diseasome,2,17,0:00.01 ,22,0:06.16 ,24,0:00.03 ,17,0:00.08 ,19,0:00.38 
fvs004,2,49,0:00.00 ,79,0:00.36 ,71,0:00.17 ,62,0:00.02 ,51,0:00.44 
fvs008,2,14,0:00.01 ,-1,TIMEOUT,15,0:00.10 ,15,0:00.11 ,12,0:00.41 
fvs014,2,65,0:00.03 ,-1,TIMEOUT,65,0:00.56 ,172,0:00.12 ,65,0:01.46 
fvs021,2,15,0:00.01 ,-1,TIMEOUT,14,0:00.08 ,14,0:00.06 ,12,0:00.25 
fvs023,2,7,0:00.00 ,7,0:01.35 ,7,0:00.02 ,10,0:00.00 ,26,0:00.15 
fvs052,2,10,0:00.02 ,18,0:20.77 ,8,0:00.04 ,10,0:00.02 ,8,0:00.41 
fvs056,2,10,0:00.02 ,17,0:12.07 ,9,0:00.05 ,10,0:00.05 ,9,0:00.38 
fvs078,2,11,0:00.04 ,-1,TIMEOUT,10,0:00.16 ,10,0:00.11 ,6,0:00.46 
netscience,2,20,0:00.01 ,-1,TIMEOUT,20,0:00.02 ,20,0:00.04 ,20,0:00.32 
planar1302,2,13,0:00.02 ,21,0:04.19 ,10,0:00.06 ,12,0:00.03 ,14,0:00.43 
planar1500,2,12,0:00.01 ,18,0:05.83 ,10,0:00.04 ,11,0:00.04 ,16,0:00.45 
planar2000,2,10,0:00.04 ,27,0:06.59 ,10,0:00.06 ,10,0:00.05 ,12,0:00.52 
planar2500,2,10,0:00.04 ,20,0:15.08 ,9,0:00.06 ,10,0:00.08 ,10,0:00.55 
planar3000,2,9,0:00.02 ,25,0:35.50 ,9,0:00.07 ,9,0:00.11 ,11,0:00.52 
power,2,12,0:00.06 ,-1,TIMEOUT,13,0:00.12 ,13,0:00.32 ,14,0:00.93 
sb-10-0,2,28,0:00.01 ,54,0:24.40 ,39,0:04.39 ,35,0:00.03 ,23,0:01.92 
sb-10-1,2,28,0:00.02 ,57,0:19.22 ,35,0:04.43 ,38,0:00.04 ,23,0:01.61 
sb-10-2,2,31,0:00.02 ,56,0:21.84 ,42,0:04.51 ,39,0:00.04 ,23,0:01.89 
sp_data_school_day_2,2,142,0:00.01 ,188,0:00.42 ,140,0:00.33 ,153,0:00.03 ,174,0:00.76 
yeast,2,59,0:00.03 ,-1,TIMEOUT,128,0:02.39 ,77,0:00.13 ,52,0:02.53 
airlines,3,48,0:00.00 ,64,0:00.37 ,52,0:00.06 ,54,0:00.00 ,62,0:00.23 
celegans,3,97,0:00.01 ,147,0:00.59 ,107,0:00.11 ,121,0:00.02 ,134,0:00.77 
cl-10-0,3,127,0:00.01 ,248,0:05.12 ,197,0:01.22 ,222,0:00.06 ,137,0:03.86 
cl-10-1,3,119,0:00.01 ,281,0:07.52 ,190,0:01.23 ,190,0:00.02 ,141,0:04.18 
cl-10-2,3,129,0:00.01 ,209,0:10.60 ,210,0:01.35 ,203,0:00.03 ,147,0:03.88 
clh-10-0,3,84,0:00.01 ,194,0:03.16 ,153,0:00.60 ,130,0:00.04 ,90,0:02.31 
clh-10-1,3,89,0:00.01 ,177,0:02.99 ,147,0:00.57 ,131,0:00.03 ,93,0:02.32 
clh-10-2,3,99,0:00.02 ,181,0:04.03 ,150,0:00.57 ,113,0:00.03 ,96,0:02.41 
codeminer,3,19,0:00.00 ,30,0:02.17 ,13,0:00.03 ,17,0:00.03 ,16,0:00.31 
cpan-authors,3,35,0:00.00 ,47,0:09.73 ,43,0:00.10 ,50,0:00.04 ,48,0:00.53 
cpan-distributions,3,34,0:00.05 ,-1,TIMEOUT,43,0:00.11 ,42,0:00.16 ,38,0:01.25 
diseasome,3,21,0:00.01 ,26,0:06.16 ,26,0:00.03 ,23,0:00.08 ,33,0:00.54 
fvs004,3,73,0:00.00 ,97,0:00.36 ,81,0:00.17 ,105,0:00.02 ,96,0:00.65 
fvs008,3,29,0:00.01 ,-1,TIMEOUT,29,0:00.10 ,32,0:00.11 ,21,0:00.51 
fvs014,3,66,0:00.03 ,-1,TIMEOUT,66,0:00.56 ,350,0:00.12 ,114,0:03.86 
fvs021,3,29,0:00.01 ,-1,TIMEOUT,26,0:00.08 ,29,0:00.06 ,22,0:00.46 
fvs023,3,15,0:00.00 ,17,0:01.35 ,13,0:00.02 ,18,0:00.00 ,25,0:00.26 
fvs052,3,14,0:00.02 ,26,0:20.77 ,12,0:00.04 ,16,0:00.02 ,14,0:00.54 
fvs056,3,15,0:00.02 ,23,0:12.07 ,13,0:00.05 ,15,0:00.05 ,14,0:00.49 
fvs078,3,20,0:00.04 ,-1,TIMEOUT,15,0:00.16 ,15,0:00.11 ,12,0:00.79 
netscience,3,20,0:00.01 ,-1,TIMEOUT,20,0:00.02 ,20,0:00.04 ,21,0:00.29 
