test,rad,%,mfcs_forb,mfcs_scat,mfcs_score,mfcs_time,new1_forb,new1_scat,new1_score,new1_time,new2_forb,new2_scat,new2_score,new2_time,tree1_forb,tree1_scat,tree1_score,tree1_time,tree2_forb,tree2_scat,tree2_score,tree2_time,ld_it_forb,ld_it_scat,ld_it_score,ld_it_time,ld_forb,ld_scat,ld_score,ld_time,new_ld_forb,new_ld_scat,new_ld_score,new_ld_time
medium/airlines.txtg,2,100,54,127,9,0:00.01,1,10,9,0:00.10,1,11,9,0:00.10,2,29,12,0:00.02,1,12,12,0:00.01,2,29,12,0:00.02,1,21,13,0:00.03,1,22,15,0:02.07
medium/airlines.txtg,2,20,21,32,3,0:00.01,1,4,4,0:00.07,1,5,4,0:00.06,0,6,6,0:00.01,0,6,6,0:00.01,0,6,6,0:00.01,0,6,6,0:00.01,0,6,6,0:00.31
medium/celegans.txtg,2,100,86,64,4,0:00.01,1,13,12,0:00.29,1,19,15,0:00.27,1,25,18,0:00.02,1,18,18,0:00.02,1,26,18,0:00.01,1,29,20,0:00.05,1,29,21,0:03.01
medium/celegans.txtg,2,20,25,21,2,0:00.01,2,2,2,0:00.23,0,4,4,0:00.22,1,9,7,0:00.01,1,9,9,0:00.01,1,10,7,0:00.01,0,7,7,0:00.02,0,7,7,0:00.81
medium/cl-10-0.txtg,2,100,0,43,43,0:00.01,0,27,27,0:00.26,0,102,102,0:00.18,0,177,177,0:00.01,0,177,177,0:00.02,0,179,179,0:00.02,0,198,198,0:00.08,0,198,198,0:28.52
medium/cl-10-0.txtg,2,20,0,18,18,0:00.03,0,11,11,0:00.16,0,54,54,0:00.09,0,66,66,0:00.01,0,66,66,0:00.01,0,73,73,0:00.01,0,78,78,0:00.02,0,78,78,0:03.54
medium/cl-10-1.txtg,2,100,1,39,37,0:00.01,0,30,30,0:00.16,0,106,106,0:00.11,0,180,180,0:00.02,0,180,180,0:00.01,0,184,184,0:00.01,0,203,203,0:00.07,0,201,201,0:26.42
medium/cl-10-1.txtg,2,20,2,13,9,0:00.01,0,10,10,0:00.22,0,52,52,0:00.13,0,68,68,0:00.00,0,68,68,0:00.01,0,70,70,0:00.01,0,75,75,0:00.02,0,75,75,0:03.25
medium/cl-10-2.txtg,2,100,0,43,43,0:00.02,0,33,33,0:00.26,0,102,102,0:00.18,0,177,177,0:00.02,0,177,177,0:00.02,0,180,180,0:00.01,0,195,195,0:00.08,0,195,195,0:29.82
medium/cl-10-2.txtg,2,20,19,29,2,0:00.02,0,12,12,0:00.18,0,45,45,0:00.11,0,67,67,0:00.01,0,67,67,0:00.01,0,69,69,0:00.01,0,76,76,0:00.02,0,75,75,0:03.59
medium/clh-10-0.txtg,2,100,61,60,1,0:00.02,0,39,39,0:00.14,0,111,111,0:00.12,0,158,158,0:00.01,0,158,158,0:00.02,0,161,161,0:00.01,0,244,244,0:00.06,0,244,244,0:23.50
medium/clh-10-0.txtg,2,20,16,25,2,0:00.01,0,23,23,0:00.14,0,65,65,0:00.07,0,76,76,0:00.01,0,76,76,0:00.00,0,80,80,0:00.01,0,86,86,0:00.02,0,87,87,0:03.72
medium/clh-10-1.txtg,2,100,51,57,1,0:00.02,0,30,30,0:00.17,0,107,107,0:00.15,0,164,164,0:00.01,0,164,164,0:00.01,0,165,165,0:00.02,0,240,240,0:00.05,0,240,240,0:23.32
medium/clh-10-1.txtg,2,20,2,10,6,0:00.01,0,18,18,0:00.14,0,64,64,0:00.07,0,86,86,0:00.01,0,86,86,0:00.01,0,86,86,0:00.01,0,91,91,0:00.03,0,90,90,0:03.15
medium/clh-10-2.txtg,2,100,55,67,1,0:00.02,0,33,33,0:00.16,0,115,115,0:00.11,0,157,157,0:00.02,0,157,157,0:00.01,0,165,165,0:00.01,0,240,240,0:00.05,0,240,240,0:22.96
medium/clh-10-2.txtg,2,20,21,28,3,0:00.01,0,24,24,0:00.15,0,66,66,0:00.08,0,72,72,0:00.01,0,72,72,0:00.00,0,81,81,0:00.01,0,86,86,0:00.02,0,86,86,0:03.39
medium/codeminer.txtg,2,100,0,50,50,0:00.01,0,50,50,0:00.05,0,51,51,0:00.04,0,75,75,0:00.02,0,75,75,0:00.01,0,75,75,0:00.02,0,79,79,0:00.03,0,79,79,0:06.60
medium/codeminer.txtg,2,20,0,36,36,0:00.01,0,32,32,0:00.02,0,49,49,0:00.03,0,54,54,0:00.01,0,54,54,0:00.01,0,56,56,0:00.01,0,56,56,0:00.01,0,56,56,0:01.15
medium/cpan-authors.txtg,2,100,60,528,119,0:00.03,1,124,124,0:00.14,1,135,132,0:00.13,1,157,139,0:00.09,1,145,145,0:00.04,1,157,139,0:00.05,1,161,142,0:00.09,1,161,142,0:43.56
medium/cpan-authors.txtg,2,20,33,122,13,0:00.02,1,13,12,0:00.10,1,32,28,0:00.08,1,41,28,0:00.02,1,35,35,0:00.01,1,43,28,0:00.01,1,43,29,0:00.02,1,43,30,0:04.76
medium/cpan-distributions.txtg,2,100,11,230,97,0:00.02,1,225,216,0:00.15,2,147,127,0:00.14,3,623,235,0:00.37,2,199,199,0:00.15,3,624,235,0:00.20,2,438,257,0:00.39,1,298,263,7:56.96
medium/cpan-distributions.txtg,2,20,1,32,24,0:00.02,1,46,42,0:00.11,2,31,21,0:00.09,2,104,46,0:00.03,2,46,46,0:00.02,2,105,46,0:00.02,2,115,53,0:00.07,1,81,55,0:36.02
medium/diseasome.txtg,2,100,1,52,50,0:00.01,0,46,46,0:00.09,0,90,90,0:00.11,0,188,188,0:00.02,0,188,188,0:00.02,0,188,188,0:00.02,0,188,188,0:00.05,0,188,188,0:32.98
medium/diseasome.txtg,2,20,0,38,38,0:00.02,0,31,31,0:00.07,0,74,74,0:00.05,0,98,98,0:00.01,0,98,98,0:00.01,0,103,103,0:00.00,0,107,107,0:00.02,0,107,107,0:05.04
medium/fvs004.txtg,2,100,79,101,2,0:00.01,1,3,2,0:00.21,2,15,6,0:00.19,0,14,14,0:00.01,0,14,14,0:00.01,0,16,16,0:00.01,0,19,19,0:00.04,0,19,19,0:03.01
medium/fvs004.txtg,2,20,34,34,1,0:00.01,0,3,3,0:00.16,3,2,2,0:00.12,0,10,10,0:00.01,0,10,10,0:00.00,0,10,10,0:00.01,0,11,11,0:00.01,0,11,11,0:00.61
