avg_improvement,sortdeg1,td,treewidth,flat.sna,dtfR
all,16.2%,15.2%,7.0%,16.9%,16.7%
2,17.9%,23.1%,11.8%,19.0%,12.5%
3,16.8%,17.7%,7.5%,16.2%,18.5%
4,15.6%,10.8%,4.7%,16.7%,18.2%
5,14.6%,9.4%,3.8%,15.8%,17.5%

avg_logs,sortdeg1,td,treewidth,flat.sna,dtfR
all,2.857,3.005,2.904,2.884,3.035
2,2.465,2.564,2.496,2.471,2.552
3,2.822,2.975,2.868,2.850,2.971
4,3.010,3.186,3.073,3.043,3.223
5,3.131,3.295,3.180,3.171,3.396

progs_apx_ratio,sortdeg1_LS,td_LS,treewidth_LS,flat.sna_LS,dtfR_LS
all,1.052,1.242,1.110,1.083,1.286
2,1.025,1.142,1.059,1.032,1.126
3,1.044,1.235,1.098,1.076,1.227
4,1.053,1.281,1.131,1.091,1.327
5,1.088,1.311,1.154,1.135,1.466

progs_win_score,sortdeg1_LS,td_LS,treewidth_LS,flat.sna_LS,dtfR_LS
all,27.483,8.400,28.150,18.817,9.150
2,7.167,1.917,4.000,5.833,4.083
3,7.233,1.900,6.733,5.233,1.900
4,7.917,2.583,7.583,4.583,0.333
5,5.167,2.000,9.833,3.167,2.833
