test,rad,sortdeg1_wcol,sortdeg1_time,td_wcol,td_time,treewidth_wcol,treewidth_time,flat.sna_wcol,flat.sna_time,dtfR_wcol,dtfR_time
bergen,2,17,0:00.00 ,24,0:00.08 ,21,0:00.00 ,19,0:00.00 ,22,0:00.15 
dolphins,2,15,0:00.00 ,17,0:00.08 ,13,0:00.00 ,17,0:00.00 ,15,0:00.15 
football,2,40,0:00.00 ,47,0:00.13 ,33,0:00.03 ,48,0:00.02 ,36,0:00.26 
fvs002,2,13,0:00.00 ,13,0:00.31 ,8,0:00.00 ,9,0:00.00 ,8,0:00.14 
fvs020,2,6,0:00.00 ,6,0:00.09 ,5,0:00.00 ,6,0:00.00 ,5,0:00.13 
fvs033,2,10,0:00.00 ,8,0:04.20 ,9,0:00.22 ,10,0:00.00 ,9,0:00.24 
fvs047,2,14,0:00.00 ,10,0:00.12 ,10,0:00.00 ,12,0:00.00 ,10,0:00.15 
fvs051,2,39,0:00.00 ,29,0:00.10 ,27,0:00.00 ,37,0:00.01 ,32,0:00.18 
fvs066,2,50,0:00.00 ,59,0:00.16 ,50,0:00.04 ,54,0:00.01 ,63,0:00.26 
fvs097,2,18,0:00.00 ,15,0:00.13 ,16,0:00.00 ,18,0:00.00 ,15,0:00.15 
fvs099,2,7,0:00.00 ,9,0:00.09 ,8,0:00.00 ,7,0:00.01 ,10,0:00.15 
fvs100,2,18,0:00.01 ,18,0:00.28 ,17,0:00.01 ,22,0:00.01 ,15,0:00.17 
hex,2,14,0:00.00 ,12,0:00.73 ,14,0:00.02 ,17,0:00.01 ,11,0:00.22 
karate,2,8,0:00.00 ,7,0:00.07 ,9,0:00.00 ,8,0:00.00 ,10,0:00.17 
lesmiserables,2,14,0:00.01 ,18,0:00.10 ,21,0:00.00 ,15,0:00.00 ,17,0:00.15 
photoviz_dynamic,2,13,0:00.01 ,18,0:00.30 ,14,0:00.00 ,15,0:00.00 ,13,0:00.16 
planar302,2,10,0:00.02 ,18,0:00.26 ,10,0:00.00 ,11,0:00.01 ,17,0:00.19 
planar350,2,10,0:00.01 ,17,0:00.20 ,10,0:00.00 ,10,0:00.01 ,12,0:00.16 
planar400,2,10,0:00.01 ,19,0:00.45 ,10,0:00.00 ,9,0:00.01 ,12,0:00.19 
planar500,2,11,0:00.01 ,16,0:00.29 ,9,0:00.01 ,9,0:00.02 ,11,0:00.22 
planar600,2,9,0:00.00 ,16,0:00.61 ,9,0:00.00 ,9,0:00.03 ,11,0:00.25 
polbooks,2,22,0:00.01 ,29,0:00.08 ,18,0:00.00 ,21,0:00.00 ,21,0:00.18 
word_adjacencies,2,25,0:00.00 ,42,0:00.11 ,36,0:00.01 ,30,0:00.01 ,25,0:00.18 
bergen,3,20,0:00.00 ,24,0:00.08 ,21,0:00.00 ,21,0:00.00 ,27,0:00.16 
dolphins,3,22,0:00.00 ,24,0:00.08 ,16,0:00.00 ,26,0:00.00 ,20,0:00.15 
football,3,87,0:00.00 ,85,0:00.13 ,59,0:00.03 ,78,0:00.02 ,90,0:00.37 
fvs002,3,15,0:00.00 ,15,0:00.31 ,11,0:00.00 ,11,0:00.00 ,10,0:00.19 
fvs020,3,9,0:00.00 ,8,0:00.09 ,6,0:00.00 ,8,0:00.00 ,9,0:00.17 
fvs033,3,17,0:00.00 ,15,0:04.20 ,13,0:00.22 ,19,0:00.00 ,17,0:00.35 
fvs047,3,24,0:00.00 ,19,0:00.12 ,15,0:00.00 ,23,0:00.00 ,24,0:00.17 
fvs051,3,45,0:00.00 ,36,0:00.10 ,31,0:00.00 ,44,0:00.01 ,44,0:00.20 
fvs066,3,98,0:00.00 ,74,0:00.16 ,76,0:00.04 ,102,0:00.01 ,116,0:00.40 
fvs097,3,24,0:00.00 ,27,0:00.13 ,23,0:00.00 ,27,0:00.00 ,26,0:00.19 
fvs099,3,9,0:00.00 ,10,0:00.09 ,10,0:00.00 ,9,0:00.01 ,11,0:00.15 
fvs100,3,25,0:00.01 ,27,0:00.28 ,23,0:00.01 ,29,0:00.01 ,29,0:00.20 
