test,rad,sortdeg1.lsR
DSJC1000.1.col,1,82
DSJC1000.5.col,1,460
DSJC1000.9.col,1,871
DSJC250.5.col,1,111
DSJC250.9.col,1,212
DSJC500.1.col,1,39
DSJC500.5.col,1,226
DSJC500.9.col,1,432
DSJR500.1c.col,1,474
DSJR500.5.col,1,156
flat1000_50_0.col,1,465
flat1000_60_0.col,1,462
flat1000_76_0.col,1,460
flat300_20_0.col,1,129
flat300_26_0.col,1,130
flat300_28_0.col,1,131
fpsol2.i.1.col,1,65
inithx.i.1.col,1,56
inithx.i.2.col,1,32
inithx.i.3.col,1,32
latin_square_10.col,1,684
le450_15c.col,1,50
le450_15d.col,1,52
le450_25c.col,1,53
le450_25d.col,1,53
school1.col,1,80
school1_nsh.col,1,71
DSJC1000.1.col,2,826
DSJC1000.5.col,2,994
DSJC1000.9.col,2,999
DSJC250.5.col,2,242
DSJC250.9.col,2,247
DSJC500.1.col,2,348
DSJC500.5.col,2,493
DSJC500.9.col,2,498
DSJR500.1c.col,2,495
DSJR500.5.col,2,337
flat1000_50_0.col,2,995
flat1000_60_0.col,2,993
flat1000_76_0.col,2,993
flat300_20_0.col,2,293
flat300_26_0.col,2,291
flat300_28_0.col,2,291
fpsol2.i.1.col,2,85
inithx.i.1.col,2,68
inithx.i.2.col,2,47
inithx.i.3.col,2,47
latin_square_10.col,2,896
le450_15c.col,2,331
le450_15d.col,2,332
le450_25c.col,2,307
le450_25d.col,2,315
school1.col,2,253
school1_nsh.col,2,233
DSJC1000.1.col,3,930
DSJC1000.5.col,3,996
DSJC1000.9.col,3,999
DSJC250.5.col,3,244
DSJC250.9.col,3,248
DSJC500.1.col,3,436
DSJC500.5.col,3,494
DSJC500.9.col,3,498
DSJR500.1c.col,3,495
DSJR500.5.col,3,436
flat1000_50_0.col,3,996
flat1000_60_0.col,3,994
flat1000_76_0.col,3,995
flat300_20_0.col,3,295
flat300_26_0.col,3,294
flat300_28_0.col,3,295
fpsol2.i.1.col,3,91
inithx.i.1.col,3,70
inithx.i.2.col,3,53
inithx.i.3.col,3,53
latin_square_10.col,3,896
le450_15c.col,3,393
le450_15d.col,3,394
le450_25c.col,3,374
le450_25d.col,3,376
school1.col,3,307
school1_nsh.col,3,284
DSJC1000.1.col,4,948
DSJC1000.5.col,4,996
DSJC1000.9.col,4,999
DSJC250.5.col,4,245
DSJC250.9.col,4,248
DSJC500.1.col,4,456
DSJC500.5.col,4,495
DSJC500.9.col,4,498
DSJR500.1c.col,4,495
DSJR500.5.col,4,448
flat1000_50_0.col,4,995
flat1000_60_0.col,4,996
flat1000_76_0.col,4,994
flat300_20_0.col,4,295
flat300_26_0.col,4,295
flat300_28_0.col,4,294
fpsol2.i.1.col,4,91
inithx.i.1.col,4,70
inithx.i.2.col,4,53
inithx.i.3.col,4,53
latin_square_10.col,4,896
le450_15c.col,4,408
le450_15d.col,4,411
le450_25c.col,4,391
le450_25d.col,4,395
school1.col,4,315
school1_nsh.col,4,295
DSJC1000.1.col,5,957
DSJC1000.5.col,5,996
DSJC1000.9.col,5,999
DSJC250.5.col,5,245
DSJC250.9.col,5,248
DSJC500.1.col,5,462
DSJC500.5.col,5,495
DSJC500.9.col,5,498
DSJR500.1c.col,5,495
DSJR500.5.col,5,451
flat1000_50_0.col,5,995
flat1000_60_0.col,5,996
flat1000_76_0.col,5,995
flat300_20_0.col,5,295
flat300_26_0.col,5,294
flat300_28_0.col,5,294
fpsol2.i.1.col,5,91
inithx.i.1.col,5,70
inithx.i.2.col,5,53
inithx.i.3.col,5,53
latin_square_10.col,5,896
le450_15c.col,5,414
le450_15d.col,5,417
le450_25c.col,5,399
le450_25d.col,5,408
school1.col,5,317
school1_nsh.col,5,298
