test,rad,sortdeg1.lsR
out.advogato,1,28
out.arenas-pgp,1,32
out.as20000102,1,13
out.dnc-corecipient,1,75
out.ego-gplus,1,14
out.ego-twitter,1,12
out.escorts,1,13
out.moreno_blogs_blogs,1,37
out.moreno_health_health,1,8
out.movielens-10m_ut,1,19
out.openflights,1,34
out.opsahl-openflights,1,29
out.opsahl-ucsocial,1,22
out.opsahl-usairport,1,66
out.petster-friendships-hamster-uniq,1,21
out.petster-hamster,1,25
out.advogato,2,228
out.arenas-pgp,2,52
out.as20000102,2,35
out.dnc-corecipient,2,102
out.ego-gplus,2,47
out.ego-twitter,2,37
out.escorts,2,113
out.moreno_blogs_blogs,2,162
out.moreno_health_health,2,33
out.movielens-10m_ut,2,141
out.openflights,2,117
out.opsahl-openflights,2,107
out.opsahl-ucsocial,2,139
out.opsahl-usairport,2,147
out.petster-friendships-hamster-uniq,2,112
out.petster-hamster,2,117
out.advogato,3,519
out.arenas-pgp,3,98
out.as20000102,3,60
out.dnc-corecipient,3,129
out.ego-gplus,3,81
out.ego-twitter,3,92
out.escorts,3,363
out.moreno_blogs_blogs,3,279
out.moreno_health_health,3,120
out.movielens-10m_ut,3,336
out.openflights,3,178
out.opsahl-openflights,3,159
out.opsahl-ucsocial,3,290
out.opsahl-usairport,3,191
out.petster-friendships-hamster-uniq,3,197
out.petster-hamster,3,215
out.advogato,4,732
out.arenas-pgp,4,137
out.as20000102,4,68
out.dnc-corecipient,4,151
out.ego-gplus,4,88
out.ego-twitter,4,164
out.escorts,4,719
out.moreno_blogs_blogs,4,353
out.moreno_health_health,4,321
out.movielens-10m_ut,4,504
out.openflights,4,222
out.opsahl-openflights,4,201
out.opsahl-ucsocial,4,359
out.opsahl-usairport,4,219
out.petster-friendships-hamster-uniq,4,269
out.petster-hamster,4,303
out.advogato,5,873
out.arenas-pgp,5,225
out.as20000102,5,90
out.dnc-corecipient,5,167
out.ego-gplus,5,97
out.ego-twitter,5,263
out.escorts,5,1038
out.moreno_blogs_blogs,5,390
out.moreno_health_health,5,561
out.movielens-10m_ut,5,645
out.openflights,5,263
out.opsahl-openflights,5,226
out.opsahl-ucsocial,5,400
out.opsahl-usairport,5,260
out.petster-friendships-hamster-uniq,5,323
out.petster-hamster,5,356
