test,rad,sortdeg1.lsR
aa4.mtx,1,13
aa5.mtx,1,13
aa6.mtx,1,13
abtaha1.mtx,1,5
aft01.mtx,1,12
aft02.mtx,1,25
air02.mtx,1,16
air05.mtx,1,13
as-22july06.mtx,1,27
as-caida20071105.edges,1,24
as-caida.mtx,1,24
ASIC_680ks.mtx,1,5
aug3dcqp.mtx,1,3
bauru5727.mtx,1,8
bayer02.mtx,1,12
bayer03.mtx,1,23
bcsstk15.mtx,1,26
bcsstk18.mtx,1,18
bibd_49_3.mtx,1,5
bloweybl.mtx,1,4
bodyy4.mtx,1,7
bodyy5.mtx,1,6
bodyy6.mtx,1,7
c-39.mtx,1,70
c-42.mtx,1,21
c-43.mtx,1,19
c-46.mtx,1,14
c-49.mtx,1,34
cage10.mtx,1,15
ca-opsahl-collaboration.edges,1,9
car4.mtx,1,
cca.mtx,1,3
ch7-6-b3.mtx,1,7
ch7-9-b2.mtx,1,5
ch8-8-b2.mtx,1,5
Chem97Zt.mtx,1,4
co5.mtx,1,19
comsol.mtx,1,47
conf5_0-4x4-10.mtx,1,43
conf5_0-4x4-14.mtx,1,43
conf5_0-4x4-18.mtx,1,43
conf5_0-4x4-22.mtx,1,43
conf5_0-4x4-26.mtx,1,43
conf6_0-4x4-20.mtx,1,43
conf6_0-4x4-30.mtx,1,43
cq5.mtx,1,16
crystm01.mtx,1,17
cti.mtx,1,7
cvxqp3.mtx,1,7
dblp-cite.edges,1,15
delaunay_n14.mtx,1,6
edit-enwikibooks.edges,1,21
edit-frwikibooks.edges,1,14
edit-frwikinews.edges,1,13
epb1.mtx,1,7
ex31.mtx,1,25
ex3sta1.mtx,1,8
ex8.mtx,1,25
ex9.mtx,1,22
FA.mtx,1,16
fd18.mtx,1,8
fe_sphere.mtx,1,7
fs-FA.mtx,1,16
gen1.mtx,1,86
gen.mtx,1,86
hvdc1.mtx,1,8
jan99jac040.mtx,1,22
jan99jac040sc.mtx,1,22
juba40k.mtx,1,8
l30.mtx,1,8
lasagne-spanishbook.edges,1,31
lp22.mtx,1,14
lp_fit2p.mtx,1,18
lpi_bgindy.mtx,1,16
lp_ken_11.mtx,1,5
lp_pds_06.mtx,1,5
lp_wood1p.mtx,1,34
meg1.mtx,1,61
memchip.mtx,1,4
memplus.mtx,1,97
mhd4800a.mtx,1,20
misc-jung-code-dep.edges,1,67
mk11-b3.mtx,1,13
mk11-b4.mtx,1,7
mk12-b5.mtx,1,
model7.mtx,1,19
model9.mtx,1,16
movielens-10m_ui.edges,1,30
mplate.mtx,1,24
nasa4704.mtx,1,25
nemspmm1.mtx,1,20
nemspmm2.mtx,1,17
p05.mtx,1,10
p2p-Gnutella24.mtx,1,7
p2p-Gnutella25.mtx,1,7
pcb3000.mtx,1,22
pds10.mtx,1,9
piston.mtx,1,60
psse1.mtx,1,7
rail_20209.mtx,1,5
rajat10.mtx,1,4
rdist2.mtx,1,30
rdist3a.mtx,1,43
rel7.mtx,1,6
rosen10.mtx,1,16
scrs8-2r.mtx,1,5
se.mtx,1,4
stokes64.mtx,1,9
stokes64s.mtx,1,9
subelj_jdk.edges,1,67
subelj_jung-j.edges,1,67
ted_B.mtx,1,16
ted_B_unscaled.mtx,1,16
testbig.mtx,1,5
utm5940.mtx,1,19
aa4.mtx,2,127
aa5.mtx,2,131
aa6.mtx,2,110
abtaha1.mtx,2,142
aft01.mtx,2,33
aft02.mtx,2,36
air02.mtx,2,46
air05.mtx,2,127
as-22july06.mtx,2,71
as-caida20071105.edges,2,74
as-caida.mtx,2,71
ASIC_680ks.mtx,2,10
aug3dcqp.mtx,2,7
bauru5727.mtx,2,14
bayer02.mtx,2,46
bayer03.mtx,2,101
bcsstk15.mtx,2,89
bcsstk18.mtx,2,47
bibd_49_3.mtx,2,103
bloweybl.mtx,2,6
bodyy4.mtx,2,15
bodyy5.mtx,2,15
bodyy6.mtx,2,15
c-39.mtx,2,145
c-42.mtx,2,46
c-43.mtx,2,49
c-46.mtx,2,80
c-49.mtx,2,71
cage10.mtx,2,79
ca-opsahl-collaboration.edges,2,22
car4.mtx,2,
cca.mtx,2,7
