test,rad,sortdeg1.lsR
advogato,1,28
as20000102,1,13
AS-oregon-1,1,19
AS-oregon-2,1,33
bahamas,1,7
bitcoin-otc-positive,1,21
bn-mouse_retina_1,1,128
ca-CondMat,1,26
ca-HepPh,1,239
chess,1,31
cit-HepPh,1,37
cit-HepTh,1,43
cora_citation,1,15
digg,1,11
edinburgh_associative_thesaurus,1,39
email-Enron,1,45
EU-email-core,1,36
foldoc,1,14
iscas89-s35932,1,3
iscas89-s38417,1,5
iscas89-s38584,1,5
JDK_dependency,1,67
JUNG-javax,1,67
lederberg,1,17
linux,1,25
loc-brightkite_edges,1,57
marvel,1,20
mousebrain,1,112
ODLIS,1,13
openflights,1,29
p2p-Gnutella04,1,10
polblogs,1,38
ratbrain,1,69
reactome,1,177
soc-advogato,1,29
soc-Epinions1,1,75
soc-gplus,1,14
soc-hamsterster,1,25
soc-Slashdot0811,1,62
twittercrawl,1,150
web-california,1,13
wikipedia-norm,1,25
zewail,1,21
advogato,2,228
as20000102,2,35
AS-oregon-1,2,43
AS-oregon-2,2,98
bahamas,2,11
bitcoin-otc-positive,2,102
bn-mouse_retina_1,2,387
ca-CondMat,2,81
ca-HepPh,2,383
chess,2,276
cit-HepPh,2,421
cit-HepTh,2,463
cora_citation,2,73
digg,2,120
edinburgh_associative_thesaurus,2,825
email-Enron,2,393
EU-email-core,2,162
foldoc,2,67
iscas89-s35932,2,4
iscas89-s38417,2,7
iscas89-s38584,2,10
JDK_dependency,2,103
JUNG-javax,2,110
lederberg,2,116
linux,2,173
loc-brightkite_edges,2,242
marvel,2,110
mousebrain,2,207
ODLIS,2,61
openflights,2,107
p2p-Gnutella04,2,51
polblogs,2,162
ratbrain,2,106
reactome,2,264
soc-advogato,2,231
soc-Epinions1,2,973
soc-gplus,2,47
soc-hamsterster,2,114
soc-Slashdot0811,2,981
twittercrawl,2,687
web-california,2,57
wikipedia-norm,2,103
zewail,2,150
advogato,3,519
as20000102,3,50
AS-oregon-1,3,87
AS-oregon-2,3,145
bahamas,3,18
bitcoin-otc-positive,3,202
bn-mouse_retina_1,3,520
ca-CondMat,3,324
ca-HepPh,3,621
chess,3,715
cit-HepPh,3,2014
cit-HepTh,3,2056
cora_citation,3,262
digg,3,591
edinburgh_associative_thesaurus,3,3345
email-Enron,3,952
EU-email-core,3,303
foldoc,3,330
iscas89-s35932,3,5
iscas89-s38417,3,12
iscas89-s38584,3,16
JDK_dependency,3,167
JUNG-javax,3,154
lederberg,3,277
linux,3,361
loc-brightkite_edges,3,942
marvel,3,301
mousebrain,3,208
ODLIS,3,149
openflights,3,159
p2p-Gnutella04,3,340
polblogs,3,279
ratbrain,3,127
reactome,3,659
soc-advogato,3,503
soc-Epinions1,3,2315
soc-gplus,3,81
soc-hamsterster,3,216
soc-Slashdot0811,3,2950
twittercrawl,3,1101
web-california,3,150
wikipedia-norm,3,185
zewail,3,463
advogato,4,732
as20000102,4,70
AS-oregon-1,4,100
AS-oregon-2,4,203
bahamas,4,28
bitcoin-otc-positive,4,292
bn-mouse_retina_1,4,603
ca-CondMat,4,788
ca-HepPh,4,1078
chess,4,1149
cit-HepPh,4,4927
cit-HepTh,4,4267
cora_citation,4,583
digg,4,1257
edinburgh_associative_thesaurus,4,5474
email-Enron,4,1441
EU-email-core,4,372
foldoc,4,1009
iscas89-s35932,4,6
iscas89-s38417,4,14
iscas89-s38584,4,25
JDK_dependency,4,233
JUNG-javax,4,224
lederberg,4,497
linux,4,608
loc-brightkite_edges,4,2043
marvel,4,493
mousebrain,4,208
ODLIS,4,246
openflights,4,201
p2p-Gnutella04,4,1233
polblogs,4,350
ratbrain,4,140
reactome,4,1108
soc-advogato,4,721
soc-Epinions1,4,3455
soc-gplus,4,88
soc-hamsterster,4,297
soc-Slashdot0811,4,4740
twittercrawl,4,1182
web-california,4,253
wikipedia-norm,4,260
zewail,4,894
advogato,5,873
as20000102,5,90
AS-oregon-1,5,122
AS-oregon-2,5,242
bahamas,5,36
bitcoin-otc-positive,5,371
bn-mouse_retina_1,5,658
ca-CondMat,5,1315
ca-HepPh,5,1380
chess,5,1427
cit-HepPh,5,8074
cit-HepTh,5,6702
cora_citation,5,1068
digg,5,1878
edinburgh_associative_thesaurus,5,6431
email-Enron,5,1825
EU-email-core,5,404
foldoc,5,2092
iscas89-s35932,5,6
iscas89-s38417,5,16
iscas89-s38584,5,32
JDK_dependency,5,289
JUNG-javax,5,280
lederberg,5,705
linux,5,863
loc-brightkite_edges,5,3171
marvel,5,697
mousebrain,5,208
ODLIS,5,320
openflights,5,226
p2p-Gnutella04,5,2204
polblogs,5,386
ratbrain,5,145
reactome,5,1356
soc-advogato,5,861
soc-Epinions1,5,4285
soc-gplus,5,97
soc-hamsterster,5,360
soc-Slashdot0811,5,6038
twittercrawl,5,1275
web-california,5,326
wikipedia-norm,5,334
zewail,5,1266
