test,rad,sortdeg1.lsR
145bit.mtx,1,14
162bit.mtx,1,13
3elt_dual.mtx,1,3
3elt.mtx,1,6
advogato.edges,1,28
aircraft.mtx,1,7
airfoil1_dual.mtx,1,3
airfoil1.mtx,1,5
Alemdar.mtx,1,8
arenas-pgp.edges,1,32
as20000102.edges,1,13
as-735.mtx,1,13
aug2dc.mtx,1,3
aug2d.mtx,1,3
aug3d.mtx,1,3
barth4.mtx,1,6
barth5.mtx,1,6
barth.mtx,1,6
bayer05.mtx,1,34
bayer06.mtx,1,34
bayer07.mtx,1,34
bayer08.mtx,1,34
bayer09.mtx,1,22
bcsstk10.mtx,1,18
bcsstk11.mtx,1,24
bcsstk12.mtx,1,24
bcsstk13.mtx,1,49
bcsstk14.mtx,1,32
bcsstk21.mtx,1,6
bcsstk23.mtx,1,15
bcsstk26.mtx,1,16
bcsstk27.mtx,1,36
bcsstk34.mtx,1,25
bcsstm10.mtx,1,18
bcsstm27.mtx,1,36
bcsstm34.mtx,1,30
beacxc.mtx,1,120
beaflw.mtx,1,127
beause.mtx,1,108
bibd_13_6.mtx,1,19
bibd_17_4b.mtx,1,8
bibd_17_4.mtx,1,8
big_dual.mtx,1,4
big.mtx,1,7
biplane-9.mtx,1,4
bips07_1693.mtx,1,8
bips07_1998.mtx,1,8
bips07_2476.mtx,1,8
bips07_3078.mtx,1,8
bips98_1142.mtx,1,8
bips98_1450.mtx,1,8
bips98_606.mtx,1,8
bloweybq.mtx,1,6
c-21.mtx,1,18
c-22.mtx,1,14
c-23.mtx,1,35
c-24.mtx,1,17
c-25.mtx,1,29
c-26.mtx,1,20
c-27.mtx,1,12
c-28.mtx,1,13
c-29.mtx,1,20
c-30.mtx,1,20
c-31.mtx,1,34
c-32.mtx,1,12
c-33.mtx,1,15
c-34.mtx,1,24
c-35.mtx,1,17
c-36.mtx,1,13
c-37.mtx,1,21
c-38.mtx,1,25
c-40.mtx,1,12
c-41.mtx,1,18
c-44.mtx,1,20
cage9.mtx,1,13
CAG_mat364.mtx,1,56
ca-GrQc.mtx,1,44
ca-HepTh.mtx,1,32
California.mtx,1,13
cat_ears_3_4.mtx,1,6
cavity05.mtx,1,23
cavity06.mtx,1,23
cavity07.mtx,1,23
cavity08.mtx,1,23
cavity09.mtx,1,23
cavity10.mtx,1,25
cavity11.mtx,1,25
cavity12.mtx,1,25
cavity13.mtx,1,25
cavity14.mtx,1,25
cegb3024.mtx,1,22
cegb3306.mtx,1,19
cell1.mtx,1,5
cell2.mtx,1,5
ch6-6-b3.mtx,1,6
ch6-6-b4.mtx,1,7
ch7-6-b2.mtx,1,5
ch7-6-b5.mtx,1,5
ch7-7-b2.mtx,1,5
ch7-8-b2.mtx,1,5
Chebyshev2.mtx,1,9
Chebyshev3.mtx,1,9
ch.mtx,1,9
circuit_1.mtx,1,37
circuit_3.mtx,1,8
cis-n4c6-b14.mtx,1,5
cis-n4c6-b3.mtx,1,6
coater1.mtx,1,16
commanche_dual.mtx,1,4
complex.mtx,1,73
cond-mat.mtx,1,18
coPapersDBLP.mtx,1,27
cora_agm_fcl_aid.edges,1,7
coupled.mtx,1,14
crack_dual.mtx,1,4
crack.mtx,1,5
crew1.mtx,1,14
cryg10000.mtx,1,4
cs4.mtx,1,5
D_7.mtx,1,16
D_8.mtx,1,18
D_9.mtx,1,16
data.mtx,1,11
delaunay_n12.mtx,1,6
delaunay_n13.mtx,1,6
delf.mtx,1,6
descriptor_xingo6u.mtx,1,8
deter0.mtx,1,5
deter1.mtx,1,5
deter2.mtx,1,5
deter3.mtx,1,5
deter4.mtx,1,5
deter5.mtx,1,5
deter6.mtx,1,4
deter7.mtx,1,5
deter8.mtx,1,5
df2177.mtx,1,6
dtoc.mtx,1,4
dw4096.mtx,1,6
dw8192.mtx,1,6
dwt_2680.mtx,1,9
ego-gplus.edges,1,14
ego-twitter.edges,1,12
escorts.edges,1,13
europe_osm.mtx,1,3
eurqsa.mtx,1,6
ex10hs.mtx,1,22
ex10.mtx,1,22
ex12.mtx,1,15
ex13.mtx,1,23
ex14.mtx,1,16
ex15.mtx,1,17
ex18.mtx,1,17
ex20.mtx,1,24
ex22.mtx,1,19
ex23.mtx,1,23
ex24.mtx,1,17
ex25.mtx,1,21
ex26.mtx,1,37
ex27.mtx,1,35
ex28.mtx,1,23
ex29.mtx,1,7
ex33.mtx,1,13
ex36.mtx,1,15
ex37.mtx,1,24
ex3.mtx,1,24
EX4.mtx,1,25
ex7.mtx,1,25
extr1b.mtx,1,7
extr1.mtx,1,7
fd12.mtx,1,7
fd15.mtx,1,7
fe_4elt2.mtx,1,7
flower_4_4.mtx,1,6
flower_5_4.mtx,1,6
flowmeter0.mtx,1,7
flowmeter5.mtx,1,7
ford1.mtx,1,13
Franz2.mtx,1,8
Franz3.mtx,1,8
Franz4.mtx,1,11
Franz5.mtx,1,10
Franz6.mtx,1,11
Franz7.mtx,1,7
Freescale1.mtx,1,
fv1.mtx,1,8
fv2.mtx,1,7
fv3.mtx,1,7
fxm2-16.mtx,1,17
fxm2-6.mtx,1,16
fxm3_6.mtx,1,48
G10.mtx,1,38
G1.mtx,1,38
G22.mtx,1,15
G23.mtx,1,15
G24.mtx,1,15
G25.mtx,1,15
G26.mtx,1,15
G27.mtx,1,15
G28.mtx,1,15
G29.mtx,1,15
G2.mtx,1,38
G30.mtx,1,15
G31.mtx,1,15
G35.mtx,1,8
G36.mtx,1,8
G37.mtx,1,8
G38.mtx,1,8
G39.mtx,1,8
G3.mtx,1,38
G40.mtx,1,8
G41.mtx,1,8
G42.mtx,1,8
G4.mtx,1,38
G55.mtx,1,5
G56.mtx,1,5
G58.mtx,1,8
G59.mtx,1,8
G5.mtx,1,38
G60.mtx,1,5
G61.mtx,1,5
G62.mtx,1,5
G63.mtx,1,8
G64.mtx,1,8
G65.mtx,1,5
G66.mtx,1,5
G67.mtx,1,5
G6.mtx,1,38
g7jac010.mtx,1,17
g7jac010sc.mtx,1,17
g7jac020.mtx,1,23
g7jac020sc.mtx,1,23
G7.mtx,1,38
G8.mtx,1,38
G9.mtx,1,38
garon1.mtx,1,21
gemat11.mtx,1,10
gemat12.mtx,1,11
gemat1.mtx,1,11
ge.mtx,1,8
geom.mtx,1,22
GL7d12.mtx,1,8
GL7d21.mtx,1,7
great-britain_osm.mtx,1,3
Hamrle2.mtx,1,7
hep-th.mtx,1,24
hugetrace-00000.mtx,1,3
hydr1c.mtx,1,9
hydr1.mtx,1,9
IG5-10.mtx,1,17
IG5-11.mtx,1,21
IG5-12.mtx,1,26
jan99jac020.mtx,1,17
jan99jac020sc.mtx,1,17
Kaufhold.mtx,1,5
kneser_8_3_1.mtx,1,5
Kohonen.mtx,1,10
L-9.mtx,1,4
large.mtx,1,6
Lederberg.mtx,1,17
LF10000.mtx,1,5
LFAT5000.mtx,1,5
lhr01.mtx,1,27
lhr02.mtx,1,27
linverse.mtx,1,7
lns_3937.mtx,1,7
lnsp3937.mtx,1,8
lock1074.mtx,1,42
lock2232.mtx,1,30
lock_700.mtx,1,30
lp_25fv47.mtx,1,14
lp_80bau3b.mtx,1,12
lp_bnl2.mtx,1,7
lp_cre_a.mtx,1,8
lp_cre_c.mtx,1,7
lp_cycle.mtx,1,16
lp_czprob.mtx,1,5
lp_d2q06c.mtx,1,24
lp_d6cube.mtx,1,10
lp_degen3.mtx,1,37
lp_dfl001.mtx,1,6
lp_fit1d.mtx,1,17
lp_greenbea.mtx,1,15
lp_greenbeb.mtx,1,15
lpi_ceria3d.mtx,1,22
lpi_cplex1.mtx,1,4
lpi_gran.mtx,1,25
lpi_greenbea.mtx,1,15
lpi_klein3.mtx,1,24
lpl2.mtx,1,5
lp_maros.mtx,1,15
lp_nug12.mtx,1,8
lp_pds_02.mtx,1,4
lp_pilot_ja.mtx,1,29
lp_pilot.mtx,1,34
lp_pilotnov.mtx,1,22
lp_qap12.mtx,1,8
lp_ship08l.mtx,1,6
lp_ship12l.mtx,1,6
lp_truss.mtx,1,5
lp_woodw.mtx,1,14
lshp3466.mtx,1,7
lutz30-23-b6.mtx,1,7
Maragal_3.mtx,1,33
Maragal_4.mtx,1,46
mark3jac020.mtx,1,18
mark3jac020sc.mtx,1,18
mark3jac140.mtx,1,18
mbeacxc.mtx,1,119
mbeaflw.mtx,1,119
mbeause.mtx,1,103
mcfe.mtx,1,38
meg4.mtx,1,16
mhd1280a.mtx,1,34
mhd1280b.mtx,1,24
mhd3200a.mtx,1,20
mhd4800b.mtx,1,6
mimo28x28_system.mtx,1,8
mimo46x46_system.mtx,1,8
mimo8x8_system.mtx,1,8
mk10-b3.mtx,1,9
mk11-b2.mtx,1,5
mk11-b4b.mtx,1,7
mk12-b2.mtx,1,5
model3.mtx,1,19
model4.mtx,1,15
model6.mtx,1,15
model8.mtx,1,12
movielens-10m_ut.edges,1,19
msc00726.mtx,1,32
msc01050.mtx,1,25
msc01440.mtx,1,27
