test,rad,sortdeg1.lsR
DSJC125.5.col,1,54
DSJC125.9.col,1,104
DSJC250.1.col,1,20
DSJR500.1.col,1,14
fpsol2.i.2.col,1,32
fpsol2.i.3.col,1,32
homer.col,1,13
le450_15a.col,1,26
le450_15b.col,1,26
le450_25a.col,1,29
le450_25b.col,1,27
le450_5a.col,1,19
le450_5b.col,1,19
le450_5c.col,1,35
le450_5d.col,1,33
miles1000.col,1,45
miles1500.col,1,74
miles500.col,1,20
miles750.col,1,32
mulsol.i.1.col,1,49
mulsol.i.2.col,1,32
mulsol.i.3.col,1,32
mulsol.i.4.col,1,32
mulsol.i.5.col,1,32
myciel7.col,1,19
queen10_10.col,1,28
queen11_11.col,1,31
queen12_12.col,1,34
queen13_13.col,1,37
queen14_14.col,1,40
queen15_15.col,1,43
queen16_16.col,1,46
queen8_12.col,1,26
queen9_9.col,1,25
zeroin.i.1.col,1,49
zeroin.i.2.col,1,31
zeroin.i.3.col,1,31
DSJC125.5.col,2,117
DSJC125.9.col,2,122
DSJC250.1.col,2,134
DSJR500.1.col,2,28
fpsol2.i.2.col,2,53
fpsol2.i.3.col,2,53
homer.col,2,30
le450_15a.col,2,183
le450_15b.col,2,187
le450_25a.col,2,162
le450_25b.col,2,165
le450_5a.col,2,157
le450_5b.col,2,156
le450_5c.col,2,250
le450_5d.col,2,249
miles1000.col,2,70
miles1500.col,2,92
miles500.col,2,34
miles750.col,2,51
mulsol.i.1.col,2,59
mulsol.i.2.col,2,37
mulsol.i.3.col,2,37
mulsol.i.4.col,2,37
mulsol.i.5.col,2,37
myciel7.col,2,65
queen10_10.col,2,85
queen11_11.col,2,104
queen12_12.col,2,123
queen13_13.col,2,144
queen14_14.col,2,167
queen15_15.col,2,190
queen16_16.col,2,218
queen8_12.col,2,81
queen9_9.col,2,68
zeroin.i.1.col,2,68
zeroin.i.2.col,2,47
zeroin.i.3.col,2,47
DSJC125.5.col,3,119
DSJC125.9.col,3,123
DSJC250.1.col,3,192
DSJR500.1.col,3,51
fpsol2.i.2.col,3,57
fpsol2.i.3.col,3,57
homer.col,3,40
le450_15a.col,3,294
le450_15b.col,3,297
le450_25a.col,3,261
le450_25b.col,3,258
le450_5a.col,3,314
le450_5b.col,3,320
le450_5c.col,3,386
le450_5d.col,3,374
miles1000.col,3,89
miles1500.col,3,110
miles500.col,3,50
miles750.col,3,73
mulsol.i.1.col,3,61
mulsol.i.2.col,3,47
mulsol.i.3.col,3,47
mulsol.i.4.col,3,47
mulsol.i.5.col,3,47
myciel7.col,3,76
queen10_10.col,3,90
queen11_11.col,3,112
queen12_12.col,3,132
queen13_13.col,3,156
queen14_14.col,3,181
queen15_15.col,3,209
queen16_16.col,3,239
queen8_12.col,3,87
queen9_9.col,3,73
zeroin.i.1.col,3,73
zeroin.i.2.col,3,51
zeroin.i.3.col,3,51
DSJC125.5.col,4,120
DSJC125.9.col,4,123
DSJC250.1.col,4,205
DSJR500.1.col,4,73
fpsol2.i.2.col,4,59
fpsol2.i.3.col,4,59
homer.col,4,48
le450_15a.col,4,333
le450_15b.col,4,331
le450_25a.col,4,302
le450_25b.col,4,302
le450_5a.col,4,349
le450_5b.col,4,359
le450_5c.col,4,405
le450_5d.col,4,399
miles1000.col,4,103
miles1500.col,4,119
miles500.col,4,62
miles750.col,4,82
mulsol.i.1.col,4,61
mulsol.i.2.col,4,47
mulsol.i.3.col,4,47
mulsol.i.4.col,4,47
mulsol.i.5.col,4,47
myciel7.col,4,79
queen10_10.col,4,91
queen11_11.col,4,111
queen12_12.col,4,132
queen13_13.col,4,156
queen14_14.col,4,182
queen15_15.col,4,211
queen16_16.col,4,240
queen8_12.col,4,89
queen9_9.col,4,73
zeroin.i.1.col,4,73
zeroin.i.2.col,4,51
zeroin.i.3.col,4,51
DSJC125.5.col,5,119
DSJC125.9.col,5,123
DSJC250.1.col,5,210
DSJR500.1.col,5,97
fpsol2.i.2.col,5,59
fpsol2.i.3.col,5,59
homer.col,5,52
le450_15a.col,5,351
le450_15b.col,5,348
le450_25a.col,5,315
le450_25b.col,5,318
le450_5a.col,5,365
le450_5b.col,5,374
le450_5c.col,5,408
le450_5d.col,5,407
miles1000.col,5,110
miles1500.col,5,119
miles500.col,5,72
miles750.col,5,92
mulsol.i.1.col,5,61
mulsol.i.2.col,5,47
mulsol.i.3.col,5,47
mulsol.i.4.col,5,47
mulsol.i.5.col,5,47
myciel7.col,5,80
queen10_10.col,5,92
queen11_11.col,5,111
queen12_12.col,5,133
queen13_13.col,5,157
queen14_14.col,5,184
queen15_15.col,5,213
queen16_16.col,5,243
queen8_12.col,5,88
queen9_9.col,5,74
zeroin.i.1.col,5,73
zeroin.i.2.col,5,52
zeroin.i.3.col,5,52
