test,rad,sortdeg1.lsR
airlines,1,14
bitcoin-otc-negative,1,17
bn-fly-drosophila_medulla_1,1,19
capitalist,1,20
celegans,1,12
chicago,1,2
codeminer,1,5
columbia-mobility,1,10
columbia-social,1,19
cpan-authors,1,10
diseasome,1,12
DNC-emails,1,19
euroroad,1,3
eva-corporate,1,4
exnet-water,1,3
ia-email-univ,1,12
ia-infect-dublin,1,18
ia-reality,1,7
infectious,1,18
iscas89-s13207,1,5
iscas89-s15850,1,5
iscas89-s5378,1,4
iscas89-s9234,1,5
jazz,1,30
minnesota,1,3
netscience,1,20
residence_hall,1,13
rhesusbrain,1,20
roget-thesaurus,1,7
soc-wiki-Vote,1,10
sp_data_school_day_2,1,34
unicode_languages,1,7
web-EPA,1,7
web-google,1,18
Y2H_union,1,6
Yeast,1,11
airlines,2,27
bitcoin-otc-negative,2,41
bn-fly-drosophila_medulla_1,2,86
capitalist,2,33
celegans,2,46
chicago,2,4
codeminer,2,9
columbia-mobility,2,22
columbia-social,2,33
cpan-authors,2,25
diseasome,2,16
DNC-emails,2,45
euroroad,2,6
eva-corporate,2,11
exnet-water,2,6
ia-email-univ,2,55
ia-infect-dublin,2,42
ia-reality,2,30
infectious,2,41
iscas89-s13207,2,7
iscas89-s15850,2,9
iscas89-s5378,2,6
iscas89-s9234,2,8
jazz,2,68
minnesota,2,5
netscience,2,20
residence_hall,2,53
rhesusbrain,2,75
roget-thesaurus,2,29
soc-wiki-Vote,2,31
sp_data_school_day_2,2,129
unicode_languages,2,21
web-EPA,2,37
web-google,2,20
Y2H_union,2,14
Yeast,2,41
airlines,3,42
bitcoin-otc-negative,3,56
bn-fly-drosophila_medulla_1,3,149
capitalist,3,42
celegans,3,86
chicago,3,7
codeminer,3,13
columbia-mobility,3,36
columbia-social,3,51
cpan-authors,3,34
diseasome,3,21
DNC-emails,3,64
euroroad,3,10
eva-corporate,3,13
exnet-water,3,8
ia-email-univ,3,143
ia-infect-dublin,3,79
ia-reality,3,46
infectious,3,87
iscas89-s13207,3,10
iscas89-s15850,3,12
iscas89-s5378,3,10
iscas89-s9234,3,11
jazz,3,95
minnesota,3,8
netscience,3,20
residence_hall,3,100
rhesusbrain,3,107
roget-thesaurus,3,86
soc-wiki-Vote,3,62
sp_data_school_day_2,3,165
unicode_languages,3,38
web-EPA,3,101
web-google,3,24
Y2H_union,3,25
Yeast,3,127
airlines,4,50
bitcoin-otc-negative,4,74
bn-fly-drosophila_medulla_1,4,201
capitalist,4,49
celegans,4,112
chicago,4,10
codeminer,4,19
columbia-mobility,4,53
columbia-social,4,73
cpan-authors,4,40
diseasome,4,24
DNC-emails,4,76
euroroad,4,13
eva-corporate,4,22
exnet-water,4,11
ia-email-univ,4,209
ia-infect-dublin,4,110
ia-reality,4,70
infectious,4,109
iscas89-s13207,4,10
iscas89-s15850,4,15
iscas89-s5378,4,12
iscas89-s9234,4,15
jazz,4,111
minnesota,4,10
netscience,4,20
residence_hall,4,125
rhesusbrain,4,120
roget-thesaurus,4,162
soc-wiki-Vote,4,96
sp_data_school_day_2,4,181
unicode_languages,4,50
web-EPA,4,167
web-google,4,32
Y2H_union,4,47
Yeast,4,210
airlines,5,57
bitcoin-otc-negative,5,86
bn-fly-drosophila_medulla_1,5,238
capitalist,5,51
celegans,5,117
chicago,5,10
codeminer,5,19
columbia-mobility,5,65
columbia-social,5,85
cpan-authors,5,43
diseasome,5,27
DNC-emails,5,79
euroroad,5,16
eva-corporate,5,26
exnet-water,5,13
ia-email-univ,5,258
ia-infect-dublin,5,132
ia-reality,5,72
infectious,5,142
iscas89-s13207,5,11
iscas89-s15850,5,17
iscas89-s5378,5,14
iscas89-s9234,5,19
jazz,5,118
minnesota,5,12
netscience,5,20
residence_hall,5,142
rhesusbrain,5,132
roget-thesaurus,5,223
soc-wiki-Vote,5,124
sp_data_school_day_2,5,187
unicode_languages,5,58
web-EPA,5,221
web-google,5,33
Y2H_union,5,53
Yeast,5,275
