test,rad,sortdeg1.lsR
american_revolution,1,4
autobahn,1,3
bergen,1,10
CoW-interstate,1,5
dolphins,1,5
ecoli-transcript,1,4
football,1,10
hex,1,4
iscas89-s1196,1,3
iscas89-s1238,1,3
iscas89-s1423,1,3
iscas89-s1488,1,4
iscas89-s1494,1,4
iscas89-s208.1,1,3
iscas89-s27,1,2
iscas89-s298,1,3
iscas89-s344,1,3
iscas89-s349,1,3
iscas89-s382,1,3
iscas89-s386,1,4
iscas89-s400,1,3
iscas89-s420.1,1,3
iscas89-s444,1,3
iscas89-s510,1,3
iscas89-s526n,1,4
iscas89-s526,1,4
iscas89-s641,1,4
iscas89-s713,1,4
iscas89-s820,1,4
iscas89-s832,1,4
iscas89-s838.1,1,3
iscas89-s953,1,3
karate,1,5
lesmiserables,1,10
movies,1,4
muenchen-bahn,1,3
photoviz_dynamic,1,5
polbooks,1,7
StackOverflow-tags,1,7
wafa-ceos,1,6
wafa-eies,1,25
wafa-hightech,1,13
wafa-padgett,1,4
word_adjacencies,1,7
american_revolution,2,5
autobahn,2,6
bergen,2,17
CoW-interstate,2,12
dolphins,2,12
ecoli-transcript,2,7
football,2,28
hex,2,11
iscas89-s1196,2,7
iscas89-s1238,2,8
iscas89-s1423,2,6
iscas89-s1488,2,8
iscas89-s1494,2,8
iscas89-s208.1,2,5
iscas89-s27,2,3
iscas89-s298,2,5
iscas89-s344,2,5
iscas89-s349,2,5
iscas89-s382,2,6
iscas89-s386,2,5
iscas89-s400,2,6
iscas89-s420.1,2,5
iscas89-s444,2,6
iscas89-s510,2,8
iscas89-s526n,2,8
iscas89-s526,2,8
iscas89-s641,2,5
iscas89-s713,2,6
iscas89-s820,2,10
iscas89-s832,2,11
iscas89-s838.1,2,5
iscas89-s953,2,7
karate,2,7
lesmiserables,2,14
movies,2,11
muenchen-bahn,2,6
photoviz_dynamic,2,12
polbooks,2,17
StackOverflow-tags,2,10
wafa-ceos,2,11
wafa-eies,2,33
wafa-hightech,2,17
wafa-padgett,2,6
word_adjacencies,2,20
american_revolution,3,5
autobahn,3,9
bergen,3,20
CoW-interstate,3,15
dolphins,3,17
ecoli-transcript,3,13
football,3,56
hex,3,18
iscas89-s1196,3,12
iscas89-s1238,3,13
iscas89-s1423,3,9
iscas89-s1488,3,17
iscas89-s1494,3,17
iscas89-s208.1,3,6
iscas89-s27,3,3
iscas89-s298,3,9
iscas89-s344,3,7
iscas89-s349,3,8
iscas89-s382,3,10
iscas89-s386,3,10
iscas89-s400,3,10
iscas89-s420.1,3,6
iscas89-s444,3,10
iscas89-s510,3,13
iscas89-s526n,3,12
iscas89-s526,3,12
iscas89-s641,3,10
iscas89-s713,3,9
iscas89-s820,3,16
iscas89-s832,3,16
iscas89-s838.1,3,6
iscas89-s953,3,13
karate,3,9
lesmiserables,3,17
movies,3,17
muenchen-bahn,3,9
photoviz_dynamic,3,17
polbooks,3,25
StackOverflow-tags,3,14
wafa-ceos,3,12
wafa-eies,3,36
wafa-hightech,3,18
wafa-padgett,3,8
word_adjacencies,3,31
american_revolution,4,5
autobahn,4,11
bergen,4,21
CoW-interstate,4,16
dolphins,4,20
ecoli-transcript,4,14
football,4,73
hex,4,26
iscas89-s1196,4,17
iscas89-s1238,4,21
iscas89-s1423,4,10
iscas89-s1488,4,21
iscas89-s1494,4,20
iscas89-s208.1,4,6
iscas89-s27,4,4
iscas89-s298,4,9
iscas89-s344,4,7
iscas89-s349,4,7
iscas89-s382,4,11
iscas89-s386,4,11
iscas89-s400,4,11
iscas89-s420.1,4,7
iscas89-s444,4,10
iscas89-s510,4,16
iscas89-s526n,4,15
iscas89-s526,4,14
iscas89-s641,4,12
iscas89-s713,4,11
iscas89-s820,4,17
iscas89-s832,4,17
iscas89-s838.1,4,8
iscas89-s953,4,19
karate,4,9
lesmiserables,4,18
movies,4,21
muenchen-bahn,4,11
photoviz_dynamic,4,22
polbooks,4,29
StackOverflow-tags,4,18
wafa-ceos,4,12
wafa-eies,4,36
wafa-hightech,4,17
wafa-padgett,4,7
word_adjacencies,4,37
american_revolution,5,5
autobahn,5,15
bergen,5,22
CoW-interstate,5,20
dolphins,5,20
ecoli-transcript,5,16
football,5,80
hex,5,34
iscas89-s1196,5,26
iscas89-s1238,5,27
iscas89-s1423,5,12
iscas89-s1488,5,27
iscas89-s1494,5,27
iscas89-s208.1,5,6
iscas89-s27,5,4
iscas89-s298,5,10
iscas89-s344,5,7
iscas89-s349,5,9
iscas89-s382,5,12
iscas89-s386,5,12
iscas89-s400,5,11
iscas89-s420.1,5,8
iscas89-s444,5,12
iscas89-s510,5,18
iscas89-s526n,5,19
iscas89-s526,5,18
iscas89-s641,5,14
iscas89-s713,5,14
iscas89-s820,5,17
iscas89-s832,5,18
iscas89-s838.1,5,9
iscas89-s953,5,24
karate,5,9
lesmiserables,5,18
movies,5,25
muenchen-bahn,5,13
photoviz_dynamic,5,25
polbooks,5,32
StackOverflow-tags,5,17
wafa-ceos,5,12
wafa-eies,5,36
wafa-hightech,5,18
wafa-padgett,5,7
word_adjacencies,5,43
